Price,Stock Code,Stock Name,Close,High,Low,Open,Volume
Ticker,,,2168.HK,2168.HK,2168.HK,2168.HK,2168.HK
Date,,,,,,,
2020-01-02,2168.HK,佳兆业美好,20.681509017944336,21.023756591287466,20.290369733451858,20.388155020849783,382748
2020-01-03,2168.HK,佳兆业美好,20.485939025878906,21.170432264618366,19.850335630129187,20.730401296521382,363871
2020-01-06,2168.HK,佳兆业美好,20.094799041748047,20.877079471281064,19.556982761837208,20.43704661310004,136000
2020-01-07,2168.HK,佳兆业美好,20.045907974243164,20.290370266611983,19.65476867947291,20.290370266611983,318750
2020-01-08,2168.HK,佳兆业美好,19.752553939819336,20.143693234003038,19.40052764250437,19.605875072538584,228250
2020-01-09,2168.HK,佳兆业美好,21.268218994140625,21.414895993494163,20.045907557695763,20.045907557695763,504803
2020-01-10,2168.HK,佳兆业美好,21.12154197692871,21.51268126324051,20.877079689846433,21.41489597538775,490740
2020-01-13,2168.HK,佳兆业美好,21.268218994140625,22.001605856007544,20.77929441956268,21.12154199478709,535250
2020-01-14,2168.HK,佳兆业美好,20.82818603515625,21.41489589497035,20.63261732528437,21.268218896291632,247250
2020-01-15,2168.HK,佳兆业美好,21.02375602722168,21.317110016445568,20.779293747835382,20.877079032609736,156507
2020-01-16,2168.HK,佳兆业美好,21.463788986206055,21.463788986206055,20.97486442492664,21.121541420290626,582250
2020-01-17,2168.HK,佳兆业美好,22.05049705505371,22.8816691855427,21.512680781554526,21.65935777749983,824750
2020-01-20,2168.HK,佳兆业美好,21.903820037841797,22.294959315015916,21.610466046236006,22.050497033644692,255250
2020-01-21,2168.HK,佳兆业美好,20.974864959716797,21.708251820334876,20.730402672844104,21.708251820334876,375250
2020-01-22,2168.HK,佳兆业美好,21.02375602722168,21.268218306607977,20.534831468449084,20.681508463061025,243500
2020-01-23,2168.HK,佳兆业美好,20.192584991455078,21.02375715913855,19.45919811381071,20.534832574042305,632750
2020-01-24,2168.HK,佳兆业美好,20.094799041748047,20.43704661310004,19.45919747500818,20.14369261771217,228000
2020-01-29,2168.HK,佳兆业美好,19.361412048339844,19.752553192830913,19.16584334119351,19.459197334462612,474500
2020-01-30,2168.HK,佳兆业美好,18.324892044067383,19.537424713114092,18.18799376589895,19.263628156777223,900250
