Price,Stock Code,Stock Name,Close,High,Low,Open,Volume
Ticker,,,2382.HK,2382.HK,2382.HK,2382.HK,2382.HK
Date,,,,,,,
2020-01-02,2382.HK,舜宇光学科技,134.23089599609375,134.9068759785188,129.4024464998314,131.2372514143077,8129308
2020-01-03,2382.HK,舜宇光学科技,130.56126403808594,138.38335767316246,129.98185897250175,135.4862881394686,12238889
2020-01-06,2382.HK,舜宇光学科技,125.5396957397461,130.56128062228402,124.76714081891113,130.56128062228402,11701984
2020-01-07,2382.HK,舜宇光学科技,126.98822021484375,129.11273502043585,125.3465503530343,127.37449027576658,7589643
2020-01-08,2382.HK,舜宇光学科技,127.6641845703125,128.24360432606727,121.19406606224778,124.09113537050868,7561057
2020-01-09,2382.HK,舜宇光学科技,136.1622772216797,136.4519871415435,128.43675794669076,130.368137765438,11596359
2020-01-10,2382.HK,舜宇光学科技,137.12796020507812,139.44560997641292,136.8382502998468,138.47992011581377,7837664
2020-01-13,2382.HK,舜宇光学科技,140.7010040283203,141.08728879802752,138.0936444576401,138.3833543511062,6417965
2020-01-14,2382.HK,舜宇光学科技,137.41769409179688,144.08094939866766,136.45200406267006,142.3427043991873,7902601
2020-01-15,2382.HK,舜宇光学科技,136.35540771484375,139.73532228507486,133.5549129650412,137.1279625636625,6661440
2020-01-16,2382.HK,舜宇光学科技,135.96913146972656,138.28678117544192,134.71373173944014,137.7073761166418,4488508
2020-01-17,2382.HK,舜宇光学科技,137.2245330810547,137.70737800430223,135.3897135315594,137.1279582023021,4227980
2020-01-20,2382.HK,舜宇光学科技,135.58285522460938,137.32109998087532,135.19658516110957,136.9348299173755,4738969
2020-01-21,2382.HK,舜宇光学科技,132.97549438476562,137.61080878564968,132.78235935457425,133.74804924078936,7219723
2020-01-22,2382.HK,舜宇光学科技,139.6387481689453,140.79757295861467,133.8446094853419,134.23087950347946,8912191
2020-01-23,2382.HK,舜宇光学科技,136.4519805908203,139.8318951113666,133.45833612137613,137.70738035978908,8622350
2020-01-24,2382.HK,舜宇光学科技,136.1622772216797,137.9005220056039,135.19658731230606,137.1279671310533,2850281
2020-01-29,2382.HK,舜宇光学科技,133.74806213378906,136.8382671205142,130.5612822550295,131.3338371855257,7205535
2020-01-30,2382.HK,舜宇光学科技,123.80143737792969,134.03775581060384,121.96663253398711,132.00980120602907,12403596
2020-01-31,2382.HK,舜宇光学科技,122.35289764404297,127.95390156527239,122.25633013525528,126.50536683057119,6198608
2020-02-03,2382.HK,舜宇光学科技,123.99458312988281,126.69851792480975,118.39358586557644,120.71124320870959,9243679
2020-02-04,2382.HK,舜宇光学科技,129.9818572998047,130.65783723524942,125.24996828117668,125.44310330055268,9253030
2020-02-05,2382.HK,舜宇光学科技,126.50537872314453,132.5892281278742,125.24997888800053,132.29951820664735,10563700
2020-02-06,2382.HK,舜宇光学科技,126.60193634033203,128.62987604179497,122.44946732982694,128.62987604179497,12217500
2020-02-07,2382.HK,舜宇光学科技,122.06320190429688,125.44310910555782,121.48378945172725,125.44310910555782,12532565
2020-02-10,2382.HK,舜宇光学科技,122.93232727050781,123.80144228678235,117.62103281819823,120.71123755249029,8783771
2020-02-11,2382.HK,舜宇光学科技,125.63626098632812,126.69851102758238,123.60830631671615,124.5739962098155,9221428
2020-02-12,2382.HK,舜宇光学科技,128.62989807128906,130.27156803513196,125.73282822853363,126.31224809118841,8407397
2020-02-13,2382.HK,舜宇光学科技,127.47106170654297,130.3681312907826,126.89164189559189,129.7887114798315,7343311
2020-02-14,2382.HK,舜宇光学科技,125.82939147949219,127.85733134070222,125.05683664582548,127.47106129149779,8528712
2020-02-17,2382.HK,舜宇光学科技,129.40243530273438,130.65783501018547,125.05683113212017,125.53967603996618,8332745
2020-02-18,2382.HK,舜宇光学科技,123.12545776367188,127.47106215533087,120.8078006145946,126.98821722292432,16426643
2020-02-19,2382.HK,舜宇光学科技,125.15342712402344,125.92596731871643,123.60831726411809,124.47743235077755,5376126
2020-02-20,2382.HK,舜宇光学科技,126.50537872314453,126.9882236801031,123.89801890262001,125.5396888092274,5634207
2020-02-21,2382.HK,舜宇光学科技,124.47742462158203,127.27793422686055,123.80144462556954,125.34655438953416,6376984
2020-02-24,2382.HK,舜宇光学科技,123.6082992553711,124.57398909330368,121.00093964000462,121.9666294779372,6361009
2020-02-25,2382.HK,舜宇光学科技,128.72647094726562,128.8230310993587,121.96664141987254,123.60831135804479,12593616
2020-02-26,2382.HK,舜宇光学科技,123.99458312988281,126.50538288272764,122.64262310004894,123.60831304571862,13867637
2020-02-27,2382.HK,舜宇光学科技,123.51173400878906,123.60830152082643,121.58035429752616,122.93232156893598,8417576
2020-02-28,2382.HK,舜宇光学科技,117.04161834716797,120.80781060491384,115.88279336061368,119.7455531393008,17343807
2020-03-02,2382.HK,舜宇光学科技,123.02888488769531,125.15340691825031,116.36562363742098,116.36562363742098,13643673
2020-03-03,2382.HK,舜宇光学科技,123.02888488769531,128.43674642138583,122.6426074850827,125.24996705936765,11543570
2020-03-04,2382.HK,舜宇光学科技,123.99458312988281,125.73282797914007,120.71124320870959,123.80144808780072,6635089
2020-03-05,2382.HK,舜宇光学科技,127.47106170654297,128.14704166248063,124.67056700254784,125.3465469584855,10098629
2020-03-06,2382.HK,舜宇光学科技,124.1877212524414,127.27792584152269,123.31859154174937,125.15341110748292,14209991
2020-03-09,2382.HK,舜宇光学科技,118.2970199584961,121.29065735738924,116.36564004080637,117.33132999965123,13137759
2020-03-10,2382.HK,舜宇光学科技,124.09115600585938,125.34655586191987,118.00730649976546,123.60831104085604,13534373
2020-03-11,2382.HK,舜宇光学科技,121.00094604492188,126.21566555168445,120.71123613115543,125.24997566263521,7488979
2020-03-12,2382.HK,舜宇光学科技,112.2131576538086,118.97298660566763,110.57148785540865,118.77985158266607,16788664
2020-03-13,2382.HK,舜宇光学科技,114.43425750732422,115.59308248439721,97.14840616560335,97.14840616560335,21363956
2020-03-16,2382.HK,舜宇光学科技,99.75576782226562,112.02002638455781,98.98321296911358,111.05433650193231,20796922
2020-03-17,2382.HK,舜宇光学科技,101.30086517333984,111.24746605407894,98.6934981980486,104.58421208613507,27733878
2020-03-18,2382.HK,舜宇光学科技,89.22974395751953,103.32881434834773,87.7812091769352,99.75576483662465,27573881
2020-03-19,2382.HK,舜宇光学科技,91.4991226196289,96.76212989185915,86.9120953642913,96.56899484921256,21602969
2020-03-20,2382.HK,舜宇光学科技,99.46605682373047,99.46605682373047,91.83710536081175,92.99593762787923,20568837
2020-03-23,2382.HK,舜宇光学科技,92.41651916503906,95.02388627843415,90.77484930550185,90.77484930550185,14267440
2020-03-24,2382.HK,舜宇光学科技,99.85234069824219,100.14204325800698,96.13443592403928,98.50037331645126,16049910
2020-03-25,2382.HK,舜宇光学科技,105.7430419921875,107.1915768139983,100.14203773413415,104.7773521109803,17388441
2020-03-26,2382.HK,舜宇光学科技,103.8116683959961,107.96413807888774,102.07342355952295,103.90823591632692,10843406
2020-03-27,2382.HK,舜宇光学科技,103.4253921508789,108.06070685700773,101.39744472980865,107.96413933555287,9768864
2020-03-30,2382.HK,舜宇光学科技,98.40380096435547,101.39743814069787,96.56898870542653,101.30087062551827,8536292
2020-03-31,2382.HK,舜宇光学科技,100.81803131103516,101.68715373143614,98.88665142909053,101.20430876094998,5494931
2020-04-01,2382.HK,舜宇光学科技,100.7214584350586,105.74304291406288,99.46605863149294,100.14203860717959,10704340
2020-04-02,2382.HK,舜宇光学科技,103.9082260131836,104.10136840306706,99.5626217037952,99.5626217037952,6664751
2020-04-03,2382.HK,舜宇光学科技,102.74940490722656,104.10137221540633,101.68714751066713,102.45969499560621,4055438
2020-04-06,2382.HK,舜宇光学科技,106.22589874267578,106.61217621162967,104.00480882191331,105.260208754106,6349644
2020-04-07,2382.HK,舜宇光学科技,112.02001953125,112.02001953125,108.8332401664992,109.12295006061423,10469481
2020-04-08,2382.HK,舜宇光学科技,108.35041046142578,112.8891576896671,107.96414037189861,112.8891576896671,4993702
2020-04-09,2382.HK,舜宇光学科技,108.6401138305664,110.47492611545293,107.57785641330449,110.08864868164062,8796741
2020-04-14,2382.HK,舜宇光学科技,106.12931823730469,109.99207771915287,103.90822858819037,109.99207771915287,10387753
2020-04-15,2382.HK,舜宇光学科技,107.5778579711914,110.9577726726441,107.28814804972943,108.64011540383638,12498294
2020-04-16,2382.HK,舜宇光学科技,105.9361801147461,109.50923720012452,104.29451021580824,107.38471497885455,9729115
2020-04-17,2382.HK,舜宇光学科技,109.12295532226562,111.82688990562116,108.44697536024125,108.44697536024125,9964815
