Price,Stock Code,Stock Name,Close,High,Low,Open,Volume
Ticker,,,9626.HK,9626.HK,9626.HK,9626.HK,9626.HK
Date,,,,,,,
2021-03-29,9626.HK,哔哩哔哩-SW,800.0,800.0,753.0,790.0,3285624
2021-03-30,9626.HK,哔哩哔哩-SW,800.0,803.5,790.0,803.5,865031
2021-03-31,9626.HK,哔哩哔哩-SW,828.0,829.5,811.0,811.5,796250
2021-04-01,9626.HK,哔哩哔哩-SW,870.0,879.0,838.0,838.0,1697979
2021-04-07,9626.HK,哔哩哔哩-SW,874.0,888.0,871.5,880.0,490748
2021-04-08,9626.HK,哔哩哔哩-SW,855.0,867.5,830.0,830.5,849315
2021-04-09,9626.HK,哔哩哔哩-SW,850.0,869.0,842.0,869.0,528940
2021-04-12,9626.HK,哔哩哔哩-SW,812.0,830.0,811.0,827.5,507415
2021-04-13,9626.HK,哔哩哔哩-SW,809.0,811.0,803.0,808.0,543727
2021-04-14,9626.HK,哔哩哔哩-SW,816.5,821.5,803.0,818.0,485440
2021-04-15,9626.HK,哔哩哔哩-SW,801.0,808.0,799.5,808.0,385508
2021-04-16,9626.HK,哔哩哔哩-SW,809.0,817.5,799.0,800.5,245722
2021-04-19,9626.HK,哔哩哔哩-SW,809.5,814.5,800.0,806.0,329434
2021-04-20,9626.HK,哔哩哔哩-SW,814.0,817.0,808.0,817.0,282608
2021-04-21,9626.HK,哔哩哔哩-SW,790.0,790.0,778.0,783.5,598347
2021-04-22,9626.HK,哔哩哔哩-SW,810.0,812.0,802.0,802.0,291420
2021-04-23,9626.HK,哔哩哔哩-SW,860.0,867.0,831.5,831.5,702135
2021-04-26,9626.HK,哔哩哔哩-SW,905.0,916.0,894.5,900.0,867376
2021-04-27,9626.HK,哔哩哔哩-SW,932.0,940.0,912.0,917.5,695248
2021-04-28,9626.HK,哔哩哔哩-SW,943.0,976.5,932.0,940.0,713493
2021-04-29,9626.HK,哔哩哔哩-SW,941.5,949.0,917.0,947.0,303240
2021-04-30,9626.HK,哔哩哔哩-SW,891.0,895.0,884.0,895.0,624083
2021-05-03,9626.HK,哔哩哔哩-SW,860.0,870.0,856.0,870.0,555628
2021-05-04,9626.HK,哔哩哔哩-SW,838.0,843.0,823.0,837.0,727976
2021-05-05,9626.HK,哔哩哔哩-SW,828.0,835.0,822.0,824.0,344221
2021-05-06,9626.HK,哔哩哔哩-SW,818.0,826.0,816.0,820.0,402698
2021-05-07,9626.HK,哔哩哔哩-SW,808.0,814.5,803.5,811.0,482112
2021-05-10,9626.HK,哔哩哔哩-SW,787.0,790.0,761.5,789.5,796159
