Price,Stock Code,Stock Name,Close,High,Low,Open,Volume
Ticker,,,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK
Date,,,,,,,
2020-01-02,0700.HK,腾讯控股,343.2607116699219,345.4150455313571,337.1566815333468,337.3362266895711,15176989
2020-01-03,0700.HK,腾讯控股,343.79925537109375,350.0828003567312,342.1834976979383,348.28749754423814,16611161
2020-01-06,0700.HK,腾讯控股,338.7724914550781,341.10637062692143,336.9771883551289,341.10637062692143,13150847
2020-01-07,0700.HK,腾讯控股,346.1331787109375,348.10802691689895,341.106359905264,341.8244811226717,19185574
2020-01-08,0700.HK,腾讯控股,342.90167236328125,346.31273338152965,340.3882480333472,343.26073298184326,16845521
2020-01-09,0700.HK,腾讯控股,350.08282470703125,350.08282470703125,347.38988515907033,350.08282470703125,17298593
2020-01-10,0700.HK,腾讯控股,357.8025817871094,358.34118752493913,351.8781266842328,354.3915210735094,27435986
2020-01-13,0700.HK,腾讯控股,364.80426025390625,364.80426025390625,356.7254413687951,359.0593203989708,29907325
2020-01-14,0700.HK,腾讯控股,359.4183654785156,370.72872925903016,356.0073048010356,368.0357897469331,29101747
2020-01-15,0700.HK,腾讯控股,357.9821472167969,361.75226873045375,355.6482681304722,356.54590478946466,17289175
2020-01-16,0700.HK,腾讯控股,359.059326171875,361.7522658435421,355.8277807361664,358.1616598038659,14937928
2020-01-17,0700.HK,腾讯控股,358.1616516113281,359.5978939943462,355.46871200125895,359.0593179588041,14829690
2020-01-20,0700.HK,腾讯控股,355.46868896484375,363.5475369876749,355.46868896484375,363.5475369876749,14408330
2020-01-21,0700.HK,腾讯控股,345.9536437988281,354.5710682066617,344.15834085632554,354.5710682066617,26222512
2020-01-22,0700.HK,腾讯控股,350.9804992675781,352.59628694400556,343.44025583152325,347.7489833470871,20265958
2020-01-23,0700.HK,腾讯控股,346.1331787109375,349.90330024423776,340.2087232415946,349.72378479797607,20199731
2020-01-24,0700.HK,腾讯控股,346.3127136230469,348.8261378095803,344.15835003458966,347.3898954172755,8733127
2020-01-29,0700.HK,腾讯控股,343.97882080078125,349.72376042346036,342.0039727324598,344.8764574018885,34453327
2020-01-30,0700.HK,腾讯控股,336.61810302734375,349.1851940883817,332.3094056199057,346.49222477803124,27061451
2020-01-31,0700.HK,腾讯控股,334.8227844238281,345.41502686715535,333.38654211635776,341.28584509126694,22019753
2020-02-03,0700.HK,腾讯控股,341.1063537597656,343.97883857764475,331.7708078178385,339.3110507485912,31109450
2020-02-04,0700.HK,腾讯控股,352.7757263183594,353.31433199973844,345.414999924799,350.0827870599905,30843842
2020-02-05,0700.HK,腾讯控股,352.05767822265625,359.0593455192083,347.7489804590577,359.0593455192083,24297251
2020-02-06,0700.HK,腾讯控股,359.059326171875,359.059326171875,352.05765925259647,357.2640231520369,19300328
2020-02-07,0700.HK,腾讯控股,361.21368408203125,361.21368408203125,354.2120172735045,358.34119929572705,16159459
2020-02-10,0700.HK,腾讯控股,359.5978698730469,359.95693044471614,354.5710515858546,355.10962758526983,17859063
2020-02-11,0700.HK,腾讯控股,367.13812255859375,368.93342546777967,362.2908195618808,363.5475464564001,25149444
2020-02-12,0700.HK,腾讯控股,368.9334411621094,371.26732018524456,366.42001698232866,368.03580452742034,19203274
2020-02-13,0700.HK,腾讯控股,373.78076171875,373.96030688373133,370.9082768084953,373.4217011049682,19377169
2020-02-14,0700.HK,腾讯控股,372.5240173339844,377.0122595807617,371.0877750604273,372.5240173339844,15064498
2020-02-17,0700.HK,腾讯控股,373.96026611328125,376.83272099419,368.2152969191084,368.57435749374423,11584816
2020-02-18,0700.HK,腾讯控股,366.4200134277344,371.98543777088383,365.7019219566569,370.7287405512743,14137968
2020-02-19,0700.HK,腾讯控股,369.2925109863281,372.164995834992,366.77908674374726,368.03581372312783,13560685
2020-02-20,0700.HK,腾讯控股,368.0357971191406,373.42167625122045,364.08613063041753,373.42167625122045,17988323
2020-02-21,0700.HK,腾讯控股,359.9570007324219,366.5996077472961,359.0593639860586,364.44524389660444,18924900
2020-02-24,0700.HK,腾讯控股,350.44189453125,355.28919773181354,350.0828339343127,352.95531870981097,25147543
2020-02-25,0700.HK,腾讯控股,360.49554443359375,361.57272617332256,350.4418779123027,350.80093849221225,26122308
2020-02-26,0700.HK,腾讯控股,358.7001953125,362.47031605765005,355.10958997608367,356.9048926442918,19879517
2020-02-27,0700.HK,腾讯控股,358.3412170410156,360.4955807374293,354.03248964818835,358.1616718748906,20804187
2020-02-28,0700.HK,腾讯控股,346.4922180175781,351.69858166561073,345.05600538724036,351.33952107898165,34620841
2020-03-02,0700.HK,腾讯控股,349.7237854003906,354.2120281588298,345.2355426419515,345.2355426419515,25046834
2020-03-03,0700.HK,腾讯控股,353.67340087890625,357.982127928749,352.77576426827835,352.77576426827835,23657661
2020-03-04,0700.HK,腾讯控股,353.67340087890625,355.46870381634074,350.8009458951898,355.46870381634074,21215873
2020-03-05,0700.HK,腾讯控股,364.624755859375,365.16333191489366,353.6734221407509,357.2640282314769,29338773
2020-03-06,0700.HK,腾讯控股,355.2892150878906,359.2388521309632,354.5710938589354,357.2640336094269,32962369
2020-03-09,0700.HK,腾讯控股,338.7724914550781,345.5946135187039,335.36143042326523,341.10637062692143,39186001
2020-03-10,0700.HK,腾讯控股,343.79925537109375,349.54419465489497,337.5157103854563,342.9016188229355,34608378
2020-03-11,0700.HK,腾讯控股,339.67010498046875,345.2355293526426,338.4134077543054,343.79928697063906,22181564
2020-03-12,0700.HK,腾讯控股,326.3849182128906,331.5912819231027,324.769130695673,330.33455499680247,41266522
2020-03-13,0700.HK,腾讯控股,327.6416320800781,330.33457179077584,301.6098419217591,301.6098419217591,62258137
2020-03-16,0700.HK,腾讯控股,306.81622314453125,321.1785888864293,302.50749559225255,319.5628309124159,53921271
2020-03-17,0700.HK,腾讯控股,313.9973449707031,318.485587107002,303.4051030382143,306.8161634958602,45722279
2020-03-18,0700.HK,腾讯控股,299.81451416015625,318.84466544511275,296.2239083644369,307.89333262625775,48160440
2020-03-19,0700.HK,腾讯控股,307.89337158203125,314.7155234570612,291.91524805991577,307.89337158203125,64815069
2020-03-20,0700.HK,腾讯控股,322.7943115234375,327.10303860403036,313.4587658983319,318.66512959595883,56732339
2020-03-23,0700.HK,腾讯控股,312.3815612792969,322.61477248911586,305.3799248597307,305.3799248597307,41974224
2020-03-24,0700.HK,腾讯控股,327.8211669921875,330.155046020736,321.35807622918924,324.05104557186166,39717104
2020-03-25,0700.HK,腾讯控股,341.1063537597656,342.5425961687052,335.18186868097996,336.6181110899195,39297721
