Price,Stock Code,Stock Name,Close,High,Low,Open,Volume
Ticker,,,1024.HK,1024.HK,1024.HK,1024.HK,1024.HK
Date,,,,,,,
2021-02-05,1024.HK,快手-W,300.0,345.0,300.0,338.0,119899748
2021-02-08,1024.HK,快手-W,303.0,310.0,283.0,301.79998779296875,28700114
2021-02-09,1024.HK,快手-W,350.6000061035156,352.0,308.0,309.0,38036864
2021-02-10,1024.HK,快手-W,397.0,398.0,365.0,366.79998779296875,25460855
2021-02-11,1024.HK,快手-W,399.20001220703125,399.20001220703125,399.20001220703125,399.20001220703125,0
2021-02-16,1024.HK,快手-W,403.0,417.79998779296875,399.0,403.6000061035156,18593677
2021-02-17,1024.HK,快手-W,415.0,415.0,388.0,402.0,12038231
2021-02-18,1024.HK,快手-W,393.6000061035156,417.0,388.0,415.20001220703125,12469470
2021-02-19,1024.HK,快手-W,388.0,396.0,362.3999938964844,386.0,18155131
2021-02-22,1024.HK,快手-W,377.79998779296875,402.0,377.79998779296875,397.0,22708535
2021-02-23,1024.HK,快手-W,358.0,368.0,350.0,364.79998779296875,17419667
2021-02-24,1024.HK,快手-W,327.20001220703125,363.6000061035156,325.0,360.0,16989699
2021-02-25,1024.HK,快手-W,339.20001220703125,345.3999938964844,330.0,340.20001220703125,8412718
2021-02-26,1024.HK,快手-W,308.79998779296875,326.0,305.0,317.6000061035156,22520220
2021-03-01,1024.HK,快手-W,313.79998779296875,324.79998779296875,302.20001220703125,320.79998779296875,9949607
2021-03-02,1024.HK,快手-W,319.0,340.0,316.0,335.0,7681023
2021-03-03,1024.HK,快手-W,317.20001220703125,323.20001220703125,314.6000061035156,320.6000061035156,3593400
2021-03-04,1024.HK,快手-W,299.6000061035156,309.3999938964844,290.0,309.3999938964844,11099200
2021-03-05,1024.HK,快手-W,285.0,295.0,282.0,293.20001220703125,8328260
2021-03-08,1024.HK,快手-W,266.0,291.79998779296875,263.79998779296875,288.6000061035156,13089444
2021-03-09,1024.HK,快手-W,272.0,280.79998779296875,250.0,261.6000061035156,10489951
2021-03-10,1024.HK,快手-W,278.20001220703125,299.20001220703125,274.3999938964844,299.20001220703125,7276653
2021-03-11,1024.HK,快手-W,307.79998779296875,309.3999938964844,283.6000061035156,285.0,10698016
2021-03-12,1024.HK,快手-W,304.0,323.0,298.20001220703125,321.3999938964844,13186099
2021-03-15,1024.HK,快手-W,289.6000061035156,310.0,287.0,304.6000061035156,6105491
2021-03-16,1024.HK,快手-W,302.79998779296875,308.0,297.6000061035156,298.79998779296875,3999594
2021-03-17,1024.HK,快手-W,312.3999938964844,317.3999938964844,301.0,302.0,6087852
2021-03-18,1024.HK,快手-W,317.79998779296875,327.0,315.20001220703125,319.0,6054837
2021-03-19,1024.HK,快手-W,315.79998779296875,317.3999938964844,302.0,314.0,9709007
2021-03-22,1024.HK,快手-W,314.79998779296875,319.20001220703125,309.20001220703125,311.0,2522977
2021-03-23,1024.HK,快手-W,301.20001220703125,317.79998779296875,292.0,316.3999938964844,6801931
2021-03-24,1024.HK,快手-W,265.0,292.0,261.3999938964844,291.3999938964844,16342120
2021-03-25,1024.HK,快手-W,266.0,270.79998779296875,248.1999969482422,253.0,9701115
2021-03-26,1024.HK,快手-W,280.0,289.79998779296875,271.0,271.0,5647878
2021-03-29,1024.HK,快手-W,265.6000061035156,274.6000061035156,259.0,273.20001220703125,7370452
2021-03-30,1024.HK,快手-W,263.79998779296875,272.0,263.3999938964844,268.0,3199054
2021-03-31,1024.HK,快手-W,270.0,280.79998779296875,267.3999938964844,272.0,5227198
2021-04-01,1024.HK,快手-W,285.0,286.0,272.20001220703125,275.20001220703125,5798932
2021-04-07,1024.HK,快手-W,274.79998779296875,287.79998779296875,270.79998779296875,285.79998779296875,5195612
2021-04-08,1024.HK,快手-W,272.3999938964844,276.3999938964844,268.0,270.0,3380116
2021-04-09,1024.HK,快手-W,276.3999938964844,279.20001220703125,272.3999938964844,273.79998779296875,3325368
