Price,Stock Code,Stock Name,Close,High,Low,Open,Volume
Ticker,,,9999.HK,9999.HK,9999.HK,9999.HK,9999.HK
Date,,,,,,,
2020-06-11,9999.HK,网易-S,128.56439208984375,133.70696475538068,128.56439208984375,131.53126267653246,54549198
2020-06-12,9999.HK,网易-S,127.08094787597656,127.6743279877753,124.60855589395368,124.60855589395368,18364472
2020-06-15,9999.HK,网易-S,123.71847534179688,126.78423944617852,123.61958118587627,125.59749448485029,17734920
2020-06-16,9999.HK,网易-S,128.2677001953125,129.45444539511263,126.6853782923403,127.17985671644735,11099659
2020-06-17,9999.HK,网易-S,126.68536376953125,127.57541879477728,125.49861116063471,127.57541879477728,6219498
2020-06-18,9999.HK,网易-S,125.3008041381836,125.79528246160996,123.71847501224732,124.1140591800165,8334526
2020-06-19,9999.HK,网易-S,127.37764739990234,127.67433747785479,125.59752202247189,125.59752202247189,7611857
2020-06-22,9999.HK,网易-S,127.87210083007812,128.56436748308462,125.89418748418451,128.06988914661125,5620223
2020-06-23,9999.HK,网易-S,131.13565063476562,131.43232554127155,126.38865595702984,127.57540085389377,14068800
2020-06-24,9999.HK,网易-S,134.49810791015625,135.68485290307194,132.81688457933555,133.1135746001348,15739971
2020-06-26,9999.HK,网易-S,134.49810791015625,134.99258624806123,133.31136291724053,134.49810791015625,6810528
2020-06-29,9999.HK,网易-S,133.50918579101562,134.49814272280094,130.83900509325235,134.49814272280094,4235615
2020-06-30,9999.HK,网易-S,132.1245880126953,132.81685451098411,130.74003992583982,132.81685451098411,3501727
2020-07-02,9999.HK,网易-S,133.41024780273438,134.498106168148,130.74006783068765,132.12461621305783,8075914
2020-07-03,9999.HK,网易-S,132.3224334716797,133.50917870881224,131.23457486830893,132.61912355353394,4726964
2020-07-06,9999.HK,网易-S,134.49810791015625,134.49810791015625,132.32240624143057,134.49810791015625,6703480
2020-07-07,9999.HK,网易-S,134.49810791015625,135.9815429238712,133.706939551452,135.4870645859662,4713002
2020-07-08,9999.HK,网易-S,138.84950256347656,139.34398087045514,135.48705611213427,135.48705611213427,7367709
2020-07-09,9999.HK,网易-S,152.79379272460938,165.15575006478812,140.3329336895972,140.3329336895972,20664884
2020-07-10,9999.HK,网易-S,150.81593322753906,157.6397300718841,147.35458394034964,150.3214547579406,12593855
2020-07-13,9999.HK,网易-S,149.03579711914062,152.00266772572056,145.57444807813073,149.92586735528516,9414898
2020-07-14,9999.HK,网易-S,145.3766326904297,146.3655893753986,141.51970765516353,143.39871932049186,8220337
2020-07-15,9999.HK,网易-S,147.25563049316406,149.82692366813515,143.39870582098746,147.25563049316406,5150100
2020-07-16,9999.HK,网易-S,140.9263153076172,145.37662000154194,138.45392381099234,145.2777183055649,7913315
2020-07-17,9999.HK,网易-S,138.94842529296875,141.51971891457447,137.76168019464404,138.1572568639914,5936275
2020-07-20,9999.HK,网易-S,139.7395782470703,140.9263232139739,136.377116568849,140.13515487261117,2953305
2020-07-21,9999.HK,网易-S,147.45346069335938,148.1457274154777,143.59652022964403,143.8932102792041,7051309
2020-07-22,9999.HK,网易-S,143.3987274169922,147.35455438021955,142.01419401597553,146.2666959292191,3890360
2020-07-23,9999.HK,网易-S,144.09097290039062,144.68435289361364,139.34397822544688,143.39870630181719,3676761
2020-07-24,9999.HK,网易-S,138.55284118652344,140.92633125577106,136.57492776538982,140.13516286926125,6961532
2020-07-27,9999.HK,网易-S,137.26719665527344,138.25615338176635,133.50915807654394,137.4649849825156,4654498
2020-07-28,9999.HK,网易-S,140.13516235351562,140.43185238365012,137.95946061633234,139.24510735339393,3018300
2020-07-29,9999.HK,网易-S,139.343994140625,140.1351625251923,137.46498243127425,138.5528408463395,2474363
2020-07-30,9999.HK,网易-S,138.25616455078125,140.03628982033223,136.67382762445078,139.44290970038747,3035005
2020-07-31,9999.HK,网易-S,139.24510192871094,140.0362702814868,137.56387861048796,138.45393357593508,1839576
2020-08-03,9999.HK,网易-S,142.2119903564453,143.49763720996722,139.04733162566436,139.73959836516596,3525279
2020-08-04,9999.HK,网易-S,145.3766326904297,145.87111103291414,142.80533927339795,144.58546432439826,3215015
2020-08-05,9999.HK,网易-S,148.34347534179688,148.6401653105362,145.77218239976094,146.16777405483958,3167120
2020-08-06,9999.HK,网易-S,148.34347534179688,150.32138834635415,144.48655101902162,150.32138834635415,4096918
2020-08-07,9999.HK,网易-S,145.87112426757812,149.33247297901218,140.92634039410092,149.33247297901218,8645188
2020-08-10,9999.HK,网易-S,142.7064666748047,143.89321179526576,139.14621622313857,143.89321179526576,5522980
2020-08-11,9999.HK,网易-S,141.42079162597656,143.69539478906572,140.92631333357804,141.22300332707314,3939486
2020-08-12,9999.HK,网易-S,141.32192993164062,142.21200016405453,137.76169427283762,140.92635322186837,3834653
2020-08-13,9999.HK,网易-S,146.3656005859375,147.3545573466533,144.1898987304193,146.06891053966626,4651855
2020-08-14,9999.HK,网易-S,142.9042205810547,143.89317712486823,140.23404093081402,142.8053188905616,4226640
2020-08-17,9999.HK,网易-S,141.7174530029297,142.60750771340923,140.03623016631454,142.01414293651516,2689391
2020-08-18,9999.HK,网易-S,145.97003173828125,146.06891836548124,144.38769480024737,145.3766516139477,4254505
2020-08-19,9999.HK,网易-S,145.97003173828125,148.34352205504865,141.4208243591464,146.365608427648,4802301
2020-08-20,9999.HK,网易-S,146.2666778564453,148.0468027880011,144.1898780115306,148.0468027880011,2445017
2020-08-21,9999.HK,网易-S,148.34347534179688,148.34347534179688,145.47550752130027,146.7611389020396,3972878
2020-08-24,9999.HK,网易-S,152.20040893554688,152.79378890917005,148.93686435145815,150.22249581050906,7722255
2020-08-25,9999.HK,网易-S,153.78277587890625,154.77173263696994,149.92585055857083,150.91480731663452,6769704
2020-08-26,9999.HK,网易-S,160.3098602294922,160.80433849659084,156.15623071364027,157.24408893736893,8465233
2020-08-27,9999.HK,网易-S,158.3900146484375,160.07185431907612,154.8284593846505,160.07185431907612,5953016
2020-08-28,9999.HK,网易-S,155.4220428466797,157.89534069531678,155.3231048944094,157.69746479077617,3853667
2020-08-31,9999.HK,网易-S,153.93807983398438,157.30175921278772,153.74020390926708,157.30175921278772,3211163
2020-09-01,9999.HK,网易-S,151.36585998535156,151.7615816855493,149.7829429929303,150.27760266608504,5778125
