Price,Stock Code,Stock Name,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,,,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK,9988.HK,9988.HK,9988.HK,9988.HK,9988.HK,3690.HK,3690.HK,3690.HK,3690.HK,3690.HK,1810.HK,1810.HK,1810.HK,1810.HK,1810.HK,9618.HK,9618.HK,9618.HK,9618.HK,9618.HK,9888.HK,9888.HK,9888.HK,9888.HK,9888.HK,1024.HK,1024.HK,1024.HK,1024.HK,1024.HK,2382.HK,2382.HK,2382.HK,2382.HK,2382.HK,2015.HK,2015.HK,2015.HK,2015.HK,2015.HK,9866.HK,9866.HK,9866.HK,9866.HK,9866.HK,1211.HK,1211.HK,1211.HK,1211.HK,1211.HK,6690.HK,6690.HK,6690.HK,6690.HK,6690.HK,2269.HK,2269.HK,2269.HK,2269.HK,2269.HK,9999.HK,9999.HK,9999.HK,9999.HK,9999.HK,9688.HK,9688.HK,9688.HK,9688.HK,9688.HK,3898.HK,3898.HK,3898.HK,3898.HK,3898.HK,1797.HK,1797.HK,1797.HK,1797.HK,1797.HK,9146.HK,9146.HK,9146.HK,9146.HK,9146.HK,1876.HK,1876.HK,1876.HK,1876.HK,1876.HK,6186.HK,6186.HK,6186.HK,6186.HK,6186.HK,2410.HK,2410.HK,2410.HK,2410.HK,2410.HK,6066.HK,6066.HK,6066.HK,6066.HK,6066.HK,9626.HK,9626.HK,9626.HK,9626.HK,9626.HK,2168.HK,2168.HK,2168.HK,2168.HK,2168.HK,6618.HK,6618.HK,6618.HK,6618.HK,6618.HK,1833.HK,1833.HK,1833.HK,1833.HK,1833.HK,6098.HK,6098.HK,6098.HK,6098.HK,6098.HK,9868.HK,9868.HK,9868.HK,9868.HK,9868.HK,6886.HK,6886.HK,6886.HK,6886.HK,6886.HK,6969.HK,6969.HK,6969.HK,6969.HK,6969.HK
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,0700.HK,腾讯控股,343.2607116699219,345.4150455313571,337.1566815333468,337.3362266895711,15176989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,0700.HK,腾讯控股,343.79925537109375,350.0828003567312,342.1834976979383,348.28749754423814,16611161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,0700.HK,腾讯控股,338.7724914550781,341.10637062692143,336.9771883551289,341.10637062692143,13150847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,0700.HK,腾讯控股,346.1331787109375,348.10802691689895,341.106359905264,341.8244811226717,19185574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,0700.HK,腾讯控股,342.90167236328125,346.31273338152965,340.3882480333472,343.26073298184326,16845521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,0700.HK,腾讯控股,350.08282470703125,350.08282470703125,347.38988515907033,350.08282470703125,17298593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,0700.HK,腾讯控股,357.8025817871094,358.34118752493913,351.8781266842328,354.3915210735094,27435986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,0700.HK,腾讯控股,364.80426025390625,364.80426025390625,356.7254413687951,359.0593203989708,29907325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
