train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/200, train_sqrt_loss: 0.682240, test_sqrt_loss: 0.689766
Epoch 2/200, train_sqrt_loss: 0.667299, test_sqrt_loss: 0.673737
Epoch 3/200, train_sqrt_loss: 0.652700, test_sqrt_loss: 0.658038
Epoch 4/200, train_sqrt_loss: 0.638435, test_sqrt_loss: 0.642660
Epoch 5/200, train_sqrt_loss: 0.624498, test_sqrt_loss: 0.627603
Epoch 6/200, train_sqrt_loss: 0.610878, test_sqrt_loss: 0.612870
Epoch 7/200, train_sqrt_loss: 0.597568, test_sqrt_loss: 0.598454
Epoch 8/200, train_sqrt_loss: 0.584561, test_sqrt_loss: 0.584348
Epoch 9/200, train_sqrt_loss: 0.571844, test_sqrt_loss: 0.570541
Epoch 10/200, train_sqrt_loss: 0.559405, test_sqrt_loss: 0.557026
Epoch 11/200, train_sqrt_loss: 0.547235, test_sqrt_loss: 0.543783
Epoch 12/200, train_sqrt_loss: 0.535322, test_sqrt_loss: 0.530825
Epoch 13/200, train_sqrt_loss: 0.523653, test_sqrt_loss: 0.518152
Epoch 14/200, train_sqrt_loss: 0.512218, test_sqrt_loss: 0.505752
Epoch 15/200, train_sqrt_loss: 0.501004, test_sqrt_loss: 0.493620
Epoch 16/200, train_sqrt_loss: 0.489999, test_sqrt_loss: 0.481752
Epoch 17/200, train_sqrt_loss: 0.479187, test_sqrt_loss: 0.470128
Epoch 18/200, train_sqrt_loss: 0.468554, test_sqrt_loss: 0.458741
Epoch 19/200, train_sqrt_loss: 0.458084, test_sqrt_loss: 0.447577
Epoch 20/200, train_sqrt_loss: 0.447758, test_sqrt_loss: 0.436621
Epoch 21/200, train_sqrt_loss: 0.437559, test_sqrt_loss: 0.425859
Epoch 22/200, train_sqrt_loss: 0.427470, test_sqrt_loss: 0.415279
Epoch 23/200, train_sqrt_loss: 0.417466, test_sqrt_loss: 0.404854
Epoch 24/200, train_sqrt_loss: 0.407528, test_sqrt_loss: 0.394579
Epoch 25/200, train_sqrt_loss: 0.397637, test_sqrt_loss: 0.384439
Epoch 26/200, train_sqrt_loss: 0.387780, test_sqrt_loss: 0.374409
Epoch 27/200, train_sqrt_loss: 0.377957, test_sqrt_loss: 0.364415
