train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/200, train_sqrt_loss: 0.578324, test_sqrt_loss: 0.603267
Epoch 2/200, train_sqrt_loss: 0.564139, test_sqrt_loss: 0.587713
Epoch 3/200, train_sqrt_loss: 0.550299, test_sqrt_loss: 0.572454
Epoch 4/200, train_sqrt_loss: 0.536815, test_sqrt_loss: 0.557500
Epoch 5/200, train_sqrt_loss: 0.523698, test_sqrt_loss: 0.542881
Epoch 6/200, train_sqrt_loss: 0.510954, test_sqrt_loss: 0.528632
Epoch 7/200, train_sqrt_loss: 0.498591, test_sqrt_loss: 0.514779
Epoch 8/200, train_sqrt_loss: 0.486616, test_sqrt_loss: 0.501344
Epoch 9/200, train_sqrt_loss: 0.475034, test_sqrt_loss: 0.488346
Epoch 10/200, train_sqrt_loss: 0.463843, test_sqrt_loss: 0.475797
Epoch 11/200, train_sqrt_loss: 0.453048, test_sqrt_loss: 0.463703
Epoch 12/200, train_sqrt_loss: 0.442645, test_sqrt_loss: 0.452062
Epoch 13/200, train_sqrt_loss: 0.432628, test_sqrt_loss: 0.440867
Epoch 14/200, train_sqrt_loss: 0.422990, test_sqrt_loss: 0.430102
Epoch 15/200, train_sqrt_loss: 0.413722, test_sqrt_loss: 0.419753
Epoch 16/200, train_sqrt_loss: 0.404809, test_sqrt_loss: 0.409792
Epoch 17/200, train_sqrt_loss: 0.396235, test_sqrt_loss: 0.400202
Epoch 18/200, train_sqrt_loss: 0.387984, test_sqrt_loss: 0.390964
Epoch 19/200, train_sqrt_loss: 0.380035, test_sqrt_loss: 0.382051
Epoch 20/200, train_sqrt_loss: 0.372371, test_sqrt_loss: 0.373443
Epoch 21/200, train_sqrt_loss: 0.364969, test_sqrt_loss: 0.365109
Epoch 22/200, train_sqrt_loss: 0.357808, test_sqrt_loss: 0.357020
Epoch 23/200, train_sqrt_loss: 0.350869, test_sqrt_loss: 0.349144
Epoch 24/200, train_sqrt_loss: 0.344131, test_sqrt_loss: 0.341452
Epoch 25/200, train_sqrt_loss: 0.337578, test_sqrt_loss: 0.333916
Epoch 26/200, train_sqrt_loss: 0.331195, test_sqrt_loss: 0.326506
Epoch 27/200, train_sqrt_loss: 0.324969, test_sqrt_loss: 0.319198
Epoch 28/200, train_sqrt_loss: 0.318891, test_sqrt_loss: 0.311973
Epoch 29/200, train_sqrt_loss: 0.312953, test_sqrt_loss: 0.304824
Epoch 30/200, train_sqrt_loss: 0.307152, test_sqrt_loss: 0.297755
Epoch 31/200, train_sqrt_loss: 0.301489, test_sqrt_loss: 0.290792
Epoch 32/200, train_sqrt_loss: 0.295966, test_sqrt_loss: 0.283981
Epoch 33/200, train_sqrt_loss: 0.290588, test_sqrt_loss: 0.277385
Epoch 34/200, train_sqrt_loss: 0.285360, test_sqrt_loss: 0.271060
Epoch 35/200, train_sqrt_loss: 0.280283, test_sqrt_loss: 0.265047
Epoch 36/200, train_sqrt_loss: 0.275351, test_sqrt_loss: 0.259359
Epoch 37/200, train_sqrt_loss: 0.270548, test_sqrt_loss: 0.253990
Epoch 38/200, train_sqrt_loss: 0.265847, test_sqrt_loss: 0.248927
Epoch 39/200, train_sqrt_loss: 0.261214, test_sqrt_loss: 0.244153
Epoch 40/200, train_sqrt_loss: 0.256620, test_sqrt_loss: 0.239654
Epoch 41/200, train_sqrt_loss: 0.252049, test_sqrt_loss: 0.235419
Epoch 42/200, train_sqrt_loss: 0.247498, test_sqrt_loss: 0.231444
Epoch 43/200, train_sqrt_loss: 0.242984, test_sqrt_loss: 0.227723
Epoch 44/200, train_sqrt_loss: 0.238529, test_sqrt_loss: 0.224247
Epoch 45/200, train_sqrt_loss: 0.234158, test_sqrt_loss: 0.220997
Epoch 46/200, train_sqrt_loss: 0.229890, test_sqrt_loss: 0.217935
Epoch 47/200, train_sqrt_loss: 0.225737, test_sqrt_loss: 0.215013
Epoch 48/200, train_sqrt_loss: 0.221704, test_sqrt_loss: 0.212176
Epoch 49/200, train_sqrt_loss: 0.217786, test_sqrt_loss: 0.209374
Epoch 50/200, train_sqrt_loss: 0.213975, test_sqrt_loss: 0.206567
Epoch 51/200, train_sqrt_loss: 0.210259, test_sqrt_loss: 0.203726
Epoch 52/200, train_sqrt_loss: 0.206624, test_sqrt_loss: 0.200832
Epoch 53/200, train_sqrt_loss: 0.203059, test_sqrt_loss: 0.197874
Epoch 54/200, train_sqrt_loss: 0.199555, test_sqrt_loss: 0.194848
Epoch 55/200, train_sqrt_loss: 0.196102, test_sqrt_loss: 0.191756
Epoch 56/200, train_sqrt_loss: 0.192696, test_sqrt_loss: 0.188604
Epoch 57/200, train_sqrt_loss: 0.189335, test_sqrt_loss: 0.185401
Epoch 58/200, train_sqrt_loss: 0.186019, test_sqrt_loss: 0.182162
Epoch 59/200, train_sqrt_loss: 0.182752, test_sqrt_loss: 0.178905
Epoch 60/200, train_sqrt_loss: 0.179537, test_sqrt_loss: 0.175652
Epoch 61/200, train_sqrt_loss: 0.176382, test_sqrt_loss: 0.172430
Epoch 62/200, train_sqrt_loss: 0.173293, test_sqrt_loss: 0.169266
Epoch 63/200, train_sqrt_loss: 0.170273, test_sqrt_loss: 0.166188
Epoch 64/200, train_sqrt_loss: 0.167328, test_sqrt_loss: 0.163220
Epoch 65/200, train_sqrt_loss: 0.164457, test_sqrt_loss: 0.160385
Epoch 66/200, train_sqrt_loss: 0.161658, test_sqrt_loss: 0.157698
Epoch 67/200, train_sqrt_loss: 0.158922, test_sqrt_loss: 0.155163
Epoch 68/200, train_sqrt_loss: 0.156243, test_sqrt_loss: 0.152780
Epoch 69/200, train_sqrt_loss: 0.153612, test_sqrt_loss: 0.150542
Epoch 70/200, train_sqrt_loss: 0.151024, test_sqrt_loss: 0.148435
Epoch 71/200, train_sqrt_loss: 0.148476, test_sqrt_loss: 0.146445
Epoch 72/200, train_sqrt_loss: 0.145970, test_sqrt_loss: 0.144555
Epoch 73/200, train_sqrt_loss: 0.143511, test_sqrt_loss: 0.142744
Epoch 74/200, train_sqrt_loss: 0.141102, test_sqrt_loss: 0.140991
Epoch 75/200, train_sqrt_loss: 0.138749, test_sqrt_loss: 0.139276
Epoch 76/200, train_sqrt_loss: 0.136453, test_sqrt_loss: 0.137579
Epoch 77/200, train_sqrt_loss: 0.134214, test_sqrt_loss: 0.135881
Epoch 78/200, train_sqrt_loss: 0.132030, test_sqrt_loss: 0.134170
Epoch 79/200, train_sqrt_loss: 0.129899, test_sqrt_loss: 0.132437
Epoch 80/200, train_sqrt_loss: 0.127815, test_sqrt_loss: 0.130679
Epoch 81/200, train_sqrt_loss: 0.125777, test_sqrt_loss: 0.128895
Epoch 82/200, train_sqrt_loss: 0.123783, test_sqrt_loss: 0.127096
Epoch 83/200, train_sqrt_loss: 0.121831, test_sqrt_loss: 0.125290
Epoch 84/200, train_sqrt_loss: 0.119923, test_sqrt_loss: 0.123489
Epoch 85/200, train_sqrt_loss: 0.118059, test_sqrt_loss: 0.121710
Epoch 86/200, train_sqrt_loss: 0.116242, test_sqrt_loss: 0.119968
Epoch 87/200, train_sqrt_loss: 0.114472, test_sqrt_loss: 0.118278
Epoch 88/200, train_sqrt_loss: 0.112749, test_sqrt_loss: 0.116652
Epoch 89/200, train_sqrt_loss: 0.111073, test_sqrt_loss: 0.115100
Epoch 90/200, train_sqrt_loss: 0.109443, test_sqrt_loss: 0.113629
Epoch 91/200, train_sqrt_loss: 0.107854, test_sqrt_loss: 0.112241
Epoch 92/200, train_sqrt_loss: 0.106306, test_sqrt_loss: 0.110935
Epoch 93/200, train_sqrt_loss: 0.104796, test_sqrt_loss: 0.109705
Epoch 94/200, train_sqrt_loss: 0.103323, test_sqrt_loss: 0.108546
Epoch 95/200, train_sqrt_loss: 0.101887, test_sqrt_loss: 0.107450
Epoch 96/200, train_sqrt_loss: 0.100489, test_sqrt_loss: 0.106406
Epoch 97/200, train_sqrt_loss: 0.099128, test_sqrt_loss: 0.105406
Epoch 98/200, train_sqrt_loss: 0.097805, test_sqrt_loss: 0.104438
Epoch 99/200, train_sqrt_loss: 0.096520, test_sqrt_loss: 0.103494
Epoch 100/200, train_sqrt_loss: 0.095272, test_sqrt_loss: 0.102564
Epoch 101/200, train_sqrt_loss: 0.094059, test_sqrt_loss: 0.101644
Epoch 102/200, train_sqrt_loss: 0.092879, test_sqrt_loss: 0.100729
Epoch 103/200, train_sqrt_loss: 0.091732, test_sqrt_loss: 0.099820
Epoch 104/200, train_sqrt_loss: 0.090616, test_sqrt_loss: 0.098918
Epoch 105/200, train_sqrt_loss: 0.089531, test_sqrt_loss: 0.098026
Epoch 106/200, train_sqrt_loss: 0.088477, test_sqrt_loss: 0.097149
Epoch 107/200, train_sqrt_loss: 0.087453, test_sqrt_loss: 0.096292
Epoch 108/200, train_sqrt_loss: 0.086459, test_sqrt_loss: 0.095460
Epoch 109/200, train_sqrt_loss: 0.085494, test_sqrt_loss: 0.094655
Epoch 110/200, train_sqrt_loss: 0.084557, test_sqrt_loss: 0.093880
Epoch 111/200, train_sqrt_loss: 0.083647, test_sqrt_loss: 0.093136
Epoch 112/200, train_sqrt_loss: 0.082763, test_sqrt_loss: 0.092420
Epoch 113/200, train_sqrt_loss: 0.081903, test_sqrt_loss: 0.091732
Epoch 114/200, train_sqrt_loss: 0.081068, test_sqrt_loss: 0.091070
Epoch 115/200, train_sqrt_loss: 0.080255, test_sqrt_loss: 0.090429
Epoch 116/200, train_sqrt_loss: 0.079466, test_sqrt_loss: 0.089805
Epoch 117/200, train_sqrt_loss: 0.078699, test_sqrt_loss: 0.089194
Epoch 118/200, train_sqrt_loss: 0.077954, test_sqrt_loss: 0.088593
Epoch 119/200, train_sqrt_loss: 0.077230, test_sqrt_loss: 0.087997
Epoch 120/200, train_sqrt_loss: 0.076527, test_sqrt_loss: 0.087404
Epoch 121/200, train_sqrt_loss: 0.075843, test_sqrt_loss: 0.086814
Epoch 122/200, train_sqrt_loss: 0.075179, test_sqrt_loss: 0.086228
Epoch 123/200, train_sqrt_loss: 0.074532, test_sqrt_loss: 0.085647
Epoch 124/200, train_sqrt_loss: 0.073904, test_sqrt_loss: 0.085074
Epoch 125/200, train_sqrt_loss: 0.073293, test_sqrt_loss: 0.084512
Epoch 126/200, train_sqrt_loss: 0.072699, test_sqrt_loss: 0.083963
Epoch 127/200, train_sqrt_loss: 0.072122, test_sqrt_loss: 0.083431
Epoch 128/200, train_sqrt_loss: 0.071561, test_sqrt_loss: 0.082916
Epoch 129/200, train_sqrt_loss: 0.071016, test_sqrt_loss: 0.082419
Epoch 130/200, train_sqrt_loss: 0.070485, test_sqrt_loss: 0.081940
Epoch 131/200, train_sqrt_loss: 0.069969, test_sqrt_loss: 0.081478
Epoch 132/200, train_sqrt_loss: 0.069466, test_sqrt_loss: 0.081030
Epoch 133/200, train_sqrt_loss: 0.068978, test_sqrt_loss: 0.080595
Epoch 134/200, train_sqrt_loss: 0.068502, test_sqrt_loss: 0.080169
Epoch 135/200, train_sqrt_loss: 0.068040, test_sqrt_loss: 0.079750
Epoch 136/200, train_sqrt_loss: 0.067590, test_sqrt_loss: 0.079337
Epoch 137/200, train_sqrt_loss: 0.067153, test_sqrt_loss: 0.078927
Epoch 138/200, train_sqrt_loss: 0.066727, test_sqrt_loss: 0.078520
Epoch 139/200, train_sqrt_loss: 0.066312, test_sqrt_loss: 0.078116
Epoch 140/200, train_sqrt_loss: 0.065909, test_sqrt_loss: 0.077715
Epoch 141/200, train_sqrt_loss: 0.065516, test_sqrt_loss: 0.077319
Epoch 142/200, train_sqrt_loss: 0.065134, test_sqrt_loss: 0.076930
Epoch 143/200, train_sqrt_loss: 0.064761, test_sqrt_loss: 0.076549
Epoch 144/200, train_sqrt_loss: 0.064399, test_sqrt_loss: 0.076177
Epoch 145/200, train_sqrt_loss: 0.064046, test_sqrt_loss: 0.075816
Epoch 146/200, train_sqrt_loss: 0.063702, test_sqrt_loss: 0.075464
Epoch 147/200, train_sqrt_loss: 0.063367, test_sqrt_loss: 0.075123
Epoch 148/200, train_sqrt_loss: 0.063040, test_sqrt_loss: 0.074791
Epoch 149/200, train_sqrt_loss: 0.062722, test_sqrt_loss: 0.074468
