train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/200, train_sqrt_loss: 0.471035, test_sqrt_loss: 0.372242
Epoch 2/200, train_sqrt_loss: 0.309046, test_sqrt_loss: 0.252446
Epoch 3/200, train_sqrt_loss: 0.216110, test_sqrt_loss: 0.179206
Epoch 4/200, train_sqrt_loss: 0.155512, test_sqrt_loss: 0.136038
Epoch 5/200, train_sqrt_loss: 0.115337, test_sqrt_loss: 0.104072
Epoch 6/200, train_sqrt_loss: 0.090062, test_sqrt_loss: 0.087265
Epoch 7/200, train_sqrt_loss: 0.075358, test_sqrt_loss: 0.079409
Epoch 8/200, train_sqrt_loss: 0.066266, test_sqrt_loss: 0.071811
Epoch 9/200, train_sqrt_loss: 0.061037, test_sqrt_loss: 0.068450
Epoch 10/200, train_sqrt_loss: 0.057740, test_sqrt_loss: 0.066659
Epoch 11/200, train_sqrt_loss: 0.055212, test_sqrt_loss: 0.064302
Epoch 12/200, train_sqrt_loss: 0.052687, test_sqrt_loss: 0.057506
Epoch 13/200, train_sqrt_loss: 0.051155, test_sqrt_loss: 0.057149
Epoch 14/200, train_sqrt_loss: 0.049443, test_sqrt_loss: 0.058702
Epoch 15/200, train_sqrt_loss: 0.048026, test_sqrt_loss: 0.053434
Epoch 16/200, train_sqrt_loss: 0.046516, test_sqrt_loss: 0.052418
Epoch 17/200, train_sqrt_loss: 0.045479, test_sqrt_loss: 0.051285
Epoch 18/200, train_sqrt_loss: 0.044152, test_sqrt_loss: 0.054784
Epoch 19/200, train_sqrt_loss: 0.043297, test_sqrt_loss: 0.049384
Epoch 20/200, train_sqrt_loss: 0.042401, test_sqrt_loss: 0.048796
Epoch 21/200, train_sqrt_loss: 0.041265, test_sqrt_loss: 0.047940
Epoch 22/200, train_sqrt_loss: 0.040267, test_sqrt_loss: 0.049024
Epoch 23/200, train_sqrt_loss: 0.039701, test_sqrt_loss: 0.047536
Epoch 24/200, train_sqrt_loss: 0.038685, test_sqrt_loss: 0.045096
Epoch 25/200, train_sqrt_loss: 0.038351, test_sqrt_loss: 0.046398
Epoch 26/200, train_sqrt_loss: 0.036902, test_sqrt_loss: 0.044243
Epoch 27/200, train_sqrt_loss: 0.036852, test_sqrt_loss: 0.041758
Epoch 28/200, train_sqrt_loss: 0.035842, test_sqrt_loss: 0.041465
Epoch 29/200, train_sqrt_loss: 0.035256, test_sqrt_loss: 0.041896
Epoch 30/200, train_sqrt_loss: 0.035039, test_sqrt_loss: 0.045883
Epoch 31/200, train_sqrt_loss: 0.034484, test_sqrt_loss: 0.039897
Epoch 32/200, train_sqrt_loss: 0.033957, test_sqrt_loss: 0.040578
Epoch 33/200, train_sqrt_loss: 0.034249, test_sqrt_loss: 0.043657
Epoch 34/200, train_sqrt_loss: 0.033372, test_sqrt_loss: 0.041054
Epoch 35/200, train_sqrt_loss: 0.033116, test_sqrt_loss: 0.039635
Epoch 36/200, train_sqrt_loss: 0.032963, test_sqrt_loss: 0.043638
Epoch 37/200, train_sqrt_loss: 0.032600, test_sqrt_loss: 0.043397
Epoch 38/200, train_sqrt_loss: 0.032206, test_sqrt_loss: 0.039101
Epoch 39/200, train_sqrt_loss: 0.032281, test_sqrt_loss: 0.040623
Epoch 40/200, train_sqrt_loss: 0.032187, test_sqrt_loss: 0.040667
Epoch 41/200, train_sqrt_loss: 0.031634, test_sqrt_loss: 0.040514
Epoch 42/200, train_sqrt_loss: 0.031563, test_sqrt_loss: 0.039811
Epoch 43/200, train_sqrt_loss: 0.031324, test_sqrt_loss: 0.045204
Epoch 44/200, train_sqrt_loss: 0.031052, test_sqrt_loss: 0.040462
Epoch 45/200, train_sqrt_loss: 0.031129, test_sqrt_loss: 0.039112
Epoch 46/200, train_sqrt_loss: 0.030860, test_sqrt_loss: 0.043653
Epoch 47/200, train_sqrt_loss: 0.030799, test_sqrt_loss: 0.037575
Epoch 48/200, train_sqrt_loss: 0.032574, test_sqrt_loss: 0.037056
Epoch 49/200, train_sqrt_loss: 0.031496, test_sqrt_loss: 0.044971
Epoch 50/200, train_sqrt_loss: 0.032334, test_sqrt_loss: 0.042922
Epoch 51/200, train_sqrt_loss: 0.030546, test_sqrt_loss: 0.041702
Epoch 52/200, train_sqrt_loss: 0.030044, test_sqrt_loss: 0.036678
Epoch 53/200, train_sqrt_loss: 0.030130, test_sqrt_loss: 0.038114
Epoch 54/200, train_sqrt_loss: 0.030177, test_sqrt_loss: 0.036376
Epoch 55/200, train_sqrt_loss: 0.029891, test_sqrt_loss: 0.036602
Epoch 56/200, train_sqrt_loss: 0.029874, test_sqrt_loss: 0.041372
Epoch 57/200, train_sqrt_loss: 0.029716, test_sqrt_loss: 0.036262
Epoch 58/200, train_sqrt_loss: 0.029455, test_sqrt_loss: 0.042153
Epoch 59/200, train_sqrt_loss: 0.029536, test_sqrt_loss: 0.036924
Epoch 60/200, train_sqrt_loss: 0.029540, test_sqrt_loss: 0.040420
Epoch 61/200, train_sqrt_loss: 0.029347, test_sqrt_loss: 0.036952
Epoch 62/200, train_sqrt_loss: 0.029347, test_sqrt_loss: 0.037781
Epoch 63/200, train_sqrt_loss: 0.029135, test_sqrt_loss: 0.036654
Epoch 64/200, train_sqrt_loss: 0.029379, test_sqrt_loss: 0.035858
Epoch 65/200, train_sqrt_loss: 0.029014, test_sqrt_loss: 0.036397
Epoch 66/200, train_sqrt_loss: 0.029119, test_sqrt_loss: 0.036409
Epoch 67/200, train_sqrt_loss: 0.028935, test_sqrt_loss: 0.037954
Epoch 68/200, train_sqrt_loss: 0.029182, test_sqrt_loss: 0.036295
Epoch 69/200, train_sqrt_loss: 0.028885, test_sqrt_loss: 0.035474
Epoch 70/200, train_sqrt_loss: 0.029280, test_sqrt_loss: 0.037211
Epoch 71/200, train_sqrt_loss: 0.028742, test_sqrt_loss: 0.038757
Epoch 72/200, train_sqrt_loss: 0.028692, test_sqrt_loss: 0.036531
Epoch 73/200, train_sqrt_loss: 0.028573, test_sqrt_loss: 0.041908
Epoch 74/200, train_sqrt_loss: 0.028867, test_sqrt_loss: 0.037062
Epoch 75/200, train_sqrt_loss: 0.028621, test_sqrt_loss: 0.038246
Epoch 76/200, train_sqrt_loss: 0.029605, test_sqrt_loss: 0.033658
Epoch 77/200, train_sqrt_loss: 0.028507, test_sqrt_loss: 0.038574
Epoch 78/200, train_sqrt_loss: 0.028628, test_sqrt_loss: 0.040249
Epoch 79/200, train_sqrt_loss: 0.028624, test_sqrt_loss: 0.034876
Epoch 80/200, train_sqrt_loss: 0.028561, test_sqrt_loss: 0.036326
Epoch 81/200, train_sqrt_loss: 0.028085, test_sqrt_loss: 0.039249
Epoch 82/200, train_sqrt_loss: 0.028081, test_sqrt_loss: 0.038862
Epoch 83/200, train_sqrt_loss: 0.028072, test_sqrt_loss: 0.033295
Epoch 84/200, train_sqrt_loss: 0.028197, test_sqrt_loss: 0.035039
Epoch 85/200, train_sqrt_loss: 0.028203, test_sqrt_loss: 0.034574
Epoch 86/200, train_sqrt_loss: 0.030026, test_sqrt_loss: 0.036230
Epoch 87/200, train_sqrt_loss: 0.028501, test_sqrt_loss: 0.035825
Epoch 88/200, train_sqrt_loss: 0.028232, test_sqrt_loss: 0.033800
Epoch 89/200, train_sqrt_loss: 0.028176, test_sqrt_loss: 0.034405
Epoch 90/200, train_sqrt_loss: 0.028021, test_sqrt_loss: 0.036055
Epoch 91/200, train_sqrt_loss: 0.028091, test_sqrt_loss: 0.041506
Epoch 92/200, train_sqrt_loss: 0.028117, test_sqrt_loss: 0.032872
Epoch 93/200, train_sqrt_loss: 0.028388, test_sqrt_loss: 0.037900
