train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.378700, test_sqrt_loss: 0.284271
Epoch 2/100, train_sqrt_loss: 0.240464, test_sqrt_loss: 0.190193
Epoch 3/100, train_sqrt_loss: 0.168936, test_sqrt_loss: 0.143350
Epoch 4/100, train_sqrt_loss: 0.128694, test_sqrt_loss: 0.114407
Epoch 5/100, train_sqrt_loss: 0.101906, test_sqrt_loss: 0.095925
Epoch 6/100, train_sqrt_loss: 0.082999, test_sqrt_loss: 0.076674
Epoch 7/100, train_sqrt_loss: 0.069720, test_sqrt_loss: 0.070595
Epoch 8/100, train_sqrt_loss: 0.061130, test_sqrt_loss: 0.060692
Epoch 9/100, train_sqrt_loss: 0.056164, test_sqrt_loss: 0.057853
Epoch 10/100, train_sqrt_loss: 0.052158, test_sqrt_loss: 0.055695
Epoch 11/100, train_sqrt_loss: 0.049926, test_sqrt_loss: 0.052604
Epoch 12/100, train_sqrt_loss: 0.048171, test_sqrt_loss: 0.052254
Epoch 13/100, train_sqrt_loss: 0.046612, test_sqrt_loss: 0.050981
Epoch 14/100, train_sqrt_loss: 0.045198, test_sqrt_loss: 0.050056
Epoch 15/100, train_sqrt_loss: 0.044206, test_sqrt_loss: 0.052031
Epoch 16/100, train_sqrt_loss: 0.043266, test_sqrt_loss: 0.054931
Epoch 17/100, train_sqrt_loss: 0.042049, test_sqrt_loss: 0.048607
Epoch 18/100, train_sqrt_loss: 0.041437, test_sqrt_loss: 0.049529
Epoch 19/100, train_sqrt_loss: 0.040731, test_sqrt_loss: 0.046540
Epoch 20/100, train_sqrt_loss: 0.039881, test_sqrt_loss: 0.047036
Epoch 21/100, train_sqrt_loss: 0.039567, test_sqrt_loss: 0.047683
Epoch 22/100, train_sqrt_loss: 0.038927, test_sqrt_loss: 0.044562
Epoch 23/100, train_sqrt_loss: 0.038303, test_sqrt_loss: 0.046467
Epoch 24/100, train_sqrt_loss: 0.037984, test_sqrt_loss: 0.043840
Epoch 25/100, train_sqrt_loss: 0.037434, test_sqrt_loss: 0.048520
Epoch 26/100, train_sqrt_loss: 0.036964, test_sqrt_loss: 0.043381
Epoch 27/100, train_sqrt_loss: 0.036693, test_sqrt_loss: 0.040659
Epoch 28/100, train_sqrt_loss: 0.036074, test_sqrt_loss: 0.042789
Epoch 29/100, train_sqrt_loss: 0.035692, test_sqrt_loss: 0.044280
Epoch 30/100, train_sqrt_loss: 0.035781, test_sqrt_loss: 0.042890
Epoch 31/100, train_sqrt_loss: 0.035135, test_sqrt_loss: 0.040160
Epoch 32/100, train_sqrt_loss: 0.034894, test_sqrt_loss: 0.043205
Epoch 33/100, train_sqrt_loss: 0.034480, test_sqrt_loss: 0.041352
Epoch 34/100, train_sqrt_loss: 0.034164, test_sqrt_loss: 0.038397
Epoch 35/100, train_sqrt_loss: 0.033855, test_sqrt_loss: 0.037981
Epoch 36/100, train_sqrt_loss: 0.033662, test_sqrt_loss: 0.040249
Epoch 37/100, train_sqrt_loss: 0.033323, test_sqrt_loss: 0.037929
Epoch 38/100, train_sqrt_loss: 0.033289, test_sqrt_loss: 0.040768
Epoch 39/100, train_sqrt_loss: 0.032951, test_sqrt_loss: 0.038006
Epoch 40/100, train_sqrt_loss: 0.032519, test_sqrt_loss: 0.037195
Epoch 41/100, train_sqrt_loss: 0.032484, test_sqrt_loss: 0.037542
Epoch 42/100, train_sqrt_loss: 0.032219, test_sqrt_loss: 0.037080
Epoch 43/100, train_sqrt_loss: 0.032247, test_sqrt_loss: 0.036213
Epoch 44/100, train_sqrt_loss: 0.031973, test_sqrt_loss: 0.041517
Epoch 45/100, train_sqrt_loss: 0.031549, test_sqrt_loss: 0.037545
Epoch 46/100, train_sqrt_loss: 0.031570, test_sqrt_loss: 0.036645
Epoch 47/100, train_sqrt_loss: 0.031689, test_sqrt_loss: 0.037531
