train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.541679, test_sqrt_loss: 0.515053
Epoch 2/100, train_sqrt_loss: 0.499998, test_sqrt_loss: 0.476220
Epoch 3/100, train_sqrt_loss: 0.463537, test_sqrt_loss: 0.443619
Epoch 4/100, train_sqrt_loss: 0.433462, test_sqrt_loss: 0.413356
Epoch 5/100, train_sqrt_loss: 0.404120, test_sqrt_loss: 0.385243
Epoch 6/100, train_sqrt_loss: 0.377024, test_sqrt_loss: 0.357145
Epoch 7/100, train_sqrt_loss: 0.353211, test_sqrt_loss: 0.337543
Epoch 8/100, train_sqrt_loss: 0.329866, test_sqrt_loss: 0.314528
Epoch 9/100, train_sqrt_loss: 0.308224, test_sqrt_loss: 0.295481
Epoch 10/100, train_sqrt_loss: 0.289540, test_sqrt_loss: 0.273883
Epoch 11/100, train_sqrt_loss: 0.270304, test_sqrt_loss: 0.257916
Epoch 12/100, train_sqrt_loss: 0.253664, test_sqrt_loss: 0.242387
Epoch 13/100, train_sqrt_loss: 0.238110, test_sqrt_loss: 0.234054
Epoch 14/100, train_sqrt_loss: 0.223250, test_sqrt_loss: 0.218171
Epoch 15/100, train_sqrt_loss: 0.210675, test_sqrt_loss: 0.204979
Epoch 16/100, train_sqrt_loss: 0.198915, test_sqrt_loss: 0.194847
Epoch 17/100, train_sqrt_loss: 0.188053, test_sqrt_loss: 0.189041
Epoch 18/100, train_sqrt_loss: 0.178425, test_sqrt_loss: 0.180307
Epoch 19/100, train_sqrt_loss: 0.169724, test_sqrt_loss: 0.169218
Epoch 20/100, train_sqrt_loss: 0.161619, test_sqrt_loss: 0.164419
Epoch 21/100, train_sqrt_loss: 0.154537, test_sqrt_loss: 0.154421
Epoch 22/100, train_sqrt_loss: 0.148542, test_sqrt_loss: 0.150471
Epoch 23/100, train_sqrt_loss: 0.141757, test_sqrt_loss: 0.145954
Epoch 24/100, train_sqrt_loss: 0.136151, test_sqrt_loss: 0.141279
Epoch 25/100, train_sqrt_loss: 0.131335, test_sqrt_loss: 0.133110
Epoch 26/100, train_sqrt_loss: 0.126453, test_sqrt_loss: 0.133258
Epoch 27/100, train_sqrt_loss: 0.121157, test_sqrt_loss: 0.126053
Epoch 28/100, train_sqrt_loss: 0.117123, test_sqrt_loss: 0.122367
Epoch 29/100, train_sqrt_loss: 0.113460, test_sqrt_loss: 0.117796
Epoch 30/100, train_sqrt_loss: 0.109348, test_sqrt_loss: 0.114151
Epoch 31/100, train_sqrt_loss: 0.106114, test_sqrt_loss: 0.112232
Epoch 32/100, train_sqrt_loss: 0.102684, test_sqrt_loss: 0.111369
Epoch 33/100, train_sqrt_loss: 0.099618, test_sqrt_loss: 0.107124
Epoch 34/100, train_sqrt_loss: 0.097530, test_sqrt_loss: 0.102426
Epoch 35/100, train_sqrt_loss: 0.094296, test_sqrt_loss: 0.099048
Epoch 36/100, train_sqrt_loss: 0.092035, test_sqrt_loss: 0.100454
Epoch 37/100, train_sqrt_loss: 0.089642, test_sqrt_loss: 0.097147
Epoch 38/100, train_sqrt_loss: 0.087132, test_sqrt_loss: 0.098959
Epoch 39/100, train_sqrt_loss: 0.085124, test_sqrt_loss: 0.093192
Epoch 40/100, train_sqrt_loss: 0.083033, test_sqrt_loss: 0.090614
Epoch 41/100, train_sqrt_loss: 0.081328, test_sqrt_loss: 0.091200
Epoch 42/100, train_sqrt_loss: 0.079898, test_sqrt_loss: 0.086939
Epoch 43/100, train_sqrt_loss: 0.078377, test_sqrt_loss: 0.084040
Epoch 44/100, train_sqrt_loss: 0.076512, test_sqrt_loss: 0.087995
Epoch 45/100, train_sqrt_loss: 0.075332, test_sqrt_loss: 0.087035
Epoch 46/100, train_sqrt_loss: 0.074065, test_sqrt_loss: 0.083250
