train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.521922, test_sqrt_loss: 0.471220
Epoch 2/100, train_sqrt_loss: 0.422823, test_sqrt_loss: 0.384328
Epoch 3/100, train_sqrt_loss: 0.349493, test_sqrt_loss: 0.314321
Epoch 4/100, train_sqrt_loss: 0.290631, test_sqrt_loss: 0.262380
Epoch 5/100, train_sqrt_loss: 0.244542, test_sqrt_loss: 0.223752
Epoch 6/100, train_sqrt_loss: 0.207385, test_sqrt_loss: 0.192026
Epoch 7/100, train_sqrt_loss: 0.176041, test_sqrt_loss: 0.165149
Epoch 8/100, train_sqrt_loss: 0.147767, test_sqrt_loss: 0.142262
Epoch 9/100, train_sqrt_loss: 0.125334, test_sqrt_loss: 0.121482
Epoch 10/100, train_sqrt_loss: 0.108703, test_sqrt_loss: 0.109259
Epoch 11/100, train_sqrt_loss: 0.096193, test_sqrt_loss: 0.099995
Epoch 12/100, train_sqrt_loss: 0.086126, test_sqrt_loss: 0.087492
Epoch 13/100, train_sqrt_loss: 0.079385, test_sqrt_loss: 0.082725
Epoch 14/100, train_sqrt_loss: 0.073469, test_sqrt_loss: 0.080471
Epoch 15/100, train_sqrt_loss: 0.069168, test_sqrt_loss: 0.074240
Epoch 16/100, train_sqrt_loss: 0.065397, test_sqrt_loss: 0.071366
Epoch 17/100, train_sqrt_loss: 0.063091, test_sqrt_loss: 0.068005
Epoch 18/100, train_sqrt_loss: 0.060260, test_sqrt_loss: 0.071150
Epoch 19/100, train_sqrt_loss: 0.058550, test_sqrt_loss: 0.064617
Epoch 20/100, train_sqrt_loss: 0.056861, test_sqrt_loss: 0.063258
Epoch 21/100, train_sqrt_loss: 0.055112, test_sqrt_loss: 0.062343
Epoch 22/100, train_sqrt_loss: 0.053669, test_sqrt_loss: 0.063358
Epoch 23/100, train_sqrt_loss: 0.052997, test_sqrt_loss: 0.061849
Epoch 24/100, train_sqrt_loss: 0.051589, test_sqrt_loss: 0.058353
Epoch 25/100, train_sqrt_loss: 0.051051, test_sqrt_loss: 0.060254
Epoch 26/100, train_sqrt_loss: 0.049870, test_sqrt_loss: 0.056983
Epoch 27/100, train_sqrt_loss: 0.049243, test_sqrt_loss: 0.054881
Epoch 28/100, train_sqrt_loss: 0.047758, test_sqrt_loss: 0.054401
Epoch 29/100, train_sqrt_loss: 0.047186, test_sqrt_loss: 0.053411
Epoch 30/100, train_sqrt_loss: 0.046457, test_sqrt_loss: 0.055812
Epoch 31/100, train_sqrt_loss: 0.045596, test_sqrt_loss: 0.050629
Epoch 32/100, train_sqrt_loss: 0.044663, test_sqrt_loss: 0.050856
Epoch 33/100, train_sqrt_loss: 0.044372, test_sqrt_loss: 0.054293
Epoch 34/100, train_sqrt_loss: 0.043310, test_sqrt_loss: 0.050226
Epoch 35/100, train_sqrt_loss: 0.042551, test_sqrt_loss: 0.048794
Epoch 36/100, train_sqrt_loss: 0.041886, test_sqrt_loss: 0.051999
Epoch 37/100, train_sqrt_loss: 0.041391, test_sqrt_loss: 0.050974
Epoch 38/100, train_sqrt_loss: 0.040499, test_sqrt_loss: 0.047545
Epoch 39/100, train_sqrt_loss: 0.040054, test_sqrt_loss: 0.048407
Epoch 40/100, train_sqrt_loss: 0.039739, test_sqrt_loss: 0.048001
Epoch 41/100, train_sqrt_loss: 0.038788, test_sqrt_loss: 0.046961
Epoch 42/100, train_sqrt_loss: 0.038454, test_sqrt_loss: 0.046285
Epoch 43/100, train_sqrt_loss: 0.037940, test_sqrt_loss: 0.051301
Epoch 44/100, train_sqrt_loss: 0.037449, test_sqrt_loss: 0.047213
Epoch 45/100, train_sqrt_loss: 0.037432, test_sqrt_loss: 0.045292
Epoch 46/100, train_sqrt_loss: 0.037005, test_sqrt_loss: 0.048597
Epoch 47/100, train_sqrt_loss: 0.037303, test_sqrt_loss: 0.044416
Epoch 48/100, train_sqrt_loss: 0.038203, test_sqrt_loss: 0.043298
Epoch 49/100, train_sqrt_loss: 0.036851, test_sqrt_loss: 0.049143
Epoch 50/100, train_sqrt_loss: 0.037320, test_sqrt_loss: 0.048800
Epoch 51/100, train_sqrt_loss: 0.035799, test_sqrt_loss: 0.046764
Epoch 52/100, train_sqrt_loss: 0.035190, test_sqrt_loss: 0.042860
Epoch 53/100, train_sqrt_loss: 0.035103, test_sqrt_loss: 0.043147
Epoch 54/100, train_sqrt_loss: 0.035166, test_sqrt_loss: 0.042098
Epoch 55/100, train_sqrt_loss: 0.034762, test_sqrt_loss: 0.042199
Epoch 56/100, train_sqrt_loss: 0.034568, test_sqrt_loss: 0.046872
Epoch 57/100, train_sqrt_loss: 0.034423, test_sqrt_loss: 0.041099
Epoch 58/100, train_sqrt_loss: 0.034075, test_sqrt_loss: 0.046574
Epoch 59/100, train_sqrt_loss: 0.033940, test_sqrt_loss: 0.042477
Epoch 60/100, train_sqrt_loss: 0.033778, test_sqrt_loss: 0.045209
Epoch 61/100, train_sqrt_loss: 0.033536, test_sqrt_loss: 0.042173
Epoch 62/100, train_sqrt_loss: 0.033515, test_sqrt_loss: 0.042605
Epoch 63/100, train_sqrt_loss: 0.033256, test_sqrt_loss: 0.040905
Epoch 64/100, train_sqrt_loss: 0.033343, test_sqrt_loss: 0.040494
Epoch 65/100, train_sqrt_loss: 0.032969, test_sqrt_loss: 0.041047
Epoch 66/100, train_sqrt_loss: 0.033114, test_sqrt_loss: 0.040863
Epoch 67/100, train_sqrt_loss: 0.032787, test_sqrt_loss: 0.042737
Epoch 68/100, train_sqrt_loss: 0.032974, test_sqrt_loss: 0.041635
Epoch 69/100, train_sqrt_loss: 0.032700, test_sqrt_loss: 0.040477
Epoch 70/100, train_sqrt_loss: 0.032943, test_sqrt_loss: 0.042255
Epoch 71/100, train_sqrt_loss: 0.032391, test_sqrt_loss: 0.043117
Epoch 72/100, train_sqrt_loss: 0.032331, test_sqrt_loss: 0.041033
Epoch 73/100, train_sqrt_loss: 0.032029, test_sqrt_loss: 0.045540
Epoch 74/100, train_sqrt_loss: 0.032306, test_sqrt_loss: 0.041320
Epoch 75/100, train_sqrt_loss: 0.032077, test_sqrt_loss: 0.042458
Epoch 76/100, train_sqrt_loss: 0.032863, test_sqrt_loss: 0.038886
Epoch 77/100, train_sqrt_loss: 0.031952, test_sqrt_loss: 0.042269
Epoch 78/100, train_sqrt_loss: 0.031926, test_sqrt_loss: 0.043784
Epoch 79/100, train_sqrt_loss: 0.031880, test_sqrt_loss: 0.039195
Epoch 80/100, train_sqrt_loss: 0.031653, test_sqrt_loss: 0.040693
Epoch 81/100, train_sqrt_loss: 0.031305, test_sqrt_loss: 0.043359
Epoch 82/100, train_sqrt_loss: 0.031213, test_sqrt_loss: 0.042158
Epoch 83/100, train_sqrt_loss: 0.031096, test_sqrt_loss: 0.036929
Epoch 84/100, train_sqrt_loss: 0.031138, test_sqrt_loss: 0.039500
Epoch 85/100, train_sqrt_loss: 0.031263, test_sqrt_loss: 0.039054
Epoch 86/100, train_sqrt_loss: 0.032852, test_sqrt_loss: 0.040321
Epoch 87/100, train_sqrt_loss: 0.031406, test_sqrt_loss: 0.040254
Epoch 88/100, train_sqrt_loss: 0.031083, test_sqrt_loss: 0.037593
Epoch 89/100, train_sqrt_loss: 0.031050, test_sqrt_loss: 0.038644
Epoch 90/100, train_sqrt_loss: 0.030954, test_sqrt_loss: 0.040147
Epoch 91/100, train_sqrt_loss: 0.030798, test_sqrt_loss: 0.044639
Epoch 92/100, train_sqrt_loss: 0.030809, test_sqrt_loss: 0.036934
Epoch 93/100, train_sqrt_loss: 0.031040, test_sqrt_loss: 0.041508
Epoch 94/100, train_sqrt_loss: 0.030399, test_sqrt_loss: 0.038666
Epoch 95/100, train_sqrt_loss: 0.030585, test_sqrt_loss: 0.037101
Epoch 96/100, train_sqrt_loss: 0.030439, test_sqrt_loss: 0.039492
Epoch 97/100, train_sqrt_loss: 0.030437, test_sqrt_loss: 0.036627
Epoch 98/100, train_sqrt_loss: 0.030385, test_sqrt_loss: 0.038746
Epoch 99/100, train_sqrt_loss: 0.030205, test_sqrt_loss: 0.043304
Epoch 100/100, train_sqrt_loss: 0.030240, test_sqrt_loss: 0.041787
