train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.444714, test_sqrt_loss: 0.418084
Epoch 2/100, train_sqrt_loss: 0.396933, test_sqrt_loss: 0.366415
Epoch 3/100, train_sqrt_loss: 0.354770, test_sqrt_loss: 0.329055
Epoch 4/100, train_sqrt_loss: 0.319056, test_sqrt_loss: 0.298627
Epoch 5/100, train_sqrt_loss: 0.288810, test_sqrt_loss: 0.274166
Epoch 6/100, train_sqrt_loss: 0.262660, test_sqrt_loss: 0.242604
Epoch 7/100, train_sqrt_loss: 0.239176, test_sqrt_loss: 0.225175
Epoch 8/100, train_sqrt_loss: 0.220265, test_sqrt_loss: 0.206574
Epoch 9/100, train_sqrt_loss: 0.202434, test_sqrt_loss: 0.188935
Epoch 10/100, train_sqrt_loss: 0.187388, test_sqrt_loss: 0.175636
Epoch 11/100, train_sqrt_loss: 0.173597, test_sqrt_loss: 0.162342
Epoch 12/100, train_sqrt_loss: 0.161212, test_sqrt_loss: 0.149936
Epoch 13/100, train_sqrt_loss: 0.150181, test_sqrt_loss: 0.143051
Epoch 14/100, train_sqrt_loss: 0.140200, test_sqrt_loss: 0.132582
Epoch 15/100, train_sqrt_loss: 0.131416, test_sqrt_loss: 0.126751
Epoch 16/100, train_sqrt_loss: 0.123604, test_sqrt_loss: 0.119951
Epoch 17/100, train_sqrt_loss: 0.115253, test_sqrt_loss: 0.111634
Epoch 18/100, train_sqrt_loss: 0.108319, test_sqrt_loss: 0.106646
Epoch 19/100, train_sqrt_loss: 0.101715, test_sqrt_loss: 0.100039
Epoch 20/100, train_sqrt_loss: 0.095695, test_sqrt_loss: 0.094114
Epoch 21/100, train_sqrt_loss: 0.090047, test_sqrt_loss: 0.089592
Epoch 22/100, train_sqrt_loss: 0.084818, test_sqrt_loss: 0.083395
Epoch 23/100, train_sqrt_loss: 0.080136, test_sqrt_loss: 0.082780
Epoch 24/100, train_sqrt_loss: 0.076672, test_sqrt_loss: 0.076420
Epoch 25/100, train_sqrt_loss: 0.073163, test_sqrt_loss: 0.078575
Epoch 26/100, train_sqrt_loss: 0.070798, test_sqrt_loss: 0.072446
Epoch 27/100, train_sqrt_loss: 0.067912, test_sqrt_loss: 0.068860
Epoch 28/100, train_sqrt_loss: 0.065941, test_sqrt_loss: 0.069793
Epoch 29/100, train_sqrt_loss: 0.064086, test_sqrt_loss: 0.069712
Epoch 30/100, train_sqrt_loss: 0.062724, test_sqrt_loss: 0.067372
Epoch 31/100, train_sqrt_loss: 0.061182, test_sqrt_loss: 0.064036
Epoch 32/100, train_sqrt_loss: 0.059925, test_sqrt_loss: 0.067562
Epoch 33/100, train_sqrt_loss: 0.058597, test_sqrt_loss: 0.063339
Epoch 34/100, train_sqrt_loss: 0.057540, test_sqrt_loss: 0.060571
Epoch 35/100, train_sqrt_loss: 0.056444, test_sqrt_loss: 0.059668
Epoch 36/100, train_sqrt_loss: 0.055928, test_sqrt_loss: 0.061837
Epoch 37/100, train_sqrt_loss: 0.054867, test_sqrt_loss: 0.058652
Epoch 38/100, train_sqrt_loss: 0.054170, test_sqrt_loss: 0.060757
Epoch 39/100, train_sqrt_loss: 0.053683, test_sqrt_loss: 0.057463
Epoch 40/100, train_sqrt_loss: 0.052369, test_sqrt_loss: 0.055432
Epoch 41/100, train_sqrt_loss: 0.052136, test_sqrt_loss: 0.056124
Epoch 42/100, train_sqrt_loss: 0.051416, test_sqrt_loss: 0.054839
Epoch 43/100, train_sqrt_loss: 0.050910, test_sqrt_loss: 0.054293
Epoch 44/100, train_sqrt_loss: 0.050306, test_sqrt_loss: 0.058304
Epoch 45/100, train_sqrt_loss: 0.049557, test_sqrt_loss: 0.055315
Epoch 46/100, train_sqrt_loss: 0.049539, test_sqrt_loss: 0.053963
Epoch 47/100, train_sqrt_loss: 0.049140, test_sqrt_loss: 0.053752
Epoch 48/100, train_sqrt_loss: 0.048298, test_sqrt_loss: 0.052179
Epoch 49/100, train_sqrt_loss: 0.048041, test_sqrt_loss: 0.054245
Epoch 50/100, train_sqrt_loss: 0.047389, test_sqrt_loss: 0.053552
Epoch 51/100, train_sqrt_loss: 0.047151, test_sqrt_loss: 0.051940
Epoch 52/100, train_sqrt_loss: 0.046770, test_sqrt_loss: 0.051879
Epoch 53/100, train_sqrt_loss: 0.046439, test_sqrt_loss: 0.052379
Epoch 54/100, train_sqrt_loss: 0.046107, test_sqrt_loss: 0.055249
Epoch 55/100, train_sqrt_loss: 0.045587, test_sqrt_loss: 0.050600
Epoch 56/100, train_sqrt_loss: 0.045317, test_sqrt_loss: 0.051901
Epoch 57/100, train_sqrt_loss: 0.045069, test_sqrt_loss: 0.050957
Epoch 58/100, train_sqrt_loss: 0.044423, test_sqrt_loss: 0.053255
Epoch 59/100, train_sqrt_loss: 0.044283, test_sqrt_loss: 0.049676
Epoch 60/100, train_sqrt_loss: 0.043974, test_sqrt_loss: 0.049753
Epoch 61/100, train_sqrt_loss: 0.043444, test_sqrt_loss: 0.052032
Epoch 62/100, train_sqrt_loss: 0.043499, test_sqrt_loss: 0.048977
Epoch 63/100, train_sqrt_loss: 0.043127, test_sqrt_loss: 0.047494
Epoch 64/100, train_sqrt_loss: 0.042562, test_sqrt_loss: 0.050643
Epoch 65/100, train_sqrt_loss: 0.042785, test_sqrt_loss: 0.047365
Epoch 66/100, train_sqrt_loss: 0.042312, test_sqrt_loss: 0.047587
Epoch 67/100, train_sqrt_loss: 0.041857, test_sqrt_loss: 0.048874
Epoch 68/100, train_sqrt_loss: 0.041595, test_sqrt_loss: 0.047810
Epoch 69/100, train_sqrt_loss: 0.041320, test_sqrt_loss: 0.046009
Epoch 70/100, train_sqrt_loss: 0.040927, test_sqrt_loss: 0.048501
Epoch 71/100, train_sqrt_loss: 0.040999, test_sqrt_loss: 0.046871
Epoch 72/100, train_sqrt_loss: 0.040585, test_sqrt_loss: 0.048913
Epoch 73/100, train_sqrt_loss: 0.040444, test_sqrt_loss: 0.051240
Epoch 74/100, train_sqrt_loss: 0.040131, test_sqrt_loss: 0.047399
Epoch 75/100, train_sqrt_loss: 0.039893, test_sqrt_loss: 0.045341
