train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.485212, test_sqrt_loss: 0.399019
Epoch 2/100, train_sqrt_loss: 0.338428, test_sqrt_loss: 0.281694
Epoch 3/100, train_sqrt_loss: 0.247639, test_sqrt_loss: 0.209959
Epoch 4/100, train_sqrt_loss: 0.186616, test_sqrt_loss: 0.163893
Epoch 5/100, train_sqrt_loss: 0.141844, test_sqrt_loss: 0.125881
Epoch 6/100, train_sqrt_loss: 0.110017, test_sqrt_loss: 0.102914
Epoch 7/100, train_sqrt_loss: 0.089703, test_sqrt_loss: 0.090519
Epoch 8/100, train_sqrt_loss: 0.076309, test_sqrt_loss: 0.079806
Epoch 9/100, train_sqrt_loss: 0.068257, test_sqrt_loss: 0.074371
Epoch 10/100, train_sqrt_loss: 0.063398, test_sqrt_loss: 0.071792
Epoch 11/100, train_sqrt_loss: 0.059940, test_sqrt_loss: 0.068657
Epoch 12/100, train_sqrt_loss: 0.056795, test_sqrt_loss: 0.061583
Epoch 13/100, train_sqrt_loss: 0.054944, test_sqrt_loss: 0.060888
Epoch 14/100, train_sqrt_loss: 0.052812, test_sqrt_loss: 0.062081
Epoch 15/100, train_sqrt_loss: 0.051108, test_sqrt_loss: 0.056753
Epoch 16/100, train_sqrt_loss: 0.049456, test_sqrt_loss: 0.055587
Epoch 17/100, train_sqrt_loss: 0.048441, test_sqrt_loss: 0.054310
Epoch 18/100, train_sqrt_loss: 0.046948, test_sqrt_loss: 0.057768
Epoch 19/100, train_sqrt_loss: 0.046127, test_sqrt_loss: 0.052325
Epoch 20/100, train_sqrt_loss: 0.045241, test_sqrt_loss: 0.051666
Epoch 21/100, train_sqrt_loss: 0.044090, test_sqrt_loss: 0.051016
Epoch 22/100, train_sqrt_loss: 0.043094, test_sqrt_loss: 0.051991
Epoch 23/100, train_sqrt_loss: 0.042464, test_sqrt_loss: 0.050663
Epoch 24/100, train_sqrt_loss: 0.041390, test_sqrt_loss: 0.047694
Epoch 25/100, train_sqrt_loss: 0.040939, test_sqrt_loss: 0.049315
Epoch 26/100, train_sqrt_loss: 0.039526, test_sqrt_loss: 0.046692
Epoch 27/100, train_sqrt_loss: 0.039276, test_sqrt_loss: 0.044243
Epoch 28/100, train_sqrt_loss: 0.037815, test_sqrt_loss: 0.043219
Epoch 29/100, train_sqrt_loss: 0.037217, test_sqrt_loss: 0.043944
Epoch 30/100, train_sqrt_loss: 0.036836, test_sqrt_loss: 0.047476
Epoch 31/100, train_sqrt_loss: 0.036334, test_sqrt_loss: 0.041416
Epoch 32/100, train_sqrt_loss: 0.035623, test_sqrt_loss: 0.041761
Epoch 33/100, train_sqrt_loss: 0.035574, test_sqrt_loss: 0.045134
Epoch 34/100, train_sqrt_loss: 0.034851, test_sqrt_loss: 0.042119
Epoch 35/100, train_sqrt_loss: 0.034513, test_sqrt_loss: 0.040571
Epoch 36/100, train_sqrt_loss: 0.034207, test_sqrt_loss: 0.044986
Epoch 37/100, train_sqrt_loss: 0.033991, test_sqrt_loss: 0.044667
Epoch 38/100, train_sqrt_loss: 0.033671, test_sqrt_loss: 0.039940
Epoch 39/100, train_sqrt_loss: 0.033576, test_sqrt_loss: 0.041753
Epoch 40/100, train_sqrt_loss: 0.033247, test_sqrt_loss: 0.041821
Epoch 41/100, train_sqrt_loss: 0.032769, test_sqrt_loss: 0.041885
Epoch 42/100, train_sqrt_loss: 0.032540, test_sqrt_loss: 0.041097
Epoch 43/100, train_sqrt_loss: 0.032273, test_sqrt_loss: 0.046573
Epoch 44/100, train_sqrt_loss: 0.032026, test_sqrt_loss: 0.041798
Epoch 45/100, train_sqrt_loss: 0.032102, test_sqrt_loss: 0.040202
Epoch 46/100, train_sqrt_loss: 0.031767, test_sqrt_loss: 0.044753
Epoch 47/100, train_sqrt_loss: 0.031867, test_sqrt_loss: 0.039112
Epoch 48/100, train_sqrt_loss: 0.033607, test_sqrt_loss: 0.038551
Epoch 49/100, train_sqrt_loss: 0.032457, test_sqrt_loss: 0.045198
Epoch 50/100, train_sqrt_loss: 0.032980, test_sqrt_loss: 0.044096
Epoch 51/100, train_sqrt_loss: 0.031449, test_sqrt_loss: 0.042801
Epoch 52/100, train_sqrt_loss: 0.030901, test_sqrt_loss: 0.037780
Epoch 53/100, train_sqrt_loss: 0.031050, test_sqrt_loss: 0.039057
Epoch 54/100, train_sqrt_loss: 0.031084, test_sqrt_loss: 0.037561
Epoch 55/100, train_sqrt_loss: 0.030819, test_sqrt_loss: 0.037535
Epoch 56/100, train_sqrt_loss: 0.030575, test_sqrt_loss: 0.042775
Epoch 57/100, train_sqrt_loss: 0.030461, test_sqrt_loss: 0.036909
Epoch 58/100, train_sqrt_loss: 0.030175, test_sqrt_loss: 0.042845
Epoch 59/100, train_sqrt_loss: 0.030164, test_sqrt_loss: 0.038088
Epoch 60/100, train_sqrt_loss: 0.030217, test_sqrt_loss: 0.041417
Epoch 61/100, train_sqrt_loss: 0.030073, test_sqrt_loss: 0.037949
Epoch 62/100, train_sqrt_loss: 0.030049, test_sqrt_loss: 0.038700
Epoch 63/100, train_sqrt_loss: 0.029721, test_sqrt_loss: 0.037246
Epoch 64/100, train_sqrt_loss: 0.029949, test_sqrt_loss: 0.036434
Epoch 65/100, train_sqrt_loss: 0.029650, test_sqrt_loss: 0.037307
Epoch 66/100, train_sqrt_loss: 0.029790, test_sqrt_loss: 0.037304
Epoch 67/100, train_sqrt_loss: 0.029533, test_sqrt_loss: 0.038765
Epoch 68/100, train_sqrt_loss: 0.029789, test_sqrt_loss: 0.037014
Epoch 69/100, train_sqrt_loss: 0.029505, test_sqrt_loss: 0.036135
Epoch 70/100, train_sqrt_loss: 0.029811, test_sqrt_loss: 0.038182
