train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.412452, test_sqrt_loss: 0.159821
Epoch 2/100, train_sqrt_loss: 0.113255, test_sqrt_loss: 0.081159
Epoch 3/100, train_sqrt_loss: 0.064166, test_sqrt_loss: 0.058988
Epoch 4/100, train_sqrt_loss: 0.053584, test_sqrt_loss: 0.054207
Epoch 5/100, train_sqrt_loss: 0.049526, test_sqrt_loss: 0.052317
Epoch 6/100, train_sqrt_loss: 0.046738, test_sqrt_loss: 0.050217
Epoch 7/100, train_sqrt_loss: 0.044416, test_sqrt_loss: 0.047810
Epoch 8/100, train_sqrt_loss: 0.042698, test_sqrt_loss: 0.049709
Epoch 9/100, train_sqrt_loss: 0.041023, test_sqrt_loss: 0.044048
Epoch 10/100, train_sqrt_loss: 0.039674, test_sqrt_loss: 0.044650
Epoch 11/100, train_sqrt_loss: 0.038142, test_sqrt_loss: 0.042453
Epoch 12/100, train_sqrt_loss: 0.037202, test_sqrt_loss: 0.041019
Epoch 13/100, train_sqrt_loss: 0.036090, test_sqrt_loss: 0.043010
Epoch 14/100, train_sqrt_loss: 0.035342, test_sqrt_loss: 0.039963
Epoch 15/100, train_sqrt_loss: 0.034667, test_sqrt_loss: 0.038499
Epoch 16/100, train_sqrt_loss: 0.033985, test_sqrt_loss: 0.039650
Epoch 17/100, train_sqrt_loss: 0.033189, test_sqrt_loss: 0.036388
Epoch 18/100, train_sqrt_loss: 0.032915, test_sqrt_loss: 0.039897
Epoch 19/100, train_sqrt_loss: 0.032440, test_sqrt_loss: 0.047358
Epoch 20/100, train_sqrt_loss: 0.031982, test_sqrt_loss: 0.039754
Epoch 21/100, train_sqrt_loss: 0.031372, test_sqrt_loss: 0.039242
Epoch 22/100, train_sqrt_loss: 0.031064, test_sqrt_loss: 0.038717
Epoch 23/100, train_sqrt_loss: 0.030827, test_sqrt_loss: 0.037954
Epoch 24/100, train_sqrt_loss: 0.030501, test_sqrt_loss: 0.038452
Epoch 25/100, train_sqrt_loss: 0.030436, test_sqrt_loss: 0.034616
Epoch 26/100, train_sqrt_loss: 0.029983, test_sqrt_loss: 0.033704
Epoch 27/100, train_sqrt_loss: 0.029677, test_sqrt_loss: 0.033283
Epoch 28/100, train_sqrt_loss: 0.029874, test_sqrt_loss: 0.033817
Epoch 29/100, train_sqrt_loss: 0.029537, test_sqrt_loss: 0.033918
Epoch 30/100, train_sqrt_loss: 0.029168, test_sqrt_loss: 0.034611
Epoch 31/100, train_sqrt_loss: 0.029138, test_sqrt_loss: 0.034561
Epoch 32/100, train_sqrt_loss: 0.028896, test_sqrt_loss: 0.033530
Epoch 33/100, train_sqrt_loss: 0.029046, test_sqrt_loss: 0.032083
Epoch 34/100, train_sqrt_loss: 0.028851, test_sqrt_loss: 0.040384
Epoch 35/100, train_sqrt_loss: 0.029719, test_sqrt_loss: 0.034550
Epoch 36/100, train_sqrt_loss: 0.028504, test_sqrt_loss: 0.036606
Epoch 37/100, train_sqrt_loss: 0.028436, test_sqrt_loss: 0.034444
Epoch 38/100, train_sqrt_loss: 0.028609, test_sqrt_loss: 0.034108
Epoch 39/100, train_sqrt_loss: 0.028550, test_sqrt_loss: 0.033349
Epoch 40/100, train_sqrt_loss: 0.028402, test_sqrt_loss: 0.038074
Epoch 41/100, train_sqrt_loss: 0.028504, test_sqrt_loss: 0.032370
Epoch 42/100, train_sqrt_loss: 0.028209, test_sqrt_loss: 0.032809
Epoch 43/100, train_sqrt_loss: 0.028088, test_sqrt_loss: 0.031419
Epoch 44/100, train_sqrt_loss: 0.028040, test_sqrt_loss: 0.036104
Epoch 45/100, train_sqrt_loss: 0.027860, test_sqrt_loss: 0.034662
Epoch 46/100, train_sqrt_loss: 0.027836, test_sqrt_loss: 0.031767
Epoch 47/100, train_sqrt_loss: 0.028111, test_sqrt_loss: 0.037410
Epoch 48/100, train_sqrt_loss: 0.027923, test_sqrt_loss: 0.032529
Epoch 49/100, train_sqrt_loss: 0.029727, test_sqrt_loss: 0.031037
Epoch 50/100, train_sqrt_loss: 0.027981, test_sqrt_loss: 0.032971
Epoch 51/100, train_sqrt_loss: 0.027865, test_sqrt_loss: 0.037187
Epoch 52/100, train_sqrt_loss: 0.027927, test_sqrt_loss: 0.032001
Epoch 53/100, train_sqrt_loss: 0.027514, test_sqrt_loss: 0.032764
Epoch 54/100, train_sqrt_loss: 0.027622, test_sqrt_loss: 0.032686
Epoch 55/100, train_sqrt_loss: 0.027688, test_sqrt_loss: 0.036903
Epoch 56/100, train_sqrt_loss: 0.027521, test_sqrt_loss: 0.030944
Epoch 57/100, train_sqrt_loss: 0.027612, test_sqrt_loss: 0.031586
Epoch 58/100, train_sqrt_loss: 0.027628, test_sqrt_loss: 0.037263
Epoch 59/100, train_sqrt_loss: 0.027433, test_sqrt_loss: 0.032222
Epoch 60/100, train_sqrt_loss: 0.027628, test_sqrt_loss: 0.037648
Epoch 61/100, train_sqrt_loss: 0.027437, test_sqrt_loss: 0.033239
Epoch 62/100, train_sqrt_loss: 0.027568, test_sqrt_loss: 0.033710
Epoch 63/100, train_sqrt_loss: 0.027657, test_sqrt_loss: 0.038931
Epoch 64/100, train_sqrt_loss: 0.027641, test_sqrt_loss: 0.030888
Epoch 65/100, train_sqrt_loss: 0.027466, test_sqrt_loss: 0.032893
Epoch 66/100, train_sqrt_loss: 0.027536, test_sqrt_loss: 0.035384
Epoch 67/100, train_sqrt_loss: 0.027317, test_sqrt_loss: 0.030421
Epoch 68/100, train_sqrt_loss: 0.027433, test_sqrt_loss: 0.031481
Epoch 69/100, train_sqrt_loss: 0.027659, test_sqrt_loss: 0.031708
Epoch 70/100, train_sqrt_loss: 0.028386, test_sqrt_loss: 0.033803
Epoch 71/100, train_sqrt_loss: 0.027898, test_sqrt_loss: 0.031503
Epoch 72/100, train_sqrt_loss: 0.027526, test_sqrt_loss: 0.031340
Epoch 73/100, train_sqrt_loss: 0.027330, test_sqrt_loss: 0.031920
Epoch 74/100, train_sqrt_loss: 0.027243, test_sqrt_loss: 0.031001
Epoch 75/100, train_sqrt_loss: 0.027493, test_sqrt_loss: 0.030909
Epoch 76/100, train_sqrt_loss: 0.027430, test_sqrt_loss: 0.033015
Epoch 77/100, train_sqrt_loss: 0.027269, test_sqrt_loss: 0.033927
Epoch 78/100, train_sqrt_loss: 0.027413, test_sqrt_loss: 0.031125
Epoch 79/100, train_sqrt_loss: 0.027312, test_sqrt_loss: 0.034888
Epoch 80/100, train_sqrt_loss: 0.027388, test_sqrt_loss: 0.031843
Epoch 81/100, train_sqrt_loss: 0.027332, test_sqrt_loss: 0.034886
Epoch 82/100, train_sqrt_loss: 0.027326, test_sqrt_loss: 0.034134
Epoch 83/100, train_sqrt_loss: 0.027485, test_sqrt_loss: 0.037268
Epoch 84/100, train_sqrt_loss: 0.027603, test_sqrt_loss: 0.031671
Epoch 85/100, train_sqrt_loss: 0.027415, test_sqrt_loss: 0.030622
Epoch 86/100, train_sqrt_loss: 0.027865, test_sqrt_loss: 0.036845
Epoch 87/100, train_sqrt_loss: 0.027515, test_sqrt_loss: 0.034346
Epoch 88/100, train_sqrt_loss: 0.027343, test_sqrt_loss: 0.036229
Epoch 89/100, train_sqrt_loss: 0.027309, test_sqrt_loss: 0.031921
Epoch 90/100, train_sqrt_loss: 0.027474, test_sqrt_loss: 0.034056
Epoch 91/100, train_sqrt_loss: 0.027469, test_sqrt_loss: 0.034726
Epoch 92/100, train_sqrt_loss: 0.027318, test_sqrt_loss: 0.032586
Epoch 93/100, train_sqrt_loss: 0.027582, test_sqrt_loss: 0.032816
Epoch 94/100, train_sqrt_loss: 0.027300, test_sqrt_loss: 0.032383
Epoch 95/100, train_sqrt_loss: 0.027368, test_sqrt_loss: 0.034837
Epoch 96/100, train_sqrt_loss: 0.027467, test_sqrt_loss: 0.032282
Epoch 97/100, train_sqrt_loss: 0.027304, test_sqrt_loss: 0.030902
Epoch 98/100, train_sqrt_loss: 0.027344, test_sqrt_loss: 0.038018
Epoch 99/100, train_sqrt_loss: 0.027319, test_sqrt_loss: 0.033813
Epoch 100/100, train_sqrt_loss: 0.027289, test_sqrt_loss: 0.036429
