train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.246192, test_sqrt_loss: 0.112374
Epoch 2/100, train_sqrt_loss: 0.073867, test_sqrt_loss: 0.057150
Epoch 3/100, train_sqrt_loss: 0.042566, test_sqrt_loss: 0.045205
Epoch 4/100, train_sqrt_loss: 0.038206, test_sqrt_loss: 0.045793
Epoch 5/100, train_sqrt_loss: 0.036819, test_sqrt_loss: 0.046783
Epoch 6/100, train_sqrt_loss: 0.035404, test_sqrt_loss: 0.040126
Epoch 7/100, train_sqrt_loss: 0.033985, test_sqrt_loss: 0.042017
Epoch 8/100, train_sqrt_loss: 0.033278, test_sqrt_loss: 0.037705
Epoch 9/100, train_sqrt_loss: 0.032795, test_sqrt_loss: 0.037977
Epoch 10/100, train_sqrt_loss: 0.031864, test_sqrt_loss: 0.037242
Epoch 11/100, train_sqrt_loss: 0.031548, test_sqrt_loss: 0.035725
Epoch 12/100, train_sqrt_loss: 0.031228, test_sqrt_loss: 0.036131
Epoch 13/100, train_sqrt_loss: 0.030648, test_sqrt_loss: 0.035399
Epoch 14/100, train_sqrt_loss: 0.030118, test_sqrt_loss: 0.034898
Epoch 15/100, train_sqrt_loss: 0.029902, test_sqrt_loss: 0.039383
Epoch 16/100, train_sqrt_loss: 0.029485, test_sqrt_loss: 0.043163
Epoch 17/100, train_sqrt_loss: 0.029226, test_sqrt_loss: 0.035965
Epoch 18/100, train_sqrt_loss: 0.029107, test_sqrt_loss: 0.036586
Epoch 19/100, train_sqrt_loss: 0.029080, test_sqrt_loss: 0.036217
Epoch 20/100, train_sqrt_loss: 0.028668, test_sqrt_loss: 0.035928
Epoch 21/100, train_sqrt_loss: 0.028575, test_sqrt_loss: 0.037392
Epoch 22/100, train_sqrt_loss: 0.028628, test_sqrt_loss: 0.034188
Epoch 23/100, train_sqrt_loss: 0.028396, test_sqrt_loss: 0.036353
Epoch 24/100, train_sqrt_loss: 0.028391, test_sqrt_loss: 0.034357
Epoch 25/100, train_sqrt_loss: 0.028122, test_sqrt_loss: 0.039504
Epoch 26/100, train_sqrt_loss: 0.028041, test_sqrt_loss: 0.033954
Epoch 27/100, train_sqrt_loss: 0.028301, test_sqrt_loss: 0.031792
Epoch 28/100, train_sqrt_loss: 0.027854, test_sqrt_loss: 0.033294
Epoch 29/100, train_sqrt_loss: 0.027818, test_sqrt_loss: 0.035748
Epoch 30/100, train_sqrt_loss: 0.028116, test_sqrt_loss: 0.036362
Epoch 31/100, train_sqrt_loss: 0.027873, test_sqrt_loss: 0.032204
Epoch 32/100, train_sqrt_loss: 0.027829, test_sqrt_loss: 0.035273
Epoch 33/100, train_sqrt_loss: 0.027661, test_sqrt_loss: 0.033930
Epoch 34/100, train_sqrt_loss: 0.027616, test_sqrt_loss: 0.031115
Epoch 35/100, train_sqrt_loss: 0.027464, test_sqrt_loss: 0.031054
Epoch 36/100, train_sqrt_loss: 0.027468, test_sqrt_loss: 0.033846
Epoch 37/100, train_sqrt_loss: 0.027357, test_sqrt_loss: 0.030973
Epoch 38/100, train_sqrt_loss: 0.027670, test_sqrt_loss: 0.034199
Epoch 39/100, train_sqrt_loss: 0.027373, test_sqrt_loss: 0.032059
Epoch 40/100, train_sqrt_loss: 0.027285, test_sqrt_loss: 0.031294
Epoch 41/100, train_sqrt_loss: 0.027495, test_sqrt_loss: 0.031837
Epoch 42/100, train_sqrt_loss: 0.027333, test_sqrt_loss: 0.031170
Epoch 43/100, train_sqrt_loss: 0.027476, test_sqrt_loss: 0.031394
Epoch 44/100, train_sqrt_loss: 0.027574, test_sqrt_loss: 0.036323
Epoch 45/100, train_sqrt_loss: 0.027285, test_sqrt_loss: 0.032923
Epoch 46/100, train_sqrt_loss: 0.027374, test_sqrt_loss: 0.032002
Epoch 47/100, train_sqrt_loss: 0.027664, test_sqrt_loss: 0.033372
Epoch 48/100, train_sqrt_loss: 0.027372, test_sqrt_loss: 0.031899
