train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.236444, test_sqrt_loss: 0.100033
Epoch 2/100, train_sqrt_loss: 0.064841, test_sqrt_loss: 0.053026
Epoch 3/100, train_sqrt_loss: 0.040787, test_sqrt_loss: 0.044005
Epoch 4/100, train_sqrt_loss: 0.037101, test_sqrt_loss: 0.044860
Epoch 5/100, train_sqrt_loss: 0.035766, test_sqrt_loss: 0.045945
Epoch 6/100, train_sqrt_loss: 0.034462, test_sqrt_loss: 0.039381
Epoch 7/100, train_sqrt_loss: 0.033160, test_sqrt_loss: 0.041325
Epoch 8/100, train_sqrt_loss: 0.032508, test_sqrt_loss: 0.037039
Epoch 9/100, train_sqrt_loss: 0.032115, test_sqrt_loss: 0.037428
Epoch 10/100, train_sqrt_loss: 0.031300, test_sqrt_loss: 0.036741
Epoch 11/100, train_sqrt_loss: 0.031071, test_sqrt_loss: 0.035376
Epoch 12/100, train_sqrt_loss: 0.030796, test_sqrt_loss: 0.035748
Epoch 13/100, train_sqrt_loss: 0.030309, test_sqrt_loss: 0.035128
Epoch 14/100, train_sqrt_loss: 0.029875, test_sqrt_loss: 0.034819
Epoch 15/100, train_sqrt_loss: 0.029705, test_sqrt_loss: 0.039220
Epoch 16/100, train_sqrt_loss: 0.029299, test_sqrt_loss: 0.043037
Epoch 17/100, train_sqrt_loss: 0.029084, test_sqrt_loss: 0.035848
Epoch 18/100, train_sqrt_loss: 0.029014, test_sqrt_loss: 0.036447
Epoch 19/100, train_sqrt_loss: 0.029015, test_sqrt_loss: 0.036119
Epoch 20/100, train_sqrt_loss: 0.028587, test_sqrt_loss: 0.035910
Epoch 21/100, train_sqrt_loss: 0.028473, test_sqrt_loss: 0.037249
Epoch 22/100, train_sqrt_loss: 0.028553, test_sqrt_loss: 0.033978
Epoch 23/100, train_sqrt_loss: 0.028353, test_sqrt_loss: 0.036185
Epoch 24/100, train_sqrt_loss: 0.028340, test_sqrt_loss: 0.034117
Epoch 25/100, train_sqrt_loss: 0.028065, test_sqrt_loss: 0.039345
Epoch 26/100, train_sqrt_loss: 0.027999, test_sqrt_loss: 0.033901
Epoch 27/100, train_sqrt_loss: 0.028250, test_sqrt_loss: 0.031685
Epoch 28/100, train_sqrt_loss: 0.027823, test_sqrt_loss: 0.033014
Epoch 29/100, train_sqrt_loss: 0.027798, test_sqrt_loss: 0.035598
Epoch 30/100, train_sqrt_loss: 0.028146, test_sqrt_loss: 0.036352
Epoch 31/100, train_sqrt_loss: 0.027915, test_sqrt_loss: 0.032216
Epoch 32/100, train_sqrt_loss: 0.027830, test_sqrt_loss: 0.035251
Epoch 33/100, train_sqrt_loss: 0.027697, test_sqrt_loss: 0.033976
Epoch 34/100, train_sqrt_loss: 0.027651, test_sqrt_loss: 0.031013
Epoch 35/100, train_sqrt_loss: 0.027466, test_sqrt_loss: 0.030994
Epoch 36/100, train_sqrt_loss: 0.027488, test_sqrt_loss: 0.033770
Epoch 37/100, train_sqrt_loss: 0.027404, test_sqrt_loss: 0.030952
Epoch 38/100, train_sqrt_loss: 0.027765, test_sqrt_loss: 0.034204
Epoch 39/100, train_sqrt_loss: 0.027466, test_sqrt_loss: 0.032148
Epoch 40/100, train_sqrt_loss: 0.027336, test_sqrt_loss: 0.031339
Epoch 41/100, train_sqrt_loss: 0.027537, test_sqrt_loss: 0.031793
Epoch 42/100, train_sqrt_loss: 0.027394, test_sqrt_loss: 0.031156
Epoch 43/100, train_sqrt_loss: 0.027512, test_sqrt_loss: 0.031420
Epoch 44/100, train_sqrt_loss: 0.027639, test_sqrt_loss: 0.036450
Epoch 45/100, train_sqrt_loss: 0.027364, test_sqrt_loss: 0.033010
Epoch 46/100, train_sqrt_loss: 0.027406, test_sqrt_loss: 0.032002
Epoch 47/100, train_sqrt_loss: 0.027715, test_sqrt_loss: 0.033447
Epoch 48/100, train_sqrt_loss: 0.027408, test_sqrt_loss: 0.031966
Epoch 49/100, train_sqrt_loss: 0.027439, test_sqrt_loss: 0.033925
Epoch 50/100, train_sqrt_loss: 0.027332, test_sqrt_loss: 0.030845
Epoch 51/100, train_sqrt_loss: 0.027569, test_sqrt_loss: 0.031316
Epoch 52/100, train_sqrt_loss: 0.027342, test_sqrt_loss: 0.031891
Epoch 53/100, train_sqrt_loss: 0.027490, test_sqrt_loss: 0.031967
Epoch 54/100, train_sqrt_loss: 0.027425, test_sqrt_loss: 0.037688
Epoch 55/100, train_sqrt_loss: 0.027250, test_sqrt_loss: 0.031759
Epoch 56/100, train_sqrt_loss: 0.027601, test_sqrt_loss: 0.034204
Epoch 57/100, train_sqrt_loss: 0.027617, test_sqrt_loss: 0.031691
Epoch 58/100, train_sqrt_loss: 0.027522, test_sqrt_loss: 0.037763
Epoch 59/100, train_sqrt_loss: 0.027352, test_sqrt_loss: 0.031274
Epoch 60/100, train_sqrt_loss: 0.027761, test_sqrt_loss: 0.032635
Epoch 61/100, train_sqrt_loss: 0.027348, test_sqrt_loss: 0.036618
Epoch 62/100, train_sqrt_loss: 0.027484, test_sqrt_loss: 0.033947
Epoch 63/100, train_sqrt_loss: 0.027447, test_sqrt_loss: 0.031654
Epoch 64/100, train_sqrt_loss: 0.027282, test_sqrt_loss: 0.035720
Epoch 65/100, train_sqrt_loss: 0.027475, test_sqrt_loss: 0.031142
Epoch 66/100, train_sqrt_loss: 0.027549, test_sqrt_loss: 0.032323
Epoch 67/100, train_sqrt_loss: 0.027308, test_sqrt_loss: 0.034226
Epoch 68/100, train_sqrt_loss: 0.027283, test_sqrt_loss: 0.033338
Epoch 69/100, train_sqrt_loss: 0.027278, test_sqrt_loss: 0.031755
Epoch 70/100, train_sqrt_loss: 0.027397, test_sqrt_loss: 0.032611
Epoch 71/100, train_sqrt_loss: 0.027318, test_sqrt_loss: 0.031180
Epoch 72/100, train_sqrt_loss: 0.027530, test_sqrt_loss: 0.036448
Epoch 73/100, train_sqrt_loss: 0.027362, test_sqrt_loss: 0.038355
Epoch 74/100, train_sqrt_loss: 0.027406, test_sqrt_loss: 0.033439
Epoch 75/100, train_sqrt_loss: 0.027234, test_sqrt_loss: 0.030788
Epoch 76/100, train_sqrt_loss: 0.027588, test_sqrt_loss: 0.034510
Epoch 77/100, train_sqrt_loss: 0.027531, test_sqrt_loss: 0.037902
Epoch 78/100, train_sqrt_loss: 0.027636, test_sqrt_loss: 0.031465
Epoch 79/100, train_sqrt_loss: 0.027338, test_sqrt_loss: 0.035334
Epoch 80/100, train_sqrt_loss: 0.027269, test_sqrt_loss: 0.032657
Epoch 81/100, train_sqrt_loss: 0.027224, test_sqrt_loss: 0.035650
Epoch 82/100, train_sqrt_loss: 0.027191, test_sqrt_loss: 0.032913
Epoch 83/100, train_sqrt_loss: 0.028443, test_sqrt_loss: 0.032132
Epoch 84/100, train_sqrt_loss: 0.028153, test_sqrt_loss: 0.033192
Epoch 85/100, train_sqrt_loss: 0.027321, test_sqrt_loss: 0.036691
Epoch 86/100, train_sqrt_loss: 0.027304, test_sqrt_loss: 0.031251
Epoch 87/100, train_sqrt_loss: 0.027177, test_sqrt_loss: 0.031667
Epoch 88/100, train_sqrt_loss: 0.027334, test_sqrt_loss: 0.033608
Epoch 89/100, train_sqrt_loss: 0.027433, test_sqrt_loss: 0.034690
Epoch 90/100, train_sqrt_loss: 0.027393, test_sqrt_loss: 0.032946
Epoch 91/100, train_sqrt_loss: 0.027358, test_sqrt_loss: 0.033648
Epoch 92/100, train_sqrt_loss: 0.027414, test_sqrt_loss: 0.038394
Epoch 93/100, train_sqrt_loss: 0.027696, test_sqrt_loss: 0.032792
Epoch 94/100, train_sqrt_loss: 0.027484, test_sqrt_loss: 0.035180
Epoch 95/100, train_sqrt_loss: 0.027414, test_sqrt_loss: 0.030996
Epoch 96/100, train_sqrt_loss: 0.027426, test_sqrt_loss: 0.032931
Epoch 97/100, train_sqrt_loss: 0.027226, test_sqrt_loss: 0.033130
Epoch 98/100, train_sqrt_loss: 0.027184, test_sqrt_loss: 0.032342
Epoch 99/100, train_sqrt_loss: 0.027963, test_sqrt_loss: 0.030601
Epoch 100/100, train_sqrt_loss: 0.027449, test_sqrt_loss: 0.031949
