train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.251861, test_sqrt_loss: 0.118830
Epoch 2/100, train_sqrt_loss: 0.079530, test_sqrt_loss: 0.060217
Epoch 3/100, train_sqrt_loss: 0.044447, test_sqrt_loss: 0.046424
Epoch 4/100, train_sqrt_loss: 0.039243, test_sqrt_loss: 0.046550
Epoch 5/100, train_sqrt_loss: 0.037661, test_sqrt_loss: 0.047471
Epoch 6/100, train_sqrt_loss: 0.036098, test_sqrt_loss: 0.040828
Epoch 7/100, train_sqrt_loss: 0.034633, test_sqrt_loss: 0.042690
Epoch 8/100, train_sqrt_loss: 0.033866, test_sqrt_loss: 0.038344
Epoch 9/100, train_sqrt_loss: 0.033336, test_sqrt_loss: 0.038674
Epoch 10/100, train_sqrt_loss: 0.032380, test_sqrt_loss: 0.037923
Epoch 11/100, train_sqrt_loss: 0.032069, test_sqrt_loss: 0.036384
Epoch 12/100, train_sqrt_loss: 0.031742, test_sqrt_loss: 0.036660
Epoch 13/100, train_sqrt_loss: 0.031166, test_sqrt_loss: 0.036163
Epoch 14/100, train_sqrt_loss: 0.030649, test_sqrt_loss: 0.035737
Epoch 15/100, train_sqrt_loss: 0.030448, test_sqrt_loss: 0.040100
Epoch 16/100, train_sqrt_loss: 0.030037, test_sqrt_loss: 0.043702
Epoch 17/100, train_sqrt_loss: 0.029738, test_sqrt_loss: 0.036486
Epoch 18/100, train_sqrt_loss: 0.029619, test_sqrt_loss: 0.037182
Epoch 19/100, train_sqrt_loss: 0.029569, test_sqrt_loss: 0.036632
Epoch 20/100, train_sqrt_loss: 0.029126, test_sqrt_loss: 0.036336
Epoch 21/100, train_sqrt_loss: 0.029024, test_sqrt_loss: 0.037853
Epoch 22/100, train_sqrt_loss: 0.029041, test_sqrt_loss: 0.034683
Epoch 23/100, train_sqrt_loss: 0.028790, test_sqrt_loss: 0.036839
Epoch 24/100, train_sqrt_loss: 0.028778, test_sqrt_loss: 0.034686
Epoch 25/100, train_sqrt_loss: 0.028472, test_sqrt_loss: 0.039704
Epoch 26/100, train_sqrt_loss: 0.028381, test_sqrt_loss: 0.034152
Epoch 27/100, train_sqrt_loss: 0.028594, test_sqrt_loss: 0.032118
Epoch 28/100, train_sqrt_loss: 0.028122, test_sqrt_loss: 0.033567
Epoch 29/100, train_sqrt_loss: 0.028063, test_sqrt_loss: 0.036025
Epoch 30/100, train_sqrt_loss: 0.028366, test_sqrt_loss: 0.036490
Epoch 31/100, train_sqrt_loss: 0.028104, test_sqrt_loss: 0.032387
Epoch 32/100, train_sqrt_loss: 0.028054, test_sqrt_loss: 0.035470
Epoch 33/100, train_sqrt_loss: 0.027868, test_sqrt_loss: 0.034215
Epoch 34/100, train_sqrt_loss: 0.027821, test_sqrt_loss: 0.031338
