train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.240045, test_sqrt_loss: 0.104806
Epoch 2/100, train_sqrt_loss: 0.068059, test_sqrt_loss: 0.054393
Epoch 3/100, train_sqrt_loss: 0.041356, test_sqrt_loss: 0.044422
Epoch 4/100, train_sqrt_loss: 0.037547, test_sqrt_loss: 0.045267
Epoch 5/100, train_sqrt_loss: 0.036183, test_sqrt_loss: 0.046283
Epoch 6/100, train_sqrt_loss: 0.034824, test_sqrt_loss: 0.039710
Epoch 7/100, train_sqrt_loss: 0.033487, test_sqrt_loss: 0.041638
Epoch 8/100, train_sqrt_loss: 0.032813, test_sqrt_loss: 0.037333
Epoch 9/100, train_sqrt_loss: 0.032395, test_sqrt_loss: 0.037705
Epoch 10/100, train_sqrt_loss: 0.031551, test_sqrt_loss: 0.037028
Epoch 11/100, train_sqrt_loss: 0.031293, test_sqrt_loss: 0.035622
Epoch 12/100, train_sqrt_loss: 0.031007, test_sqrt_loss: 0.035952
Epoch 13/100, train_sqrt_loss: 0.030508, test_sqrt_loss: 0.035371
Epoch 14/100, train_sqrt_loss: 0.030048, test_sqrt_loss: 0.035018
Epoch 15/100, train_sqrt_loss: 0.029870, test_sqrt_loss: 0.039427
Epoch 16/100, train_sqrt_loss: 0.029462, test_sqrt_loss: 0.043193
Epoch 17/100, train_sqrt_loss: 0.029235, test_sqrt_loss: 0.035992
Epoch 18/100, train_sqrt_loss: 0.029153, test_sqrt_loss: 0.036623
Epoch 19/100, train_sqrt_loss: 0.029146, test_sqrt_loss: 0.036245
Epoch 20/100, train_sqrt_loss: 0.028706, test_sqrt_loss: 0.036005
Epoch 21/100, train_sqrt_loss: 0.028599, test_sqrt_loss: 0.037390
Epoch 22/100, train_sqrt_loss: 0.028661, test_sqrt_loss: 0.034140
Epoch 23/100, train_sqrt_loss: 0.028445, test_sqrt_loss: 0.036314
Epoch 24/100, train_sqrt_loss: 0.028428, test_sqrt_loss: 0.034240
Epoch 25/100, train_sqrt_loss: 0.028151, test_sqrt_loss: 0.039422
Epoch 26/100, train_sqrt_loss: 0.028081, test_sqrt_loss: 0.033929
Epoch 27/100, train_sqrt_loss: 0.028317, test_sqrt_loss: 0.031771
Epoch 28/100, train_sqrt_loss: 0.027887, test_sqrt_loss: 0.033137
Epoch 29/100, train_sqrt_loss: 0.027853, test_sqrt_loss: 0.035700
Epoch 30/100, train_sqrt_loss: 0.028185, test_sqrt_loss: 0.036371
Epoch 31/100, train_sqrt_loss: 0.027946, test_sqrt_loss: 0.032231
Epoch 32/100, train_sqrt_loss: 0.027875, test_sqrt_loss: 0.035272
Epoch 33/100, train_sqrt_loss: 0.027735, test_sqrt_loss: 0.034012
Epoch 34/100, train_sqrt_loss: 0.027680, test_sqrt_loss: 0.031073
Epoch 35/100, train_sqrt_loss: 0.027499, test_sqrt_loss: 0.031048
Epoch 36/100, train_sqrt_loss: 0.027519, test_sqrt_loss: 0.033830
Epoch 37/100, train_sqrt_loss: 0.027428, test_sqrt_loss: 0.031008
Epoch 38/100, train_sqrt_loss: 0.027770, test_sqrt_loss: 0.034242
Epoch 39/100, train_sqrt_loss: 0.027469, test_sqrt_loss: 0.032173
Epoch 40/100, train_sqrt_loss: 0.027355, test_sqrt_loss: 0.031360
Epoch 41/100, train_sqrt_loss: 0.027548, test_sqrt_loss: 0.031829
Epoch 42/100, train_sqrt_loss: 0.027405, test_sqrt_loss: 0.031193
Epoch 43/100, train_sqrt_loss: 0.027533, test_sqrt_loss: 0.031455
Epoch 44/100, train_sqrt_loss: 0.027643, test_sqrt_loss: 0.036443
Epoch 45/100, train_sqrt_loss: 0.027361, test_sqrt_loss: 0.033020
Epoch 46/100, train_sqrt_loss: 0.027409, test_sqrt_loss: 0.032025
