train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.600248, test_sqrt_loss: 0.554144
Epoch 2/100, train_sqrt_loss: 0.566507, test_sqrt_loss: 0.527136
Epoch 3/100, train_sqrt_loss: 0.535198, test_sqrt_loss: 0.501986
Epoch 4/100, train_sqrt_loss: 0.506101, test_sqrt_loss: 0.478389
Epoch 5/100, train_sqrt_loss: 0.479013, test_sqrt_loss: 0.456138
Epoch 6/100, train_sqrt_loss: 0.453718, test_sqrt_loss: 0.435100
Epoch 7/100, train_sqrt_loss: 0.429937, test_sqrt_loss: 0.415216
Epoch 8/100, train_sqrt_loss: 0.407478, test_sqrt_loss: 0.396438
Epoch 9/100, train_sqrt_loss: 0.386329, test_sqrt_loss: 0.378561
Epoch 10/100, train_sqrt_loss: 0.366406, test_sqrt_loss: 0.361270
Epoch 11/100, train_sqrt_loss: 0.347521, test_sqrt_loss: 0.344411
Epoch 12/100, train_sqrt_loss: 0.329636, test_sqrt_loss: 0.328506
Epoch 13/100, train_sqrt_loss: 0.313363, test_sqrt_loss: 0.314764
Epoch 14/100, train_sqrt_loss: 0.300022, test_sqrt_loss: 0.303805
Epoch 15/100, train_sqrt_loss: 0.289450, test_sqrt_loss: 0.293335
Epoch 16/100, train_sqrt_loss: 0.278656, test_sqrt_loss: 0.282060
Epoch 17/100, train_sqrt_loss: 0.266763, test_sqrt_loss: 0.270604
Epoch 18/100, train_sqrt_loss: 0.254642, test_sqrt_loss: 0.259847
Epoch 19/100, train_sqrt_loss: 0.243279, test_sqrt_loss: 0.250232
Epoch 20/100, train_sqrt_loss: 0.233177, test_sqrt_loss: 0.241636
Epoch 21/100, train_sqrt_loss: 0.224280, test_sqrt_loss: 0.233798
Epoch 22/100, train_sqrt_loss: 0.216223, test_sqrt_loss: 0.226453
Epoch 23/100, train_sqrt_loss: 0.208633, test_sqrt_loss: 0.219428
Epoch 24/100, train_sqrt_loss: 0.201248, test_sqrt_loss: 0.212657
Epoch 25/100, train_sqrt_loss: 0.193924, test_sqrt_loss: 0.206121
Epoch 26/100, train_sqrt_loss: 0.186623, test_sqrt_loss: 0.199860
Epoch 27/100, train_sqrt_loss: 0.179398, test_sqrt_loss: 0.193949
Epoch 28/100, train_sqrt_loss: 0.172360, test_sqrt_loss: 0.188479
Epoch 29/100, train_sqrt_loss: 0.165671, test_sqrt_loss: 0.183516
Epoch 30/100, train_sqrt_loss: 0.159527, test_sqrt_loss: 0.179043
Epoch 31/100, train_sqrt_loss: 0.154069, test_sqrt_loss: 0.174941
Epoch 32/100, train_sqrt_loss: 0.149266, test_sqrt_loss: 0.171032
Epoch 33/100, train_sqrt_loss: 0.144884, test_sqrt_loss: 0.167185
Epoch 34/100, train_sqrt_loss: 0.140570, test_sqrt_loss: 0.163356
Epoch 35/100, train_sqrt_loss: 0.136134, test_sqrt_loss: 0.159613
Epoch 36/100, train_sqrt_loss: 0.131681, test_sqrt_loss: 0.156062
