train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.578966, test_sqrt_loss: 0.586446
Epoch 2/100, train_sqrt_loss: 0.520227, test_sqrt_loss: 0.533255
Epoch 3/100, train_sqrt_loss: 0.469597, test_sqrt_loss: 0.486292
Epoch 4/100, train_sqrt_loss: 0.426725, test_sqrt_loss: 0.445140
Epoch 5/100, train_sqrt_loss: 0.390800, test_sqrt_loss: 0.408157
Epoch 6/100, train_sqrt_loss: 0.359631, test_sqrt_loss: 0.373882
Epoch 7/100, train_sqrt_loss: 0.331208, test_sqrt_loss: 0.341512
Epoch 8/100, train_sqrt_loss: 0.304570, test_sqrt_loss: 0.310825
Epoch 9/100, train_sqrt_loss: 0.279494, test_sqrt_loss: 0.282090
Epoch 10/100, train_sqrt_loss: 0.256282, test_sqrt_loss: 0.255781
Epoch 11/100, train_sqrt_loss: 0.235365, test_sqrt_loss: 0.232274
Epoch 12/100, train_sqrt_loss: 0.216965, test_sqrt_loss: 0.211723
Epoch 13/100, train_sqrt_loss: 0.201017, test_sqrt_loss: 0.194030
Epoch 14/100, train_sqrt_loss: 0.187202, test_sqrt_loss: 0.178971
Epoch 15/100, train_sqrt_loss: 0.175071, test_sqrt_loss: 0.166224
Epoch 16/100, train_sqrt_loss: 0.164194, test_sqrt_loss: 0.155484
Epoch 17/100, train_sqrt_loss: 0.154242, test_sqrt_loss: 0.146532
Epoch 18/100, train_sqrt_loss: 0.145051, test_sqrt_loss: 0.139185
Epoch 19/100, train_sqrt_loss: 0.136586, test_sqrt_loss: 0.133245
Epoch 20/100, train_sqrt_loss: 0.128899, test_sqrt_loss: 0.128394
Epoch 21/100, train_sqrt_loss: 0.121990, test_sqrt_loss: 0.124178
Epoch 22/100, train_sqrt_loss: 0.115743, test_sqrt_loss: 0.120114
Epoch 23/100, train_sqrt_loss: 0.109967, test_sqrt_loss: 0.115852
Epoch 24/100, train_sqrt_loss: 0.104484, test_sqrt_loss: 0.111284
Epoch 25/100, train_sqrt_loss: 0.099238, test_sqrt_loss: 0.106546
Epoch 26/100, train_sqrt_loss: 0.094311, test_sqrt_loss: 0.101941
Epoch 27/100, train_sqrt_loss: 0.089879, test_sqrt_loss: 0.097796
Epoch 28/100, train_sqrt_loss: 0.086118, test_sqrt_loss: 0.094316
Epoch 29/100, train_sqrt_loss: 0.083097, test_sqrt_loss: 0.091516
Epoch 30/100, train_sqrt_loss: 0.080723, test_sqrt_loss: 0.089265
Epoch 31/100, train_sqrt_loss: 0.078803, test_sqrt_loss: 0.087375
Epoch 32/100, train_sqrt_loss: 0.077149, test_sqrt_loss: 0.085725
Epoch 33/100, train_sqrt_loss: 0.075651, test_sqrt_loss: 0.084259
Epoch 34/100, train_sqrt_loss: 0.074283, test_sqrt_loss: 0.082939
Epoch 35/100, train_sqrt_loss: 0.073005, test_sqrt_loss: 0.081674
Epoch 36/100, train_sqrt_loss: 0.071725, test_sqrt_loss: 0.080347
Epoch 37/100, train_sqrt_loss: 0.070317, test_sqrt_loss: 0.078923
Epoch 38/100, train_sqrt_loss: 0.068747, test_sqrt_loss: 0.077481
Epoch 39/100, train_sqrt_loss: 0.067098, test_sqrt_loss: 0.076131
Epoch 40/100, train_sqrt_loss: 0.065488, test_sqrt_loss: 0.074946
Epoch 41/100, train_sqrt_loss: 0.063961, test_sqrt_loss: 0.073930
Epoch 42/100, train_sqrt_loss: 0.062506, test_sqrt_loss: 0.073067
Epoch 43/100, train_sqrt_loss: 0.061105, test_sqrt_loss: 0.072356
Epoch 44/100, train_sqrt_loss: 0.059765, test_sqrt_loss: 0.071796
Epoch 45/100, train_sqrt_loss: 0.058527, test_sqrt_loss: 0.071392
Epoch 46/100, train_sqrt_loss: 0.057444, test_sqrt_loss: 0.071124
Epoch 47/100, train_sqrt_loss: 0.056549, test_sqrt_loss: 0.070963
Epoch 48/100, train_sqrt_loss: 0.055842, test_sqrt_loss: 0.070843
Epoch 49/100, train_sqrt_loss: 0.055281, test_sqrt_loss: 0.070703
Epoch 50/100, train_sqrt_loss: 0.054803, test_sqrt_loss: 0.070502
Epoch 51/100, train_sqrt_loss: 0.054356, test_sqrt_loss: 0.070226
Epoch 52/100, train_sqrt_loss: 0.053901, test_sqrt_loss: 0.069889
Epoch 53/100, train_sqrt_loss: 0.053430, test_sqrt_loss: 0.069515
Epoch 54/100, train_sqrt_loss: 0.052943, test_sqrt_loss: 0.069136
Epoch 55/100, train_sqrt_loss: 0.052452, test_sqrt_loss: 0.068775
Epoch 56/100, train_sqrt_loss: 0.051968, test_sqrt_loss: 0.068447
Epoch 57/100, train_sqrt_loss: 0.051498, test_sqrt_loss: 0.068157
Epoch 58/100, train_sqrt_loss: 0.051047, test_sqrt_loss: 0.067906
Epoch 59/100, train_sqrt_loss: 0.050614, test_sqrt_loss: 0.067692
Epoch 60/100, train_sqrt_loss: 0.050201, test_sqrt_loss: 0.067507
Epoch 61/100, train_sqrt_loss: 0.049808, test_sqrt_loss: 0.067344
Epoch 62/100, train_sqrt_loss: 0.049434, test_sqrt_loss: 0.067189
Epoch 63/100, train_sqrt_loss: 0.049076, test_sqrt_loss: 0.067034
Epoch 64/100, train_sqrt_loss: 0.048732, test_sqrt_loss: 0.066872
Epoch 65/100, train_sqrt_loss: 0.048400, test_sqrt_loss: 0.066702
Epoch 66/100, train_sqrt_loss: 0.048082, test_sqrt_loss: 0.066526
Epoch 67/100, train_sqrt_loss: 0.047780, test_sqrt_loss: 0.066346
Epoch 68/100, train_sqrt_loss: 0.047492, test_sqrt_loss: 0.066164
