train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.682240, test_sqrt_loss: 0.629382
Epoch 2/100, train_sqrt_loss: 0.612760, test_sqrt_loss: 0.559567
Epoch 3/100, train_sqrt_loss: 0.550617, test_sqrt_loss: 0.495875
Epoch 4/100, train_sqrt_loss: 0.494649, test_sqrt_loss: 0.437938
Epoch 5/100, train_sqrt_loss: 0.444022, test_sqrt_loss: 0.385174
Epoch 6/100, train_sqrt_loss: 0.398065, test_sqrt_loss: 0.336961
Epoch 7/100, train_sqrt_loss: 0.356229, test_sqrt_loss: 0.292432
Epoch 8/100, train_sqrt_loss: 0.318202, test_sqrt_loss: 0.251974
Epoch 9/100, train_sqrt_loss: 0.285850, test_sqrt_loss: 0.233875
Epoch 10/100, train_sqrt_loss: 0.280883, test_sqrt_loss: 0.226812
Epoch 11/100, train_sqrt_loss: 0.267549, test_sqrt_loss: 0.218290
Epoch 12/100, train_sqrt_loss: 0.249481, test_sqrt_loss: 0.212142
Epoch 13/100, train_sqrt_loss: 0.235213, test_sqrt_loss: 0.205669
Epoch 14/100, train_sqrt_loss: 0.222531, test_sqrt_loss: 0.197790
Epoch 15/100, train_sqrt_loss: 0.210078, test_sqrt_loss: 0.188701
Epoch 16/100, train_sqrt_loss: 0.197601, test_sqrt_loss: 0.178967
Epoch 17/100, train_sqrt_loss: 0.185215, test_sqrt_loss: 0.169131
Epoch 18/100, train_sqrt_loss: 0.173074, test_sqrt_loss: 0.159439
Epoch 19/100, train_sqrt_loss: 0.161272, test_sqrt_loss: 0.150243
Epoch 20/100, train_sqrt_loss: 0.149923, test_sqrt_loss: 0.141738
Epoch 21/100, train_sqrt_loss: 0.139198, test_sqrt_loss: 0.134035
Epoch 22/100, train_sqrt_loss: 0.129426, test_sqrt_loss: 0.127274
Epoch 23/100, train_sqrt_loss: 0.120876, test_sqrt_loss: 0.121243
Epoch 24/100, train_sqrt_loss: 0.113168, test_sqrt_loss: 0.115605
Epoch 25/100, train_sqrt_loss: 0.105591, test_sqrt_loss: 0.110266
Epoch 26/100, train_sqrt_loss: 0.097968, test_sqrt_loss: 0.105320
Epoch 27/100, train_sqrt_loss: 0.090737, test_sqrt_loss: 0.100838
Epoch 28/100, train_sqrt_loss: 0.084417, test_sqrt_loss: 0.096867
Epoch 29/100, train_sqrt_loss: 0.079214, test_sqrt_loss: 0.093304
Epoch 30/100, train_sqrt_loss: 0.075027, test_sqrt_loss: 0.090013
Epoch 31/100, train_sqrt_loss: 0.071615, test_sqrt_loss: 0.086885
Epoch 32/100, train_sqrt_loss: 0.068744, test_sqrt_loss: 0.083845
Epoch 33/100, train_sqrt_loss: 0.066252, test_sqrt_loss: 0.080853
Epoch 34/100, train_sqrt_loss: 0.064044, test_sqrt_loss: 0.077909
Epoch 35/100, train_sqrt_loss: 0.062105, test_sqrt_loss: 0.075046
Epoch 36/100, train_sqrt_loss: 0.060474, test_sqrt_loss: 0.072326
Epoch 37/100, train_sqrt_loss: 0.059175, test_sqrt_loss: 0.069832
Epoch 38/100, train_sqrt_loss: 0.058162, test_sqrt_loss: 0.067620
Epoch 39/100, train_sqrt_loss: 0.057267, test_sqrt_loss: 0.065716
Epoch 40/100, train_sqrt_loss: 0.056303, test_sqrt_loss: 0.064146
Epoch 41/100, train_sqrt_loss: 0.055207, test_sqrt_loss: 0.062948
Epoch 42/100, train_sqrt_loss: 0.054091, test_sqrt_loss: 0.062147
Epoch 43/100, train_sqrt_loss: 0.053143, test_sqrt_loss: 0.061681
Epoch 44/100, train_sqrt_loss: 0.052475, test_sqrt_loss: 0.061411
Epoch 45/100, train_sqrt_loss: 0.052051, test_sqrt_loss: 0.061170
Epoch 46/100, train_sqrt_loss: 0.051743, test_sqrt_loss: 0.060828
Epoch 47/100, train_sqrt_loss: 0.051408, test_sqrt_loss: 0.060315
Epoch 48/100, train_sqrt_loss: 0.050962, test_sqrt_loss: 0.059635
Epoch 49/100, train_sqrt_loss: 0.050400, test_sqrt_loss: 0.058836
Epoch 50/100, train_sqrt_loss: 0.049780, test_sqrt_loss: 0.057994
Epoch 51/100, train_sqrt_loss: 0.049187, test_sqrt_loss: 0.057182
Epoch 52/100, train_sqrt_loss: 0.048693, test_sqrt_loss: 0.056457
Epoch 53/100, train_sqrt_loss: 0.048326, test_sqrt_loss: 0.055835
Epoch 54/100, train_sqrt_loss: 0.048059, test_sqrt_loss: 0.055309
Epoch 55/100, train_sqrt_loss: 0.047833, test_sqrt_loss: 0.054855
Epoch 56/100, train_sqrt_loss: 0.047583, test_sqrt_loss: 0.054451
Epoch 57/100, train_sqrt_loss: 0.047272, test_sqrt_loss: 0.054087
Epoch 58/100, train_sqrt_loss: 0.046900, test_sqrt_loss: 0.053765
Epoch 59/100, train_sqrt_loss: 0.046496, test_sqrt_loss: 0.053485
Epoch 60/100, train_sqrt_loss: 0.046099, test_sqrt_loss: 0.053246
Epoch 61/100, train_sqrt_loss: 0.045741, test_sqrt_loss: 0.053033
Epoch 62/100, train_sqrt_loss: 0.045432, test_sqrt_loss: 0.052824
Epoch 63/100, train_sqrt_loss: 0.045166, test_sqrt_loss: 0.052597
Epoch 64/100, train_sqrt_loss: 0.044927, test_sqrt_loss: 0.052334
Epoch 65/100, train_sqrt_loss: 0.044694, test_sqrt_loss: 0.052026
Epoch 66/100, train_sqrt_loss: 0.044456, test_sqrt_loss: 0.051678
Epoch 67/100, train_sqrt_loss: 0.044214, test_sqrt_loss: 0.051305
Epoch 68/100, train_sqrt_loss: 0.043976, test_sqrt_loss: 0.050929
Epoch 69/100, train_sqrt_loss: 0.043753, test_sqrt_loss: 0.050576
Epoch 70/100, train_sqrt_loss: 0.043552, test_sqrt_loss: 0.050265
Epoch 71/100, train_sqrt_loss: 0.043375, test_sqrt_loss: 0.050010
Epoch 72/100, train_sqrt_loss: 0.043215, test_sqrt_loss: 0.049818
Epoch 73/100, train_sqrt_loss: 0.043063, test_sqrt_loss: 0.049688
Epoch 74/100, train_sqrt_loss: 0.042911, test_sqrt_loss: 0.049615
Epoch 75/100, train_sqrt_loss: 0.042756, test_sqrt_loss: 0.049592
Epoch 76/100, train_sqrt_loss: 0.042602, test_sqrt_loss: 0.049606
Epoch 77/100, train_sqrt_loss: 0.042453, test_sqrt_loss: 0.049640
Epoch 78/100, train_sqrt_loss: 0.042313, test_sqrt_loss: 0.049679
Epoch 79/100, train_sqrt_loss: 0.042182, test_sqrt_loss: 0.049705
Epoch 80/100, train_sqrt_loss: 0.042059, test_sqrt_loss: 0.049706
Epoch 81/100, train_sqrt_loss: 0.041939, test_sqrt_loss: 0.049674
Epoch 82/100, train_sqrt_loss: 0.041818, test_sqrt_loss: 0.049606
Epoch 83/100, train_sqrt_loss: 0.041696, test_sqrt_loss: 0.049507
Epoch 84/100, train_sqrt_loss: 0.041573, test_sqrt_loss: 0.049384
Epoch 85/100, train_sqrt_loss: 0.041452, test_sqrt_loss: 0.049249
Epoch 86/100, train_sqrt_loss: 0.041334, test_sqrt_loss: 0.049111
Epoch 87/100, train_sqrt_loss: 0.041221, test_sqrt_loss: 0.048981
Epoch 88/100, train_sqrt_loss: 0.041112, test_sqrt_loss: 0.048862
Epoch 89/100, train_sqrt_loss: 0.041006, test_sqrt_loss: 0.048759
Epoch 90/100, train_sqrt_loss: 0.040900, test_sqrt_loss: 0.048671
Epoch 91/100, train_sqrt_loss: 0.040794, test_sqrt_loss: 0.048594
Epoch 92/100, train_sqrt_loss: 0.040687, test_sqrt_loss: 0.048525
Epoch 93/100, train_sqrt_loss: 0.040582, test_sqrt_loss: 0.048456
Epoch 94/100, train_sqrt_loss: 0.040478, test_sqrt_loss: 0.048382
Epoch 95/100, train_sqrt_loss: 0.040376, test_sqrt_loss: 0.048299
Epoch 96/100, train_sqrt_loss: 0.040277, test_sqrt_loss: 0.048202
Epoch 97/100, train_sqrt_loss: 0.040179, test_sqrt_loss: 0.048090
Epoch 98/100, train_sqrt_loss: 0.040081, test_sqrt_loss: 0.047964
Epoch 99/100, train_sqrt_loss: 0.039982, test_sqrt_loss: 0.047829
Epoch 100/100, train_sqrt_loss: 0.039882, test_sqrt_loss: 0.047690
