train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.682240, test_sqrt_loss: 0.630486
Epoch 2/100, train_sqrt_loss: 0.613757, test_sqrt_loss: 0.561586
Epoch 3/100, train_sqrt_loss: 0.552403, test_sqrt_loss: 0.498637
Epoch 4/100, train_sqrt_loss: 0.497064, test_sqrt_loss: 0.441290
Epoch 5/100, train_sqrt_loss: 0.446936, test_sqrt_loss: 0.388999
Epoch 6/100, train_sqrt_loss: 0.401367, test_sqrt_loss: 0.341157
Epoch 7/100, train_sqrt_loss: 0.359821, test_sqrt_loss: 0.296939
Epoch 8/100, train_sqrt_loss: 0.321941, test_sqrt_loss: 0.256318
Epoch 9/100, train_sqrt_loss: 0.289045, test_sqrt_loss: 0.232851
Epoch 10/100, train_sqrt_loss: 0.277530, test_sqrt_loss: 0.227770
Epoch 11/100, train_sqrt_loss: 0.269654, test_sqrt_loss: 0.219017
Epoch 12/100, train_sqrt_loss: 0.251902, test_sqrt_loss: 0.212594
Epoch 13/100, train_sqrt_loss: 0.237139, test_sqrt_loss: 0.206364
Epoch 14/100, train_sqrt_loss: 0.224381, test_sqrt_loss: 0.198869
Epoch 15/100, train_sqrt_loss: 0.212040, test_sqrt_loss: 0.190122
Epoch 16/100, train_sqrt_loss: 0.199701, test_sqrt_loss: 0.180620
Epoch 17/100, train_sqrt_loss: 0.187424, test_sqrt_loss: 0.170932
Epoch 18/100, train_sqrt_loss: 0.175351, test_sqrt_loss: 0.161304
Epoch 19/100, train_sqrt_loss: 0.163569, test_sqrt_loss: 0.152089
Epoch 20/100, train_sqrt_loss: 0.152198, test_sqrt_loss: 0.143513
Epoch 21/100, train_sqrt_loss: 0.141384, test_sqrt_loss: 0.135692
Epoch 22/100, train_sqrt_loss: 0.131446, test_sqrt_loss: 0.128767
Epoch 23/100, train_sqrt_loss: 0.122713, test_sqrt_loss: 0.122621
Epoch 24/100, train_sqrt_loss: 0.114955, test_sqrt_loss: 0.116900
Epoch 25/100, train_sqrt_loss: 0.107436, test_sqrt_loss: 0.111465
Epoch 26/100, train_sqrt_loss: 0.099817, test_sqrt_loss: 0.106393
Epoch 27/100, train_sqrt_loss: 0.092461, test_sqrt_loss: 0.101798
Epoch 28/100, train_sqrt_loss: 0.085940, test_sqrt_loss: 0.097743
Epoch 29/100, train_sqrt_loss: 0.080531, test_sqrt_loss: 0.094142
Epoch 30/100, train_sqrt_loss: 0.076174, test_sqrt_loss: 0.090840
Epoch 31/100, train_sqrt_loss: 0.072618, test_sqrt_loss: 0.087701
Epoch 32/100, train_sqrt_loss: 0.069615, test_sqrt_loss: 0.084648
Epoch 33/100, train_sqrt_loss: 0.066994, test_sqrt_loss: 0.081630
Epoch 34/100, train_sqrt_loss: 0.064666, test_sqrt_loss: 0.078650
Epoch 35/100, train_sqrt_loss: 0.062621, test_sqrt_loss: 0.075748
Epoch 36/100, train_sqrt_loss: 0.060910, test_sqrt_loss: 0.072986
Epoch 37/100, train_sqrt_loss: 0.059570, test_sqrt_loss: 0.070450
Epoch 38/100, train_sqrt_loss: 0.058550, test_sqrt_loss: 0.068194
Epoch 39/100, train_sqrt_loss: 0.057671, test_sqrt_loss: 0.066248
Epoch 40/100, train_sqrt_loss: 0.056719, test_sqrt_loss: 0.064625
Epoch 41/100, train_sqrt_loss: 0.055612, test_sqrt_loss: 0.063369
Epoch 42/100, train_sqrt_loss: 0.054457, test_sqrt_loss: 0.062521
Epoch 43/100, train_sqrt_loss: 0.053453, test_sqrt_loss: 0.062026
Epoch 44/100, train_sqrt_loss: 0.052735, test_sqrt_loss: 0.061753
Epoch 45/100, train_sqrt_loss: 0.052284, test_sqrt_loss: 0.061533
Epoch 46/100, train_sqrt_loss: 0.051972, test_sqrt_loss: 0.061221
Epoch 47/100, train_sqrt_loss: 0.051649, test_sqrt_loss: 0.060739
Epoch 48/100, train_sqrt_loss: 0.051220, test_sqrt_loss: 0.060073
Epoch 49/100, train_sqrt_loss: 0.050671, test_sqrt_loss: 0.059271
Epoch 50/100, train_sqrt_loss: 0.050053, test_sqrt_loss: 0.058405
Epoch 51/100, train_sqrt_loss: 0.049452, test_sqrt_loss: 0.057555
Epoch 52/100, train_sqrt_loss: 0.048943, test_sqrt_loss: 0.056779
Epoch 53/100, train_sqrt_loss: 0.048559, test_sqrt_loss: 0.056105
Epoch 54/100, train_sqrt_loss: 0.048280, test_sqrt_loss: 0.055532
Epoch 55/100, train_sqrt_loss: 0.048046, test_sqrt_loss: 0.055040
Epoch 56/100, train_sqrt_loss: 0.047797, test_sqrt_loss: 0.054608
Epoch 57/100, train_sqrt_loss: 0.047492, test_sqrt_loss: 0.054227
Epoch 58/100, train_sqrt_loss: 0.047128, test_sqrt_loss: 0.053896
Epoch 59/100, train_sqrt_loss: 0.046734, test_sqrt_loss: 0.053616
