train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.682240, test_sqrt_loss: 0.629838
Epoch 2/100, train_sqrt_loss: 0.613189, test_sqrt_loss: 0.560419
Epoch 3/100, train_sqrt_loss: 0.551385, test_sqrt_loss: 0.497047
Epoch 4/100, train_sqrt_loss: 0.495687, test_sqrt_loss: 0.439365
Epoch 5/100, train_sqrt_loss: 0.445275, test_sqrt_loss: 0.386805
Epoch 6/100, train_sqrt_loss: 0.399485, test_sqrt_loss: 0.338753
Epoch 7/100, train_sqrt_loss: 0.357774, test_sqrt_loss: 0.294360
Epoch 8/100, train_sqrt_loss: 0.319808, test_sqrt_loss: 0.253817
Epoch 9/100, train_sqrt_loss: 0.287191, test_sqrt_loss: 0.233213
Epoch 10/100, train_sqrt_loss: 0.279180, test_sqrt_loss: 0.227092
Epoch 11/100, train_sqrt_loss: 0.268217, test_sqrt_loss: 0.218538
Epoch 12/100, train_sqrt_loss: 0.250421, test_sqrt_loss: 0.212285
Epoch 13/100, train_sqrt_loss: 0.236008, test_sqrt_loss: 0.205902
Epoch 14/100, train_sqrt_loss: 0.223308, test_sqrt_loss: 0.198175
Epoch 15/100, train_sqrt_loss: 0.210905, test_sqrt_loss: 0.189236
Epoch 16/100, train_sqrt_loss: 0.198488, test_sqrt_loss: 0.179605
Epoch 17/100, train_sqrt_loss: 0.186153, test_sqrt_loss: 0.169842
Epoch 18/100, train_sqrt_loss: 0.174039, test_sqrt_loss: 0.160182
Epoch 19/100, train_sqrt_loss: 0.162241, test_sqrt_loss: 0.150980
Epoch 20/100, train_sqrt_loss: 0.150875, test_sqrt_loss: 0.142445
Epoch 21/100, train_sqrt_loss: 0.140100, test_sqrt_loss: 0.134684
Epoch 22/100, train_sqrt_loss: 0.130243, test_sqrt_loss: 0.127844
Epoch 23/100, train_sqrt_loss: 0.121604, test_sqrt_loss: 0.121757
Epoch 24/100, train_sqrt_loss: 0.113864, test_sqrt_loss: 0.116078
Epoch 25/100, train_sqrt_loss: 0.106297, test_sqrt_loss: 0.110689
Epoch 26/100, train_sqrt_loss: 0.098664, test_sqrt_loss: 0.105688
Epoch 27/100, train_sqrt_loss: 0.091377, test_sqrt_loss: 0.101153
Epoch 28/100, train_sqrt_loss: 0.084976, test_sqrt_loss: 0.097151
Epoch 29/100, train_sqrt_loss: 0.079694, test_sqrt_loss: 0.093576
Epoch 30/100, train_sqrt_loss: 0.075440, test_sqrt_loss: 0.090282
Epoch 31/100, train_sqrt_loss: 0.071972, test_sqrt_loss: 0.087152
Epoch 32/100, train_sqrt_loss: 0.069046, test_sqrt_loss: 0.084103
Epoch 33/100, train_sqrt_loss: 0.066498, test_sqrt_loss: 0.081097
Epoch 34/100, train_sqrt_loss: 0.064239, test_sqrt_loss: 0.078135
Epoch 35/100, train_sqrt_loss: 0.062262, test_sqrt_loss: 0.075255
Epoch 36/100, train_sqrt_loss: 0.060609, test_sqrt_loss: 0.072521
Epoch 37/100, train_sqrt_loss: 0.059311, test_sqrt_loss: 0.070015
Epoch 38/100, train_sqrt_loss: 0.058309, test_sqrt_loss: 0.067794
Epoch 39/100, train_sqrt_loss: 0.057427, test_sqrt_loss: 0.065884
Epoch 40/100, train_sqrt_loss: 0.056465, test_sqrt_loss: 0.064302
Epoch 41/100, train_sqrt_loss: 0.055358, test_sqrt_loss: 0.063094
Epoch 42/100, train_sqrt_loss: 0.054223, test_sqrt_loss: 0.062290
Epoch 43/100, train_sqrt_loss: 0.053258, test_sqrt_loss: 0.061827
Epoch 44/100, train_sqrt_loss: 0.052579, test_sqrt_loss: 0.061562
Epoch 45/100, train_sqrt_loss: 0.052152, test_sqrt_loss: 0.061330
Epoch 46/100, train_sqrt_loss: 0.051846, test_sqrt_loss: 0.060997
Epoch 47/100, train_sqrt_loss: 0.051515, test_sqrt_loss: 0.060488
Epoch 48/100, train_sqrt_loss: 0.051072, test_sqrt_loss: 0.059805
Epoch 49/100, train_sqrt_loss: 0.050511, test_sqrt_loss: 0.058997
Epoch 50/100, train_sqrt_loss: 0.049889, test_sqrt_loss: 0.058139
Epoch 51/100, train_sqrt_loss: 0.049294, test_sqrt_loss: 0.057308
Epoch 52/100, train_sqrt_loss: 0.048797, test_sqrt_loss: 0.056559
Epoch 53/100, train_sqrt_loss: 0.048427, test_sqrt_loss: 0.055916
Epoch 54/100, train_sqrt_loss: 0.048157, test_sqrt_loss: 0.055372
Epoch 55/100, train_sqrt_loss: 0.047928, test_sqrt_loss: 0.054902
Epoch 56/100, train_sqrt_loss: 0.047675, test_sqrt_loss: 0.054488
Epoch 57/100, train_sqrt_loss: 0.047363, test_sqrt_loss: 0.054119
Epoch 58/100, train_sqrt_loss: 0.046992, test_sqrt_loss: 0.053797
Epoch 59/100, train_sqrt_loss: 0.046592, test_sqrt_loss: 0.053520
Epoch 60/100, train_sqrt_loss: 0.046200, test_sqrt_loss: 0.053285
Epoch 61/100, train_sqrt_loss: 0.045846, test_sqrt_loss: 0.053076
Epoch 62/100, train_sqrt_loss: 0.045540, test_sqrt_loss: 0.052870
Epoch 63/100, train_sqrt_loss: 0.045274, test_sqrt_loss: 0.052645
Epoch 64/100, train_sqrt_loss: 0.045032, test_sqrt_loss: 0.052380
Epoch 65/100, train_sqrt_loss: 0.044795, test_sqrt_loss: 0.052068
Epoch 66/100, train_sqrt_loss: 0.044555, test_sqrt_loss: 0.051713
Epoch 67/100, train_sqrt_loss: 0.044312, test_sqrt_loss: 0.051330
Epoch 68/100, train_sqrt_loss: 0.044075, test_sqrt_loss: 0.050944
Epoch 69/100, train_sqrt_loss: 0.043854, test_sqrt_loss: 0.050578
Epoch 70/100, train_sqrt_loss: 0.043656, test_sqrt_loss: 0.050255
Epoch 71/100, train_sqrt_loss: 0.043481, test_sqrt_loss: 0.049990
Epoch 72/100, train_sqrt_loss: 0.043321, test_sqrt_loss: 0.049791
Epoch 73/100, train_sqrt_loss: 0.043168, test_sqrt_loss: 0.049657
Epoch 74/100, train_sqrt_loss: 0.043014, test_sqrt_loss: 0.049585
Epoch 75/100, train_sqrt_loss: 0.042859, test_sqrt_loss: 0.049566
Epoch 76/100, train_sqrt_loss: 0.042705, test_sqrt_loss: 0.049586
Epoch 77/100, train_sqrt_loss: 0.042556, test_sqrt_loss: 0.049629
Epoch 78/100, train_sqrt_loss: 0.042418, test_sqrt_loss: 0.049675
Epoch 79/100, train_sqrt_loss: 0.042288, test_sqrt_loss: 0.049708
Epoch 80/100, train_sqrt_loss: 0.042165, test_sqrt_loss: 0.049713
Epoch 81/100, train_sqrt_loss: 0.042045, test_sqrt_loss: 0.049682
Epoch 82/100, train_sqrt_loss: 0.041924, test_sqrt_loss: 0.049612
Epoch 83/100, train_sqrt_loss: 0.041801, test_sqrt_loss: 0.049508
Epoch 84/100, train_sqrt_loss: 0.041678, test_sqrt_loss: 0.049379
Epoch 85/100, train_sqrt_loss: 0.041556, test_sqrt_loss: 0.049238
Epoch 86/100, train_sqrt_loss: 0.041438, test_sqrt_loss: 0.049095
Epoch 87/100, train_sqrt_loss: 0.041326, test_sqrt_loss: 0.048960
Epoch 88/100, train_sqrt_loss: 0.041218, test_sqrt_loss: 0.048839
Epoch 89/100, train_sqrt_loss: 0.041112, test_sqrt_loss: 0.048735
Epoch 90/100, train_sqrt_loss: 0.041007, test_sqrt_loss: 0.048647
Epoch 91/100, train_sqrt_loss: 0.040901, test_sqrt_loss: 0.048573
Epoch 92/100, train_sqrt_loss: 0.040794, test_sqrt_loss: 0.048507
Epoch 93/100, train_sqrt_loss: 0.040688, test_sqrt_loss: 0.048442
Epoch 94/100, train_sqrt_loss: 0.040585, test_sqrt_loss: 0.048372
Epoch 95/100, train_sqrt_loss: 0.040484, test_sqrt_loss: 0.048291
Epoch 96/100, train_sqrt_loss: 0.040385, test_sqrt_loss: 0.048194
