train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.744715, test_sqrt_loss: 0.753873
Epoch 2/100, train_sqrt_loss: 0.687111, test_sqrt_loss: 0.698252
Epoch 3/100, train_sqrt_loss: 0.634774, test_sqrt_loss: 0.646785
Epoch 4/100, train_sqrt_loss: 0.587126, test_sqrt_loss: 0.599432
Epoch 5/100, train_sqrt_loss: 0.543634, test_sqrt_loss: 0.555926
Epoch 6/100, train_sqrt_loss: 0.503870, test_sqrt_loss: 0.516046
Epoch 7/100, train_sqrt_loss: 0.467505, test_sqrt_loss: 0.479582
Epoch 8/100, train_sqrt_loss: 0.434283, test_sqrt_loss: 0.446387
Epoch 9/100, train_sqrt_loss: 0.403970, test_sqrt_loss: 0.416313
Epoch 10/100, train_sqrt_loss: 0.376345, test_sqrt_loss: 0.389143
Epoch 11/100, train_sqrt_loss: 0.351196, test_sqrt_loss: 0.364636
Epoch 12/100, train_sqrt_loss: 0.328308, test_sqrt_loss: 0.342570
Epoch 13/100, train_sqrt_loss: 0.307480, test_sqrt_loss: 0.322699
Epoch 14/100, train_sqrt_loss: 0.288514, test_sqrt_loss: 0.304785
Epoch 15/100, train_sqrt_loss: 0.271228, test_sqrt_loss: 0.288607
Epoch 16/100, train_sqrt_loss: 0.255436, test_sqrt_loss: 0.273957
Epoch 17/100, train_sqrt_loss: 0.240966, test_sqrt_loss: 0.260634
Epoch 18/100, train_sqrt_loss: 0.227664, test_sqrt_loss: 0.248441
Epoch 19/100, train_sqrt_loss: 0.215389, test_sqrt_loss: 0.237205
Epoch 20/100, train_sqrt_loss: 0.204018, test_sqrt_loss: 0.226765
Epoch 21/100, train_sqrt_loss: 0.193442, test_sqrt_loss: 0.216981
Epoch 22/100, train_sqrt_loss: 0.183563, test_sqrt_loss: 0.207744
Epoch 23/100, train_sqrt_loss: 0.174299, test_sqrt_loss: 0.198986
Epoch 24/100, train_sqrt_loss: 0.165592, test_sqrt_loss: 0.190678
Epoch 25/100, train_sqrt_loss: 0.157413, test_sqrt_loss: 0.182827
Epoch 26/100, train_sqrt_loss: 0.149756, test_sqrt_loss: 0.175472
Epoch 27/100, train_sqrt_loss: 0.142633, test_sqrt_loss: 0.168657
Epoch 28/100, train_sqrt_loss: 0.136063, test_sqrt_loss: 0.162431
Epoch 29/100, train_sqrt_loss: 0.130061, test_sqrt_loss: 0.156824
Epoch 30/100, train_sqrt_loss: 0.124633, test_sqrt_loss: 0.151839
Epoch 31/100, train_sqrt_loss: 0.119762, test_sqrt_loss: 0.147447
Epoch 32/100, train_sqrt_loss: 0.115419, test_sqrt_loss: 0.143592
Epoch 33/100, train_sqrt_loss: 0.111553, test_sqrt_loss: 0.140203
Epoch 34/100, train_sqrt_loss: 0.108102, test_sqrt_loss: 0.137188
