train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.578324, test_sqrt_loss: 0.570358
Epoch 2/100, train_sqrt_loss: 0.534855, test_sqrt_loss: 0.524488
Epoch 3/100, train_sqrt_loss: 0.494909, test_sqrt_loss: 0.482260
Epoch 4/100, train_sqrt_loss: 0.458622, test_sqrt_loss: 0.444112
Epoch 5/100, train_sqrt_loss: 0.426105, test_sqrt_loss: 0.410335
Epoch 6/100, train_sqrt_loss: 0.397355, test_sqrt_loss: 0.380864
Epoch 7/100, train_sqrt_loss: 0.372190, test_sqrt_loss: 0.355244
Epoch 8/100, train_sqrt_loss: 0.350233, test_sqrt_loss: 0.332725
Epoch 9/100, train_sqrt_loss: 0.330956, test_sqrt_loss: 0.312524
Epoch 10/100, train_sqrt_loss: 0.313823, test_sqrt_loss: 0.294124
Epoch 11/100, train_sqrt_loss: 0.298362, test_sqrt_loss: 0.277594
Epoch 12/100, train_sqrt_loss: 0.284138, test_sqrt_loss: 0.262717
Epoch 13/100, train_sqrt_loss: 0.270521, test_sqrt_loss: 0.248496
Epoch 14/100, train_sqrt_loss: 0.256702, test_sqrt_loss: 0.234391
Epoch 15/100, train_sqrt_loss: 0.242401, test_sqrt_loss: 0.220591
Epoch 16/100, train_sqrt_loss: 0.227919, test_sqrt_loss: 0.207453
Epoch 17/100, train_sqrt_loss: 0.213774, test_sqrt_loss: 0.195198
Epoch 18/100, train_sqrt_loss: 0.200413, test_sqrt_loss: 0.183993
Epoch 19/100, train_sqrt_loss: 0.188104, test_sqrt_loss: 0.173927
Epoch 20/100, train_sqrt_loss: 0.176950, test_sqrt_loss: 0.164986
Epoch 21/100, train_sqrt_loss: 0.166937, test_sqrt_loss: 0.157069
Epoch 22/100, train_sqrt_loss: 0.157973, test_sqrt_loss: 0.150027
Epoch 23/100, train_sqrt_loss: 0.149917, test_sqrt_loss: 0.143685
Epoch 24/100, train_sqrt_loss: 0.142613, test_sqrt_loss: 0.137876
Epoch 25/100, train_sqrt_loss: 0.135910, test_sqrt_loss: 0.132462
Epoch 26/100, train_sqrt_loss: 0.129675, test_sqrt_loss: 0.127347
Epoch 27/100, train_sqrt_loss: 0.123813, test_sqrt_loss: 0.122475
Epoch 28/100, train_sqrt_loss: 0.118265, test_sqrt_loss: 0.117831
Epoch 29/100, train_sqrt_loss: 0.113009, test_sqrt_loss: 0.113431
Epoch 30/100, train_sqrt_loss: 0.108048, test_sqrt_loss: 0.109305
Epoch 31/100, train_sqrt_loss: 0.103401, test_sqrt_loss: 0.105489
Epoch 32/100, train_sqrt_loss: 0.099089, test_sqrt_loss: 0.102013
Epoch 33/100, train_sqrt_loss: 0.095128, test_sqrt_loss: 0.098896
Epoch 34/100, train_sqrt_loss: 0.091521, test_sqrt_loss: 0.096143
Epoch 35/100, train_sqrt_loss: 0.088260, test_sqrt_loss: 0.093743
Epoch 36/100, train_sqrt_loss: 0.085323, test_sqrt_loss: 0.091666
Epoch 37/100, train_sqrt_loss: 0.082677, test_sqrt_loss: 0.089875
Epoch 38/100, train_sqrt_loss: 0.080284, test_sqrt_loss: 0.088324
Epoch 39/100, train_sqrt_loss: 0.078104, test_sqrt_loss: 0.086969
Epoch 40/100, train_sqrt_loss: 0.076105, test_sqrt_loss: 0.085767
Epoch 41/100, train_sqrt_loss: 0.074258, test_sqrt_loss: 0.084678
Epoch 42/100, train_sqrt_loss: 0.072545, test_sqrt_loss: 0.083672
Epoch 43/100, train_sqrt_loss: 0.070953, test_sqrt_loss: 0.082718
Epoch 44/100, train_sqrt_loss: 0.069470, test_sqrt_loss: 0.081793
Epoch 45/100, train_sqrt_loss: 0.068085, test_sqrt_loss: 0.080876
Epoch 46/100, train_sqrt_loss: 0.066786, test_sqrt_loss: 0.079949
Epoch 47/100, train_sqrt_loss: 0.065558, test_sqrt_loss: 0.079001
Epoch 48/100, train_sqrt_loss: 0.064388, test_sqrt_loss: 0.078023
Epoch 49/100, train_sqrt_loss: 0.063264, test_sqrt_loss: 0.077014
Epoch 50/100, train_sqrt_loss: 0.062177, test_sqrt_loss: 0.075976
Epoch 51/100, train_sqrt_loss: 0.061123, test_sqrt_loss: 0.074913
Epoch 52/100, train_sqrt_loss: 0.060100, test_sqrt_loss: 0.073834
Epoch 53/100, train_sqrt_loss: 0.059112, test_sqrt_loss: 0.072751
Epoch 54/100, train_sqrt_loss: 0.058161, test_sqrt_loss: 0.071675
