train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.464611, test_sqrt_loss: 0.387313
Epoch 2/100, train_sqrt_loss: 0.456260, test_sqrt_loss: 0.381142
Epoch 3/100, train_sqrt_loss: 0.448059, test_sqrt_loss: 0.375059
Epoch 4/100, train_sqrt_loss: 0.440010, test_sqrt_loss: 0.369075
Epoch 5/100, train_sqrt_loss: 0.432115, test_sqrt_loss: 0.363196
Epoch 6/100, train_sqrt_loss: 0.424373, test_sqrt_loss: 0.357424
Epoch 7/100, train_sqrt_loss: 0.416786, test_sqrt_loss: 0.351765
Epoch 8/100, train_sqrt_loss: 0.409353, test_sqrt_loss: 0.346218
Epoch 9/100, train_sqrt_loss: 0.402076, test_sqrt_loss: 0.340787
Epoch 10/100, train_sqrt_loss: 0.394953, test_sqrt_loss: 0.335473
Epoch 11/100, train_sqrt_loss: 0.387984, test_sqrt_loss: 0.330279
Epoch 12/100, train_sqrt_loss: 0.381169, test_sqrt_loss: 0.325202
Epoch 13/100, train_sqrt_loss: 0.374506, test_sqrt_loss: 0.320248
Epoch 14/100, train_sqrt_loss: 0.367992, test_sqrt_loss: 0.315415
Epoch 15/100, train_sqrt_loss: 0.361625, test_sqrt_loss: 0.310700
Epoch 16/100, train_sqrt_loss: 0.355402, test_sqrt_loss: 0.306099
Epoch 17/100, train_sqrt_loss: 0.349322, test_sqrt_loss: 0.301614
Epoch 18/100, train_sqrt_loss: 0.343381, test_sqrt_loss: 0.297242
Epoch 19/100, train_sqrt_loss: 0.337577, test_sqrt_loss: 0.292981
Epoch 20/100, train_sqrt_loss: 0.331907, test_sqrt_loss: 0.288829
Epoch 21/100, train_sqrt_loss: 0.326369, test_sqrt_loss: 0.284783
Epoch 22/100, train_sqrt_loss: 0.320959, test_sqrt_loss: 0.280840
Epoch 23/100, train_sqrt_loss: 0.315677, test_sqrt_loss: 0.276999
Epoch 24/100, train_sqrt_loss: 0.310518, test_sqrt_loss: 0.273257
Epoch 25/100, train_sqrt_loss: 0.305481, test_sqrt_loss: 0.269610
Epoch 26/100, train_sqrt_loss: 0.300562, test_sqrt_loss: 0.266056
Epoch 27/100, train_sqrt_loss: 0.295759, test_sqrt_loss: 0.262594
Epoch 28/100, train_sqrt_loss: 0.291069, test_sqrt_loss: 0.259222
Epoch 29/100, train_sqrt_loss: 0.286491, test_sqrt_loss: 0.255936
Epoch 30/100, train_sqrt_loss: 0.282021, test_sqrt_loss: 0.252731
Epoch 31/100, train_sqrt_loss: 0.277657, test_sqrt_loss: 0.249604
Epoch 32/100, train_sqrt_loss: 0.273398, test_sqrt_loss: 0.246555
Epoch 33/100, train_sqrt_loss: 0.269240, test_sqrt_loss: 0.243581
Epoch 34/100, train_sqrt_loss: 0.265182, test_sqrt_loss: 0.240681
Epoch 35/100, train_sqrt_loss: 0.261221, test_sqrt_loss: 0.237851
Epoch 36/100, train_sqrt_loss: 0.257355, test_sqrt_loss: 0.235091
Epoch 37/100, train_sqrt_loss: 0.253581, test_sqrt_loss: 0.232398
Epoch 38/100, train_sqrt_loss: 0.249897, test_sqrt_loss: 0.229770
Epoch 39/100, train_sqrt_loss: 0.246298, test_sqrt_loss: 0.227206
Epoch 40/100, train_sqrt_loss: 0.242785, test_sqrt_loss: 0.224704
Epoch 41/100, train_sqrt_loss: 0.239353, test_sqrt_loss: 0.222261
Epoch 42/100, train_sqrt_loss: 0.236000, test_sqrt_loss: 0.219875
Epoch 43/100, train_sqrt_loss: 0.232724, test_sqrt_loss: 0.217546
Epoch 44/100, train_sqrt_loss: 0.229524, test_sqrt_loss: 0.215272
Epoch 45/100, train_sqrt_loss: 0.226397, test_sqrt_loss: 0.213052
Epoch 46/100, train_sqrt_loss: 0.223339, test_sqrt_loss: 0.210884
Epoch 47/100, train_sqrt_loss: 0.220350, test_sqrt_loss: 0.208767
Epoch 48/100, train_sqrt_loss: 0.217427, test_sqrt_loss: 0.206701
Epoch 49/100, train_sqrt_loss: 0.214569, test_sqrt_loss: 0.204684
Epoch 50/100, train_sqrt_loss: 0.211773, test_sqrt_loss: 0.202713
Epoch 51/100, train_sqrt_loss: 0.209038, test_sqrt_loss: 0.200788
Epoch 52/100, train_sqrt_loss: 0.206362, test_sqrt_loss: 0.198906
Epoch 53/100, train_sqrt_loss: 0.203742, test_sqrt_loss: 0.197067
Epoch 54/100, train_sqrt_loss: 0.201178, test_sqrt_loss: 0.195268
Epoch 55/100, train_sqrt_loss: 0.198668, test_sqrt_loss: 0.193510
Epoch 56/100, train_sqrt_loss: 0.196209, test_sqrt_loss: 0.191790
Epoch 57/100, train_sqrt_loss: 0.193802, test_sqrt_loss: 0.190107
Epoch 58/100, train_sqrt_loss: 0.191442, test_sqrt_loss: 0.188459
Epoch 59/100, train_sqrt_loss: 0.189130, test_sqrt_loss: 0.186847
Epoch 60/100, train_sqrt_loss: 0.186863, test_sqrt_loss: 0.185268
Epoch 61/100, train_sqrt_loss: 0.184641, test_sqrt_loss: 0.183722
Epoch 62/100, train_sqrt_loss: 0.182462, test_sqrt_loss: 0.182208
Epoch 63/100, train_sqrt_loss: 0.180325, test_sqrt_loss: 0.180723
Epoch 64/100, train_sqrt_loss: 0.178228, test_sqrt_loss: 0.179268
Epoch 65/100, train_sqrt_loss: 0.176170, test_sqrt_loss: 0.177842
Epoch 66/100, train_sqrt_loss: 0.174151, test_sqrt_loss: 0.176444
Epoch 67/100, train_sqrt_loss: 0.172168, test_sqrt_loss: 0.175073
Epoch 68/100, train_sqrt_loss: 0.170220, test_sqrt_loss: 0.173728
Epoch 69/100, train_sqrt_loss: 0.168308, test_sqrt_loss: 0.172408
Epoch 70/100, train_sqrt_loss: 0.166430, test_sqrt_loss: 0.171113
Epoch 71/100, train_sqrt_loss: 0.164585, test_sqrt_loss: 0.169841
Epoch 72/100, train_sqrt_loss: 0.162771, test_sqrt_loss: 0.168593
Epoch 73/100, train_sqrt_loss: 0.160988, test_sqrt_loss: 0.167368
Epoch 74/100, train_sqrt_loss: 0.159236, test_sqrt_loss: 0.166165
Epoch 75/100, train_sqrt_loss: 0.157513, test_sqrt_loss: 0.164983
Epoch 76/100, train_sqrt_loss: 0.155818, test_sqrt_loss: 0.163824
Epoch 77/100, train_sqrt_loss: 0.154150, test_sqrt_loss: 0.162685
Epoch 78/100, train_sqrt_loss: 0.152510, test_sqrt_loss: 0.161566
Epoch 79/100, train_sqrt_loss: 0.150895, test_sqrt_loss: 0.160466
Epoch 80/100, train_sqrt_loss: 0.149307, test_sqrt_loss: 0.159386
Epoch 81/100, train_sqrt_loss: 0.147743, test_sqrt_loss: 0.158324
Epoch 82/100, train_sqrt_loss: 0.146204, test_sqrt_loss: 0.157282
Epoch 83/100, train_sqrt_loss: 0.144690, test_sqrt_loss: 0.156258
Epoch 84/100, train_sqrt_loss: 0.143198, test_sqrt_loss: 0.155252
Epoch 85/100, train_sqrt_loss: 0.141730, test_sqrt_loss: 0.154263
Epoch 86/100, train_sqrt_loss: 0.140283, test_sqrt_loss: 0.153292
Epoch 87/100, train_sqrt_loss: 0.138859, test_sqrt_loss: 0.152337
Epoch 88/100, train_sqrt_loss: 0.137455, test_sqrt_loss: 0.151398
Epoch 89/100, train_sqrt_loss: 0.136072, test_sqrt_loss: 0.150477
Epoch 90/100, train_sqrt_loss: 0.134709, test_sqrt_loss: 0.149573
Epoch 91/100, train_sqrt_loss: 0.133366, test_sqrt_loss: 0.148684
Epoch 92/100, train_sqrt_loss: 0.132043, test_sqrt_loss: 0.147809
Epoch 93/100, train_sqrt_loss: 0.130738, test_sqrt_loss: 0.146949
Epoch 94/100, train_sqrt_loss: 0.129452, test_sqrt_loss: 0.146104
Epoch 95/100, train_sqrt_loss: 0.128185, test_sqrt_loss: 0.145272
Epoch 96/100, train_sqrt_loss: 0.126936, test_sqrt_loss: 0.144454
Epoch 97/100, train_sqrt_loss: 0.125704, test_sqrt_loss: 0.143649
Epoch 98/100, train_sqrt_loss: 0.124490, test_sqrt_loss: 0.142857
Epoch 99/100, train_sqrt_loss: 0.123293, test_sqrt_loss: 0.142079
Epoch 100/100, train_sqrt_loss: 0.122112, test_sqrt_loss: 0.141313
