train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.578324, test_sqrt_loss: 0.574492
Epoch 2/100, train_sqrt_loss: 0.538519, test_sqrt_loss: 0.532251
Epoch 3/100, train_sqrt_loss: 0.501636, test_sqrt_loss: 0.492960
Epoch 4/100, train_sqrt_loss: 0.467784, test_sqrt_loss: 0.456997
Epoch 5/100, train_sqrt_loss: 0.437057, test_sqrt_loss: 0.424620
Epoch 6/100, train_sqrt_loss: 0.409482, test_sqrt_loss: 0.395889
Epoch 7/100, train_sqrt_loss: 0.384966, test_sqrt_loss: 0.370566
Epoch 8/100, train_sqrt_loss: 0.363283, test_sqrt_loss: 0.348158
Epoch 9/100, train_sqrt_loss: 0.344071, test_sqrt_loss: 0.328062
Epoch 10/100, train_sqrt_loss: 0.326905, test_sqrt_loss: 0.309701
Epoch 11/100, train_sqrt_loss: 0.311387, test_sqrt_loss: 0.292745
Epoch 12/100, train_sqrt_loss: 0.297181, test_sqrt_loss: 0.277318
Epoch 13/100, train_sqrt_loss: 0.283978, test_sqrt_loss: 0.263335
Epoch 14/100, train_sqrt_loss: 0.271332, test_sqrt_loss: 0.250090
Epoch 15/100, train_sqrt_loss: 0.258616, test_sqrt_loss: 0.237086
Epoch 16/100, train_sqrt_loss: 0.245534, test_sqrt_loss: 0.224397
Epoch 17/100, train_sqrt_loss: 0.232254, test_sqrt_loss: 0.212304
Epoch 18/100, train_sqrt_loss: 0.219175, test_sqrt_loss: 0.200980
Epoch 19/100, train_sqrt_loss: 0.206683, test_sqrt_loss: 0.190528
Epoch 20/100, train_sqrt_loss: 0.195037, test_sqrt_loss: 0.181017
Epoch 21/100, train_sqrt_loss: 0.184355, test_sqrt_loss: 0.172448
Epoch 22/100, train_sqrt_loss: 0.174650, test_sqrt_loss: 0.164753
Epoch 23/100, train_sqrt_loss: 0.165864, test_sqrt_loss: 0.157821
Epoch 24/100, train_sqrt_loss: 0.157893, test_sqrt_loss: 0.151519
Epoch 25/100, train_sqrt_loss: 0.150614, test_sqrt_loss: 0.145711
Epoch 26/100, train_sqrt_loss: 0.143903, test_sqrt_loss: 0.140276
Epoch 27/100, train_sqrt_loss: 0.137647, test_sqrt_loss: 0.135123
Epoch 28/100, train_sqrt_loss: 0.131756, test_sqrt_loss: 0.130195
Epoch 29/100, train_sqrt_loss: 0.126166, test_sqrt_loss: 0.125464
Epoch 30/100, train_sqrt_loss: 0.120846, test_sqrt_loss: 0.120935
Epoch 31/100, train_sqrt_loss: 0.115786, test_sqrt_loss: 0.116628
Epoch 32/100, train_sqrt_loss: 0.110996, test_sqrt_loss: 0.112577
Epoch 33/100, train_sqrt_loss: 0.106491, test_sqrt_loss: 0.108813
Epoch 34/100, train_sqrt_loss: 0.102290, test_sqrt_loss: 0.105361
Epoch 35/100, train_sqrt_loss: 0.098405, test_sqrt_loss: 0.102238
Epoch 36/100, train_sqrt_loss: 0.094837, test_sqrt_loss: 0.099446
Epoch 37/100, train_sqrt_loss: 0.091581, test_sqrt_loss: 0.096976
Epoch 38/100, train_sqrt_loss: 0.088619, test_sqrt_loss: 0.094806
Epoch 39/100, train_sqrt_loss: 0.085926, test_sqrt_loss: 0.092905
Epoch 40/100, train_sqrt_loss: 0.083472, test_sqrt_loss: 0.091236
Epoch 41/100, train_sqrt_loss: 0.081228, test_sqrt_loss: 0.089761
Epoch 42/100, train_sqrt_loss: 0.079166, test_sqrt_loss: 0.088442
Epoch 43/100, train_sqrt_loss: 0.077261, test_sqrt_loss: 0.087247
Epoch 44/100, train_sqrt_loss: 0.075497, test_sqrt_loss: 0.086145
Epoch 45/100, train_sqrt_loss: 0.073857, test_sqrt_loss: 0.085110
Epoch 46/100, train_sqrt_loss: 0.072329, test_sqrt_loss: 0.084122
Epoch 47/100, train_sqrt_loss: 0.070901, test_sqrt_loss: 0.083159
Epoch 48/100, train_sqrt_loss: 0.069560, test_sqrt_loss: 0.082207
Epoch 49/100, train_sqrt_loss: 0.068293, test_sqrt_loss: 0.081255
Epoch 50/100, train_sqrt_loss: 0.067089, test_sqrt_loss: 0.080294
Epoch 51/100, train_sqrt_loss: 0.065936, test_sqrt_loss: 0.079323
Epoch 52/100, train_sqrt_loss: 0.064828, test_sqrt_loss: 0.078341
Epoch 53/100, train_sqrt_loss: 0.063759, test_sqrt_loss: 0.077351
Epoch 54/100, train_sqrt_loss: 0.062729, test_sqrt_loss: 0.076357
Epoch 55/100, train_sqrt_loss: 0.061737, test_sqrt_loss: 0.075366
Epoch 56/100, train_sqrt_loss: 0.060784, test_sqrt_loss: 0.074384
Epoch 57/100, train_sqrt_loss: 0.059874, test_sqrt_loss: 0.073421
Epoch 58/100, train_sqrt_loss: 0.059007, test_sqrt_loss: 0.072483
Epoch 59/100, train_sqrt_loss: 0.058185, test_sqrt_loss: 0.071577
Epoch 60/100, train_sqrt_loss: 0.057408, test_sqrt_loss: 0.070708
Epoch 61/100, train_sqrt_loss: 0.056675, test_sqrt_loss: 0.069882
Epoch 62/100, train_sqrt_loss: 0.055984, test_sqrt_loss: 0.069099
Epoch 63/100, train_sqrt_loss: 0.055333, test_sqrt_loss: 0.068361
Epoch 64/100, train_sqrt_loss: 0.054720, test_sqrt_loss: 0.067667
Epoch 65/100, train_sqrt_loss: 0.054143, test_sqrt_loss: 0.067013
Epoch 66/100, train_sqrt_loss: 0.053600, test_sqrt_loss: 0.066394
Epoch 67/100, train_sqrt_loss: 0.053089, test_sqrt_loss: 0.065806
Epoch 68/100, train_sqrt_loss: 0.052608, test_sqrt_loss: 0.065243
Epoch 69/100, train_sqrt_loss: 0.052154, test_sqrt_loss: 0.064698
Epoch 70/100, train_sqrt_loss: 0.051726, test_sqrt_loss: 0.064166
Epoch 71/100, train_sqrt_loss: 0.051320, test_sqrt_loss: 0.063644
Epoch 72/100, train_sqrt_loss: 0.050934, test_sqrt_loss: 0.063129
Epoch 73/100, train_sqrt_loss: 0.050567, test_sqrt_loss: 0.062620
Epoch 74/100, train_sqrt_loss: 0.050215, test_sqrt_loss: 0.062117
Epoch 75/100, train_sqrt_loss: 0.049879, test_sqrt_loss: 0.061623
Epoch 76/100, train_sqrt_loss: 0.049559, test_sqrt_loss: 0.061140
Epoch 77/100, train_sqrt_loss: 0.049255, test_sqrt_loss: 0.060673
Epoch 78/100, train_sqrt_loss: 0.048966, test_sqrt_loss: 0.060224
Epoch 79/100, train_sqrt_loss: 0.048694, test_sqrt_loss: 0.059797
Epoch 80/100, train_sqrt_loss: 0.048437, test_sqrt_loss: 0.059394
Epoch 81/100, train_sqrt_loss: 0.048196, test_sqrt_loss: 0.059018
Epoch 82/100, train_sqrt_loss: 0.047967, test_sqrt_loss: 0.058668
Epoch 83/100, train_sqrt_loss: 0.047750, test_sqrt_loss: 0.058345
Epoch 84/100, train_sqrt_loss: 0.047542, test_sqrt_loss: 0.058049
Epoch 85/100, train_sqrt_loss: 0.047341, test_sqrt_loss: 0.057778
Epoch 86/100, train_sqrt_loss: 0.047147, test_sqrt_loss: 0.057530
Epoch 87/100, train_sqrt_loss: 0.046958, test_sqrt_loss: 0.057304
Epoch 88/100, train_sqrt_loss: 0.046774, test_sqrt_loss: 0.057097
Epoch 89/100, train_sqrt_loss: 0.046596, test_sqrt_loss: 0.056908
Epoch 90/100, train_sqrt_loss: 0.046423, test_sqrt_loss: 0.056733
Epoch 91/100, train_sqrt_loss: 0.046256, test_sqrt_loss: 0.056568
