train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.578324, test_sqrt_loss: 0.561083
Epoch 2/100, train_sqrt_loss: 0.526655, test_sqrt_loss: 0.507338
Epoch 3/100, train_sqrt_loss: 0.480088, test_sqrt_loss: 0.459065
Epoch 4/100, train_sqrt_loss: 0.438838, test_sqrt_loss: 0.416903
Epoch 5/100, train_sqrt_loss: 0.403028, test_sqrt_loss: 0.381045
Epoch 6/100, train_sqrt_loss: 0.372486, test_sqrt_loss: 0.350908
Epoch 7/100, train_sqrt_loss: 0.346659, test_sqrt_loss: 0.325241
Epoch 8/100, train_sqrt_loss: 0.324685, test_sqrt_loss: 0.302782
Epoch 9/100, train_sqrt_loss: 0.305669, test_sqrt_loss: 0.283086
Epoch 10/100, train_sqrt_loss: 0.288791, test_sqrt_loss: 0.265878
Epoch 11/100, train_sqrt_loss: 0.273001, test_sqrt_loss: 0.249433
Epoch 12/100, train_sqrt_loss: 0.256895, test_sqrt_loss: 0.232802
Epoch 13/100, train_sqrt_loss: 0.240006, test_sqrt_loss: 0.216349
Epoch 14/100, train_sqrt_loss: 0.222867, test_sqrt_loss: 0.200649
Epoch 15/100, train_sqrt_loss: 0.206289, test_sqrt_loss: 0.186141
Epoch 16/100, train_sqrt_loss: 0.190897, test_sqrt_loss: 0.173146
Epoch 17/100, train_sqrt_loss: 0.177023, test_sqrt_loss: 0.161797
Epoch 18/100, train_sqrt_loss: 0.164762, test_sqrt_loss: 0.152038
Epoch 19/100, train_sqrt_loss: 0.154050, test_sqrt_loss: 0.143685
Epoch 20/100, train_sqrt_loss: 0.144712, test_sqrt_loss: 0.136478
Epoch 21/100, train_sqrt_loss: 0.136514, test_sqrt_loss: 0.130144
Epoch 22/100, train_sqrt_loss: 0.129208, test_sqrt_loss: 0.124438
Epoch 23/100, train_sqrt_loss: 0.122571, test_sqrt_loss: 0.119176
Epoch 24/100, train_sqrt_loss: 0.116430, test_sqrt_loss: 0.114248
Epoch 25/100, train_sqrt_loss: 0.110685, test_sqrt_loss: 0.109611
Epoch 26/100, train_sqrt_loss: 0.105294, test_sqrt_loss: 0.105270
Epoch 27/100, train_sqrt_loss: 0.100261, test_sqrt_loss: 0.101258
Epoch 28/100, train_sqrt_loss: 0.095613, test_sqrt_loss: 0.097615
Epoch 29/100, train_sqrt_loss: 0.091379, test_sqrt_loss: 0.094377
Epoch 30/100, train_sqrt_loss: 0.087574, test_sqrt_loss: 0.091558
Epoch 31/100, train_sqrt_loss: 0.084193, test_sqrt_loss: 0.089152
Epoch 32/100, train_sqrt_loss: 0.081211, test_sqrt_loss: 0.087130
Epoch 33/100, train_sqrt_loss: 0.078577, test_sqrt_loss: 0.085442
Epoch 34/100, train_sqrt_loss: 0.076231, test_sqrt_loss: 0.084026
Epoch 35/100, train_sqrt_loss: 0.074110, test_sqrt_loss: 0.082816
Epoch 36/100, train_sqrt_loss: 0.072160, test_sqrt_loss: 0.081755
