train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.464611, test_sqrt_loss: 0.367817
Epoch 2/100, train_sqrt_loss: 0.430351, test_sqrt_loss: 0.343658
Epoch 3/100, train_sqrt_loss: 0.398702, test_sqrt_loss: 0.321316
Epoch 4/100, train_sqrt_loss: 0.369561, test_sqrt_loss: 0.300855
Epoch 5/100, train_sqrt_loss: 0.342822, test_sqrt_loss: 0.282277
Epoch 6/100, train_sqrt_loss: 0.318357, test_sqrt_loss: 0.265499
Epoch 7/100, train_sqrt_loss: 0.296039, test_sqrt_loss: 0.250408
Epoch 8/100, train_sqrt_loss: 0.275771, test_sqrt_loss: 0.236882
Epoch 9/100, train_sqrt_loss: 0.257448, test_sqrt_loss: 0.224800
Epoch 10/100, train_sqrt_loss: 0.240972, test_sqrt_loss: 0.214024
Epoch 11/100, train_sqrt_loss: 0.226236, test_sqrt_loss: 0.204421
Epoch 12/100, train_sqrt_loss: 0.213116, test_sqrt_loss: 0.195856
Epoch 13/100, train_sqrt_loss: 0.201467, test_sqrt_loss: 0.188205
Epoch 14/100, train_sqrt_loss: 0.191139, test_sqrt_loss: 0.181346
Epoch 15/100, train_sqrt_loss: 0.181975, test_sqrt_loss: 0.175178
Epoch 16/100, train_sqrt_loss: 0.173819, test_sqrt_loss: 0.169611
Epoch 17/100, train_sqrt_loss: 0.166518, test_sqrt_loss: 0.164561
Epoch 18/100, train_sqrt_loss: 0.159933, test_sqrt_loss: 0.159939
Epoch 19/100, train_sqrt_loss: 0.153929, test_sqrt_loss: 0.155673
Epoch 20/100, train_sqrt_loss: 0.148386, test_sqrt_loss: 0.151691
Epoch 21/100, train_sqrt_loss: 0.143204, test_sqrt_loss: 0.147920
Epoch 22/100, train_sqrt_loss: 0.138296, test_sqrt_loss: 0.144282
Epoch 23/100, train_sqrt_loss: 0.133587, test_sqrt_loss: 0.140729
Epoch 24/100, train_sqrt_loss: 0.129023, test_sqrt_loss: 0.137224
Epoch 25/100, train_sqrt_loss: 0.124560, test_sqrt_loss: 0.133736
Epoch 26/100, train_sqrt_loss: 0.120171, test_sqrt_loss: 0.130244
Epoch 27/100, train_sqrt_loss: 0.115841, test_sqrt_loss: 0.126754
Epoch 28/100, train_sqrt_loss: 0.111565, test_sqrt_loss: 0.123266
Epoch 29/100, train_sqrt_loss: 0.107350, test_sqrt_loss: 0.119806
Epoch 30/100, train_sqrt_loss: 0.103216, test_sqrt_loss: 0.116404
Epoch 31/100, train_sqrt_loss: 0.099185, test_sqrt_loss: 0.113103
Epoch 32/100, train_sqrt_loss: 0.095285, test_sqrt_loss: 0.109948
Epoch 33/100, train_sqrt_loss: 0.091553, test_sqrt_loss: 0.106976
Epoch 34/100, train_sqrt_loss: 0.088017, test_sqrt_loss: 0.104212
Epoch 35/100, train_sqrt_loss: 0.084699, test_sqrt_loss: 0.101689
Epoch 36/100, train_sqrt_loss: 0.081617, test_sqrt_loss: 0.099408
Epoch 37/100, train_sqrt_loss: 0.078777, test_sqrt_loss: 0.097364
Epoch 38/100, train_sqrt_loss: 0.076176, test_sqrt_loss: 0.095544
Epoch 39/100, train_sqrt_loss: 0.073805, test_sqrt_loss: 0.093928
Epoch 40/100, train_sqrt_loss: 0.071651, test_sqrt_loss: 0.092489
Epoch 41/100, train_sqrt_loss: 0.069692, test_sqrt_loss: 0.091202
Epoch 42/100, train_sqrt_loss: 0.067904, test_sqrt_loss: 0.090025
Epoch 43/100, train_sqrt_loss: 0.066267, test_sqrt_loss: 0.088932
Epoch 44/100, train_sqrt_loss: 0.064757, test_sqrt_loss: 0.087889
Epoch 45/100, train_sqrt_loss: 0.063351, test_sqrt_loss: 0.086875
Epoch 46/100, train_sqrt_loss: 0.062027, test_sqrt_loss: 0.085871
Epoch 47/100, train_sqrt_loss: 0.060766, test_sqrt_loss: 0.084856
Epoch 48/100, train_sqrt_loss: 0.059553, test_sqrt_loss: 0.083823
Epoch 49/100, train_sqrt_loss: 0.058377, test_sqrt_loss: 0.082771
Epoch 50/100, train_sqrt_loss: 0.057227, test_sqrt_loss: 0.081702
Epoch 51/100, train_sqrt_loss: 0.056106, test_sqrt_loss: 0.080625
Epoch 52/100, train_sqrt_loss: 0.055015, test_sqrt_loss: 0.079551
Epoch 53/100, train_sqrt_loss: 0.053958, test_sqrt_loss: 0.078494
Epoch 54/100, train_sqrt_loss: 0.052941, test_sqrt_loss: 0.077467
Epoch 55/100, train_sqrt_loss: 0.051971, test_sqrt_loss: 0.076483
Epoch 56/100, train_sqrt_loss: 0.051055, test_sqrt_loss: 0.075555
