train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.744715, test_sqrt_loss: 0.762167
Epoch 2/100, train_sqrt_loss: 0.695040, test_sqrt_loss: 0.713779
Epoch 3/100, train_sqrt_loss: 0.649280, test_sqrt_loss: 0.668432
Epoch 4/100, train_sqrt_loss: 0.607087, test_sqrt_loss: 0.626175
Epoch 5/100, train_sqrt_loss: 0.568109, test_sqrt_loss: 0.586873
Epoch 6/100, train_sqrt_loss: 0.532040, test_sqrt_loss: 0.550361
Epoch 7/100, train_sqrt_loss: 0.498637, test_sqrt_loss: 0.516499
Epoch 8/100, train_sqrt_loss: 0.467701, test_sqrt_loss: 0.485150
Epoch 9/100, train_sqrt_loss: 0.439070, test_sqrt_loss: 0.456208
Epoch 10/100, train_sqrt_loss: 0.412590, test_sqrt_loss: 0.429586
Epoch 11/100, train_sqrt_loss: 0.388114, test_sqrt_loss: 0.405138
Epoch 12/100, train_sqrt_loss: 0.365499, test_sqrt_loss: 0.382717
Epoch 13/100, train_sqrt_loss: 0.344608, test_sqrt_loss: 0.362155
Epoch 14/100, train_sqrt_loss: 0.325302, test_sqrt_loss: 0.343306
Epoch 15/100, train_sqrt_loss: 0.307455, test_sqrt_loss: 0.326020
Epoch 16/100, train_sqrt_loss: 0.290943, test_sqrt_loss: 0.310141
Epoch 17/100, train_sqrt_loss: 0.275651, test_sqrt_loss: 0.295535
Epoch 18/100, train_sqrt_loss: 0.261470, test_sqrt_loss: 0.282076
Epoch 19/100, train_sqrt_loss: 0.248296, test_sqrt_loss: 0.269648
Epoch 20/100, train_sqrt_loss: 0.236032, test_sqrt_loss: 0.258140
Epoch 21/100, train_sqrt_loss: 0.224593, test_sqrt_loss: 0.247448
Epoch 22/100, train_sqrt_loss: 0.213905, test_sqrt_loss: 0.237471
Epoch 23/100, train_sqrt_loss: 0.203895, test_sqrt_loss: 0.228124
Epoch 24/100, train_sqrt_loss: 0.194504, test_sqrt_loss: 0.219334
Epoch 25/100, train_sqrt_loss: 0.185676, test_sqrt_loss: 0.211043
Epoch 26/100, train_sqrt_loss: 0.177366, test_sqrt_loss: 0.203210
Epoch 27/100, train_sqrt_loss: 0.169538, test_sqrt_loss: 0.195813
Epoch 28/100, train_sqrt_loss: 0.162170, test_sqrt_loss: 0.188843
Epoch 29/100, train_sqrt_loss: 0.155247, test_sqrt_loss: 0.182308
Epoch 30/100, train_sqrt_loss: 0.148765, test_sqrt_loss: 0.176223
Epoch 31/100, train_sqrt_loss: 0.142725, test_sqrt_loss: 0.170601
Epoch 32/100, train_sqrt_loss: 0.137127, test_sqrt_loss: 0.165447
Epoch 33/100, train_sqrt_loss: 0.131968, test_sqrt_loss: 0.160757
Epoch 34/100, train_sqrt_loss: 0.127238, test_sqrt_loss: 0.156513
Epoch 35/100, train_sqrt_loss: 0.122916, test_sqrt_loss: 0.152679
Epoch 36/100, train_sqrt_loss: 0.118976, test_sqrt_loss: 0.149214
Epoch 37/100, train_sqrt_loss: 0.115384, test_sqrt_loss: 0.146065
Epoch 38/100, train_sqrt_loss: 0.112098, test_sqrt_loss: 0.143176
Epoch 39/100, train_sqrt_loss: 0.109076, test_sqrt_loss: 0.140491
Epoch 40/100, train_sqrt_loss: 0.106273, test_sqrt_loss: 0.137957
Epoch 41/100, train_sqrt_loss: 0.103647, test_sqrt_loss: 0.135529
Epoch 42/100, train_sqrt_loss: 0.101161, test_sqrt_loss: 0.133169
Epoch 43/100, train_sqrt_loss: 0.098783, test_sqrt_loss: 0.130849
Epoch 44/100, train_sqrt_loss: 0.096489, test_sqrt_loss: 0.128550
Epoch 45/100, train_sqrt_loss: 0.094261, test_sqrt_loss: 0.126260
Epoch 46/100, train_sqrt_loss: 0.092090, test_sqrt_loss: 0.123979
Epoch 47/100, train_sqrt_loss: 0.089971, test_sqrt_loss: 0.121709
Epoch 48/100, train_sqrt_loss: 0.087906, test_sqrt_loss: 0.119459
Epoch 49/100, train_sqrt_loss: 0.085899, test_sqrt_loss: 0.117240
Epoch 50/100, train_sqrt_loss: 0.083957, test_sqrt_loss: 0.115066
Epoch 51/100, train_sqrt_loss: 0.082089, test_sqrt_loss: 0.112949
Epoch 52/100, train_sqrt_loss: 0.080302, test_sqrt_loss: 0.110903
Epoch 53/100, train_sqrt_loss: 0.078602, test_sqrt_loss: 0.108936
Epoch 54/100, train_sqrt_loss: 0.076994, test_sqrt_loss: 0.107058
Epoch 55/100, train_sqrt_loss: 0.075478, test_sqrt_loss: 0.105274
Epoch 56/100, train_sqrt_loss: 0.074055, test_sqrt_loss: 0.103587
Epoch 57/100, train_sqrt_loss: 0.072719, test_sqrt_loss: 0.101997
Epoch 58/100, train_sqrt_loss: 0.071467, test_sqrt_loss: 0.100504
Epoch 59/100, train_sqrt_loss: 0.070290, test_sqrt_loss: 0.099104
Epoch 60/100, train_sqrt_loss: 0.069181, test_sqrt_loss: 0.097794
Epoch 61/100, train_sqrt_loss: 0.068132, test_sqrt_loss: 0.096572
Epoch 62/100, train_sqrt_loss: 0.067137, test_sqrt_loss: 0.095434
Epoch 63/100, train_sqrt_loss: 0.066190, test_sqrt_loss: 0.094377
Epoch 64/100, train_sqrt_loss: 0.065285, test_sqrt_loss: 0.093397
Epoch 65/100, train_sqrt_loss: 0.064419, test_sqrt_loss: 0.092493
Epoch 66/100, train_sqrt_loss: 0.063589, test_sqrt_loss: 0.091661
Epoch 67/100, train_sqrt_loss: 0.062795, test_sqrt_loss: 0.090898
Epoch 68/100, train_sqrt_loss: 0.062034, test_sqrt_loss: 0.090201
Epoch 69/100, train_sqrt_loss: 0.061305, test_sqrt_loss: 0.089565
Epoch 70/100, train_sqrt_loss: 0.060609, test_sqrt_loss: 0.088986
Epoch 71/100, train_sqrt_loss: 0.059944, test_sqrt_loss: 0.088459
Epoch 72/100, train_sqrt_loss: 0.059309, test_sqrt_loss: 0.087976
Epoch 73/100, train_sqrt_loss: 0.058703, test_sqrt_loss: 0.087531
Epoch 74/100, train_sqrt_loss: 0.058122, test_sqrt_loss: 0.087116
Epoch 75/100, train_sqrt_loss: 0.057566, test_sqrt_loss: 0.086726
Epoch 76/100, train_sqrt_loss: 0.057032, test_sqrt_loss: 0.086353
Epoch 77/100, train_sqrt_loss: 0.056519, test_sqrt_loss: 0.085992
Epoch 78/100, train_sqrt_loss: 0.056024, test_sqrt_loss: 0.085637
Epoch 79/100, train_sqrt_loss: 0.055547, test_sqrt_loss: 0.085283
Epoch 80/100, train_sqrt_loss: 0.055084, test_sqrt_loss: 0.084928
Epoch 81/100, train_sqrt_loss: 0.054636, test_sqrt_loss: 0.084568
Epoch 82/100, train_sqrt_loss: 0.054203, test_sqrt_loss: 0.084202
Epoch 83/100, train_sqrt_loss: 0.053783, test_sqrt_loss: 0.083829
Epoch 84/100, train_sqrt_loss: 0.053377, test_sqrt_loss: 0.083449
Epoch 85/100, train_sqrt_loss: 0.052985, test_sqrt_loss: 0.083064
Epoch 86/100, train_sqrt_loss: 0.052606, test_sqrt_loss: 0.082673
Epoch 87/100, train_sqrt_loss: 0.052241, test_sqrt_loss: 0.082279
Epoch 88/100, train_sqrt_loss: 0.051890, test_sqrt_loss: 0.081884
Epoch 89/100, train_sqrt_loss: 0.051552, test_sqrt_loss: 0.081489
Epoch 90/100, train_sqrt_loss: 0.051227, test_sqrt_loss: 0.081097
Epoch 91/100, train_sqrt_loss: 0.050915, test_sqrt_loss: 0.080710
Epoch 92/100, train_sqrt_loss: 0.050614, test_sqrt_loss: 0.080330
Epoch 93/100, train_sqrt_loss: 0.050324, test_sqrt_loss: 0.079959
Epoch 94/100, train_sqrt_loss: 0.050044, test_sqrt_loss: 0.079598
Epoch 95/100, train_sqrt_loss: 0.049773, test_sqrt_loss: 0.079248
Epoch 96/100, train_sqrt_loss: 0.049510, test_sqrt_loss: 0.078912
Epoch 97/100, train_sqrt_loss: 0.049255, test_sqrt_loss: 0.078589
Epoch 98/100, train_sqrt_loss: 0.049007, test_sqrt_loss: 0.078281
Epoch 99/100, train_sqrt_loss: 0.048766, test_sqrt_loss: 0.077987
Epoch 100/100, train_sqrt_loss: 0.048530, test_sqrt_loss: 0.077707
