train_size: 23
test_size: 3
begin training...
total train batches1
total test_batches1
Epoch 1/100, train_sqrt_loss: 0.578324, test_sqrt_loss: 0.581014
Epoch 2/100, train_sqrt_loss: 0.544309, test_sqrt_loss: 0.544617
Epoch 3/100, train_sqrt_loss: 0.512394, test_sqrt_loss: 0.510234
Epoch 4/100, train_sqrt_loss: 0.482648, test_sqrt_loss: 0.478171
Epoch 5/100, train_sqrt_loss: 0.455141, test_sqrt_loss: 0.448616
Epoch 6/100, train_sqrt_loss: 0.429912, test_sqrt_loss: 0.421698
Epoch 7/100, train_sqrt_loss: 0.406951, test_sqrt_loss: 0.397389
Epoch 8/100, train_sqrt_loss: 0.386169, test_sqrt_loss: 0.375502
Epoch 9/100, train_sqrt_loss: 0.367412, test_sqrt_loss: 0.355727
Epoch 10/100, train_sqrt_loss: 0.350449, test_sqrt_loss: 0.337695
Epoch 11/100, train_sqrt_loss: 0.335013, test_sqrt_loss: 0.321021
Epoch 12/100, train_sqrt_loss: 0.320845, test_sqrt_loss: 0.305388
Epoch 13/100, train_sqrt_loss: 0.307720, test_sqrt_loss: 0.290678
Epoch 14/100, train_sqrt_loss: 0.295461, test_sqrt_loss: 0.277049
Epoch 15/100, train_sqrt_loss: 0.283909, test_sqrt_loss: 0.264549
Epoch 16/100, train_sqrt_loss: 0.272831, test_sqrt_loss: 0.252831
Epoch 17/100, train_sqrt_loss: 0.261849, test_sqrt_loss: 0.241529
Epoch 18/100, train_sqrt_loss: 0.250688, test_sqrt_loss: 0.230576
Epoch 19/100, train_sqrt_loss: 0.239359, test_sqrt_loss: 0.220130
Epoch 20/100, train_sqrt_loss: 0.228078, test_sqrt_loss: 0.210333
Epoch 21/100, train_sqrt_loss: 0.217119, test_sqrt_loss: 0.201220
Epoch 22/100, train_sqrt_loss: 0.206706, test_sqrt_loss: 0.192794
Epoch 23/100, train_sqrt_loss: 0.196974, test_sqrt_loss: 0.185045
Epoch 24/100, train_sqrt_loss: 0.187967, test_sqrt_loss: 0.177938
Epoch 25/100, train_sqrt_loss: 0.179670, test_sqrt_loss: 0.171407
Epoch 26/100, train_sqrt_loss: 0.172029, test_sqrt_loss: 0.165370
Epoch 27/100, train_sqrt_loss: 0.164965, test_sqrt_loss: 0.159734
Epoch 28/100, train_sqrt_loss: 0.158393, test_sqrt_loss: 0.154417
Epoch 29/100, train_sqrt_loss: 0.152230, test_sqrt_loss: 0.149344
Epoch 30/100, train_sqrt_loss: 0.146404, test_sqrt_loss: 0.144460
Epoch 31/100, train_sqrt_loss: 0.140857, test_sqrt_loss: 0.139732
Epoch 32/100, train_sqrt_loss: 0.135550, test_sqrt_loss: 0.135148
Epoch 33/100, train_sqrt_loss: 0.130459, test_sqrt_loss: 0.130711
Epoch 34/100, train_sqrt_loss: 0.125578, test_sqrt_loss: 0.126441
Epoch 35/100, train_sqrt_loss: 0.120912, test_sqrt_loss: 0.122364
Epoch 36/100, train_sqrt_loss: 0.116474, test_sqrt_loss: 0.118509
Epoch 37/100, train_sqrt_loss: 0.112276, test_sqrt_loss: 0.114904
Epoch 38/100, train_sqrt_loss: 0.108331, test_sqrt_loss: 0.111565
Epoch 39/100, train_sqrt_loss: 0.104645, test_sqrt_loss: 0.108501
Epoch 40/100, train_sqrt_loss: 0.101219, test_sqrt_loss: 0.105714
Epoch 41/100, train_sqrt_loss: 0.098048, test_sqrt_loss: 0.103196
Epoch 42/100, train_sqrt_loss: 0.095119, test_sqrt_loss: 0.100932
Epoch 43/100, train_sqrt_loss: 0.092416, test_sqrt_loss: 0.098900
Epoch 44/100, train_sqrt_loss: 0.089920, test_sqrt_loss: 0.097074
Epoch 45/100, train_sqrt_loss: 0.087612, test_sqrt_loss: 0.095427
Epoch 46/100, train_sqrt_loss: 0.085471, test_sqrt_loss: 0.093934
Epoch 47/100, train_sqrt_loss: 0.083480, test_sqrt_loss: 0.092569
Epoch 48/100, train_sqrt_loss: 0.081623, test_sqrt_loss: 0.091308
Epoch 49/100, train_sqrt_loss: 0.079886, test_sqrt_loss: 0.090131
Epoch 50/100, train_sqrt_loss: 0.078258, test_sqrt_loss: 0.089021
Epoch 51/100, train_sqrt_loss: 0.076725, test_sqrt_loss: 0.087963
Epoch 52/100, train_sqrt_loss: 0.075279, test_sqrt_loss: 0.086944
Epoch 53/100, train_sqrt_loss: 0.073909, test_sqrt_loss: 0.085954
Epoch 54/100, train_sqrt_loss: 0.072607, test_sqrt_loss: 0.084989
Epoch 55/100, train_sqrt_loss: 0.071367, test_sqrt_loss: 0.084042
Epoch 56/100, train_sqrt_loss: 0.070182, test_sqrt_loss: 0.083110
Epoch 57/100, train_sqrt_loss: 0.069050, test_sqrt_loss: 0.082194
Epoch 58/100, train_sqrt_loss: 0.067969, test_sqrt_loss: 0.081291
Epoch 59/100, train_sqrt_loss: 0.066937, test_sqrt_loss: 0.080403
Epoch 60/100, train_sqrt_loss: 0.065953, test_sqrt_loss: 0.079529
Epoch 61/100, train_sqrt_loss: 0.065015, test_sqrt_loss: 0.078673
Epoch 62/100, train_sqrt_loss: 0.064122, test_sqrt_loss: 0.077834
Epoch 63/100, train_sqrt_loss: 0.063271, test_sqrt_loss: 0.077015
Epoch 64/100, train_sqrt_loss: 0.062461, test_sqrt_loss: 0.076217
Epoch 65/100, train_sqrt_loss: 0.061688, test_sqrt_loss: 0.075442
Epoch 66/100, train_sqrt_loss: 0.060950, test_sqrt_loss: 0.074690
Epoch 67/100, train_sqrt_loss: 0.060244, test_sqrt_loss: 0.073963
Epoch 68/100, train_sqrt_loss: 0.059568, test_sqrt_loss: 0.073259
Epoch 69/100, train_sqrt_loss: 0.058921, test_sqrt_loss: 0.072579
Epoch 70/100, train_sqrt_loss: 0.058303, test_sqrt_loss: 0.071921
Epoch 71/100, train_sqrt_loss: 0.057713, test_sqrt_loss: 0.071282
Epoch 72/100, train_sqrt_loss: 0.057150, test_sqrt_loss: 0.070662
Epoch 73/100, train_sqrt_loss: 0.056615, test_sqrt_loss: 0.070056
Epoch 74/100, train_sqrt_loss: 0.056106, test_sqrt_loss: 0.069464
Epoch 75/100, train_sqrt_loss: 0.055622, test_sqrt_loss: 0.068883
Epoch 76/100, train_sqrt_loss: 0.055161, test_sqrt_loss: 0.068312
Epoch 77/100, train_sqrt_loss: 0.054721, test_sqrt_loss: 0.067750
Epoch 78/100, train_sqrt_loss: 0.054301, test_sqrt_loss: 0.067200
Epoch 79/100, train_sqrt_loss: 0.053898, test_sqrt_loss: 0.066661
Epoch 80/100, train_sqrt_loss: 0.053512, test_sqrt_loss: 0.066136
Epoch 81/100, train_sqrt_loss: 0.053141, test_sqrt_loss: 0.065628
Epoch 82/100, train_sqrt_loss: 0.052786, test_sqrt_loss: 0.065140
Epoch 83/100, train_sqrt_loss: 0.052445, test_sqrt_loss: 0.064674
Epoch 84/100, train_sqrt_loss: 0.052119, test_sqrt_loss: 0.064233
Epoch 85/100, train_sqrt_loss: 0.051808, test_sqrt_loss: 0.063819
Epoch 86/100, train_sqrt_loss: 0.051511, test_sqrt_loss: 0.063432
Epoch 87/100, train_sqrt_loss: 0.051227, test_sqrt_loss: 0.063072
Epoch 88/100, train_sqrt_loss: 0.050956, test_sqrt_loss: 0.062738
Epoch 89/100, train_sqrt_loss: 0.050697, test_sqrt_loss: 0.062429
Epoch 90/100, train_sqrt_loss: 0.050447, test_sqrt_loss: 0.062142
Epoch 91/100, train_sqrt_loss: 0.050208, test_sqrt_loss: 0.061876
Epoch 92/100, train_sqrt_loss: 0.049977, test_sqrt_loss: 0.061626
Epoch 93/100, train_sqrt_loss: 0.049754, test_sqrt_loss: 0.061390
Epoch 94/100, train_sqrt_loss: 0.049539, test_sqrt_loss: 0.061166
Epoch 95/100, train_sqrt_loss: 0.049331, test_sqrt_loss: 0.060949
Epoch 96/100, train_sqrt_loss: 0.049129, test_sqrt_loss: 0.060737
Epoch 97/100, train_sqrt_loss: 0.048935, test_sqrt_loss: 0.060529
Epoch 98/100, train_sqrt_loss: 0.048747, test_sqrt_loss: 0.060321
Epoch 99/100, train_sqrt_loss: 0.048565, test_sqrt_loss: 0.060112
Epoch 100/100, train_sqrt_loss: 0.048389, test_sqrt_loss: 0.059901
