train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.118044, test_sqrt_loss: 0.067776
Epoch 2/100, train_sqrt_loss: 0.051334, test_sqrt_loss: 0.033195
Epoch 3/100, train_sqrt_loss: 0.034533, test_sqrt_loss: 0.046074
Epoch 4/100, train_sqrt_loss: 0.029900, test_sqrt_loss: 0.064188
Epoch 5/100, train_sqrt_loss: 0.028362, test_sqrt_loss: 0.078647
Epoch 6/100, train_sqrt_loss: 0.028293, test_sqrt_loss: 0.166023
Epoch 7/100, train_sqrt_loss: 0.029417, test_sqrt_loss: 0.086164
Epoch 8/100, train_sqrt_loss: 0.033572, test_sqrt_loss: 0.232844
Epoch 9/100, train_sqrt_loss: 0.029355, test_sqrt_loss: 0.261460
Epoch 10/100, train_sqrt_loss: 0.027610, test_sqrt_loss: 0.225039
Epoch 11/100, train_sqrt_loss: 0.027943, test_sqrt_loss: 0.149621
Epoch 12/100, train_sqrt_loss: 0.029183, test_sqrt_loss: 0.037985
Epoch 13/100, train_sqrt_loss: 0.029397, test_sqrt_loss: 0.395564
Epoch 14/100, train_sqrt_loss: 0.029392, test_sqrt_loss: 0.095051
Epoch 15/100, train_sqrt_loss: 0.035003, test_sqrt_loss: 0.105997
Epoch 16/100, train_sqrt_loss: 0.044791, test_sqrt_loss: 0.283888
Epoch 17/100, train_sqrt_loss: 0.031953, test_sqrt_loss: 0.257673
Epoch 18/100, train_sqrt_loss: 0.032821, test_sqrt_loss: 0.054882
Epoch 19/100, train_sqrt_loss: 0.048148, test_sqrt_loss: 0.543588
Epoch 20/100, train_sqrt_loss: 0.043662, test_sqrt_loss: 0.103265
Epoch 21/100, train_sqrt_loss: 0.029016, test_sqrt_loss: 0.067337
Epoch 22/100, train_sqrt_loss: 0.027962, test_sqrt_loss: 0.128237
Epoch 23/100, train_sqrt_loss: 0.028428, test_sqrt_loss: 0.204696
Epoch 24/100, train_sqrt_loss: 0.032770, test_sqrt_loss: 0.033922
Epoch 25/100, train_sqrt_loss: 0.064287, test_sqrt_loss: 0.643465
Epoch 26/100, train_sqrt_loss: 0.096297, test_sqrt_loss: 0.308991
Epoch 27/100, train_sqrt_loss: 0.041940, test_sqrt_loss: 0.229896
Epoch 28/100, train_sqrt_loss: 0.035663, test_sqrt_loss: 0.079399
Epoch 29/100, train_sqrt_loss: 0.028839, test_sqrt_loss: 0.084643
Epoch 30/100, train_sqrt_loss: 0.028534, test_sqrt_loss: 0.041155
Epoch 31/100, train_sqrt_loss: 0.027759, test_sqrt_loss: 0.048754
Epoch 32/100, train_sqrt_loss: 0.029632, test_sqrt_loss: 0.040561
Epoch 33/100, train_sqrt_loss: 0.027920, test_sqrt_loss: 0.053887
Epoch 34/100, train_sqrt_loss: 0.027424, test_sqrt_loss: 0.057792
Epoch 35/100, train_sqrt_loss: 0.027704, test_sqrt_loss: 0.032134
Epoch 36/100, train_sqrt_loss: 0.027407, test_sqrt_loss: 0.058763
Epoch 37/100, train_sqrt_loss: 0.027286, test_sqrt_loss: 0.042913
Epoch 38/100, train_sqrt_loss: 0.027210, test_sqrt_loss: 0.050784
Epoch 39/100, train_sqrt_loss: 0.027667, test_sqrt_loss: 0.109789
Epoch 40/100, train_sqrt_loss: 0.027700, test_sqrt_loss: 0.064706
Epoch 41/100, train_sqrt_loss: 0.027765, test_sqrt_loss: 0.059540
Epoch 42/100, train_sqrt_loss: 0.027779, test_sqrt_loss: 0.034202
Epoch 43/100, train_sqrt_loss: 0.027621, test_sqrt_loss: 0.045274
Epoch 44/100, train_sqrt_loss: 0.027559, test_sqrt_loss: 0.036544
Epoch 45/100, train_sqrt_loss: 0.027422, test_sqrt_loss: 0.033194
Epoch 46/100, train_sqrt_loss: 0.027437, test_sqrt_loss: 0.040352
Epoch 47/100, train_sqrt_loss: 0.027634, test_sqrt_loss: 0.037733
Epoch 48/100, train_sqrt_loss: 0.027355, test_sqrt_loss: 0.040377
Epoch 49/100, train_sqrt_loss: 0.027721, test_sqrt_loss: 0.035631
Epoch 50/100, train_sqrt_loss: 0.028179, test_sqrt_loss: 0.338192
Epoch 51/100, train_sqrt_loss: 0.031562, test_sqrt_loss: 0.114937
Epoch 52/100, train_sqrt_loss: 0.028619, test_sqrt_loss: 0.067903
Epoch 53/100, train_sqrt_loss: 0.028557, test_sqrt_loss: 0.154363
Epoch 54/100, train_sqrt_loss: 0.028111, test_sqrt_loss: 0.031757
Epoch 55/100, train_sqrt_loss: 0.027955, test_sqrt_loss: 0.048762
Epoch 56/100, train_sqrt_loss: 0.027716, test_sqrt_loss: 0.037446
Epoch 57/100, train_sqrt_loss: 0.027869, test_sqrt_loss: 0.112573
Epoch 58/100, train_sqrt_loss: 0.027618, test_sqrt_loss: 0.036105
Epoch 59/100, train_sqrt_loss: 0.028233, test_sqrt_loss: 0.037024
Epoch 60/100, train_sqrt_loss: 0.027649, test_sqrt_loss: 0.105023
Epoch 61/100, train_sqrt_loss: 0.028609, test_sqrt_loss: 0.046416
Epoch 62/100, train_sqrt_loss: 0.027709, test_sqrt_loss: 0.057900
Epoch 63/100, train_sqrt_loss: 0.028500, test_sqrt_loss: 0.075880
Epoch 64/100, train_sqrt_loss: 0.027508, test_sqrt_loss: 0.102942
Epoch 65/100, train_sqrt_loss: 0.027314, test_sqrt_loss: 0.032385
Epoch 66/100, train_sqrt_loss: 0.027467, test_sqrt_loss: 0.095306
Epoch 67/100, train_sqrt_loss: 0.027879, test_sqrt_loss: 0.133316
Epoch 68/100, train_sqrt_loss: 0.027755, test_sqrt_loss: 0.108612
Epoch 69/100, train_sqrt_loss: 0.029526, test_sqrt_loss: 0.061677
Epoch 70/100, train_sqrt_loss: 0.028615, test_sqrt_loss: 0.081304
Epoch 71/100, train_sqrt_loss: 0.028117, test_sqrt_loss: 0.166317
Epoch 72/100, train_sqrt_loss: 0.028827, test_sqrt_loss: 0.126158
Epoch 73/100, train_sqrt_loss: 0.028299, test_sqrt_loss: 0.049225
Epoch 74/100, train_sqrt_loss: 0.027405, test_sqrt_loss: 0.067670
Epoch 75/100, train_sqrt_loss: 0.028802, test_sqrt_loss: 0.121304
Epoch 76/100, train_sqrt_loss: 0.030502, test_sqrt_loss: 0.092161
Epoch 77/100, train_sqrt_loss: 0.031275, test_sqrt_loss: 0.233884
Epoch 78/100, train_sqrt_loss: 0.029170, test_sqrt_loss: 0.261829
Epoch 79/100, train_sqrt_loss: 0.028876, test_sqrt_loss: 0.120202
Epoch 80/100, train_sqrt_loss: 0.027910, test_sqrt_loss: 0.132167
Epoch 81/100, train_sqrt_loss: 0.027529, test_sqrt_loss: 0.034293
Epoch 82/100, train_sqrt_loss: 0.027247, test_sqrt_loss: 0.051309
Epoch 83/100, train_sqrt_loss: 0.027597, test_sqrt_loss: 0.033026
Epoch 84/100, train_sqrt_loss: 0.027273, test_sqrt_loss: 0.036818
Epoch 85/100, train_sqrt_loss: 0.027614, test_sqrt_loss: 0.034305
Epoch 86/100, train_sqrt_loss: 0.028377, test_sqrt_loss: 0.238841
Epoch 87/100, train_sqrt_loss: 0.028876, test_sqrt_loss: 0.060631
Epoch 88/100, train_sqrt_loss: 0.027587, test_sqrt_loss: 0.034029
Epoch 89/100, train_sqrt_loss: 0.027892, test_sqrt_loss: 0.063816
Epoch 90/100, train_sqrt_loss: 0.027849, test_sqrt_loss: 0.039240
Epoch 91/100, train_sqrt_loss: 0.027152, test_sqrt_loss: 0.066985
Epoch 92/100, train_sqrt_loss: 0.028425, test_sqrt_loss: 0.068151
Epoch 93/100, train_sqrt_loss: 0.028874, test_sqrt_loss: 0.108673
Epoch 94/100, train_sqrt_loss: 0.028050, test_sqrt_loss: 0.049643
Epoch 95/100, train_sqrt_loss: 0.028780, test_sqrt_loss: 0.160876
Epoch 96/100, train_sqrt_loss: 0.028200, test_sqrt_loss: 0.033571
Epoch 97/100, train_sqrt_loss: 0.027638, test_sqrt_loss: 0.175267
Epoch 98/100, train_sqrt_loss: 0.030156, test_sqrt_loss: 0.293949
Epoch 99/100, train_sqrt_loss: 0.037501, test_sqrt_loss: 0.162180
Epoch 100/100, train_sqrt_loss: 0.042044, test_sqrt_loss: 0.059761
