train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.329989, test_sqrt_loss: 0.033244
Epoch 2/100, train_sqrt_loss: 0.102803, test_sqrt_loss: 0.034143
Epoch 3/100, train_sqrt_loss: 0.068786, test_sqrt_loss: 0.041362
Epoch 4/100, train_sqrt_loss: 0.045269, test_sqrt_loss: 0.044321
Epoch 5/100, train_sqrt_loss: 0.031756, test_sqrt_loss: 0.040354
Epoch 6/100, train_sqrt_loss: 0.028471, test_sqrt_loss: 0.034817
Epoch 7/100, train_sqrt_loss: 0.027721, test_sqrt_loss: 0.040098
Epoch 8/100, train_sqrt_loss: 0.028259, test_sqrt_loss: 0.037523
Epoch 9/100, train_sqrt_loss: 0.027700, test_sqrt_loss: 0.036917
Epoch 10/100, train_sqrt_loss: 0.027670, test_sqrt_loss: 0.049881
Epoch 11/100, train_sqrt_loss: 0.027649, test_sqrt_loss: 0.039876
Epoch 12/100, train_sqrt_loss: 0.027590, test_sqrt_loss: 0.030713
Epoch 13/100, train_sqrt_loss: 0.027662, test_sqrt_loss: 0.052316
Epoch 14/100, train_sqrt_loss: 0.028695, test_sqrt_loss: 0.040483
Epoch 15/100, train_sqrt_loss: 0.029235, test_sqrt_loss: 0.047436
Epoch 16/100, train_sqrt_loss: 0.029647, test_sqrt_loss: 0.106906
Epoch 17/100, train_sqrt_loss: 0.029254, test_sqrt_loss: 0.043822
Epoch 18/100, train_sqrt_loss: 0.027666, test_sqrt_loss: 0.044888
Epoch 19/100, train_sqrt_loss: 0.027734, test_sqrt_loss: 0.052166
Epoch 20/100, train_sqrt_loss: 0.027757, test_sqrt_loss: 0.032951
Epoch 21/100, train_sqrt_loss: 0.028160, test_sqrt_loss: 0.067803
Epoch 22/100, train_sqrt_loss: 0.028598, test_sqrt_loss: 0.034598
Epoch 23/100, train_sqrt_loss: 0.028206, test_sqrt_loss: 0.038836
Epoch 24/100, train_sqrt_loss: 0.027718, test_sqrt_loss: 0.034286
Epoch 25/100, train_sqrt_loss: 0.027767, test_sqrt_loss: 0.035262
Epoch 26/100, train_sqrt_loss: 0.028204, test_sqrt_loss: 0.038666
Epoch 27/100, train_sqrt_loss: 0.028073, test_sqrt_loss: 0.071358
Epoch 28/100, train_sqrt_loss: 0.029299, test_sqrt_loss: 0.060500
Epoch 29/100, train_sqrt_loss: 0.032473, test_sqrt_loss: 0.040161
Epoch 30/100, train_sqrt_loss: 0.027817, test_sqrt_loss: 0.039430
Epoch 31/100, train_sqrt_loss: 0.027642, test_sqrt_loss: 0.037183
Epoch 32/100, train_sqrt_loss: 0.029699, test_sqrt_loss: 0.039955
Epoch 33/100, train_sqrt_loss: 0.027748, test_sqrt_loss: 0.036028
Epoch 34/100, train_sqrt_loss: 0.027886, test_sqrt_loss: 0.038867
Epoch 35/100, train_sqrt_loss: 0.027910, test_sqrt_loss: 0.058720
Epoch 36/100, train_sqrt_loss: 0.027361, test_sqrt_loss: 0.037262
Epoch 37/100, train_sqrt_loss: 0.028133, test_sqrt_loss: 0.043352
Epoch 38/100, train_sqrt_loss: 0.027603, test_sqrt_loss: 0.051449
Epoch 39/100, train_sqrt_loss: 0.027620, test_sqrt_loss: 0.082173
Epoch 40/100, train_sqrt_loss: 0.027476, test_sqrt_loss: 0.045844
Epoch 41/100, train_sqrt_loss: 0.028344, test_sqrt_loss: 0.054492
Epoch 42/100, train_sqrt_loss: 0.027998, test_sqrt_loss: 0.036692
Epoch 43/100, train_sqrt_loss: 0.027634, test_sqrt_loss: 0.041982
Epoch 44/100, train_sqrt_loss: 0.028154, test_sqrt_loss: 0.043931
Epoch 45/100, train_sqrt_loss: 0.033579, test_sqrt_loss: 0.147626
Epoch 46/100, train_sqrt_loss: 0.035227, test_sqrt_loss: 0.047114
Epoch 47/100, train_sqrt_loss: 0.029612, test_sqrt_loss: 0.071567
