train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.271750, test_sqrt_loss: 0.032572
Epoch 2/100, train_sqrt_loss: 0.075423, test_sqrt_loss: 0.037126
Epoch 3/100, train_sqrt_loss: 0.052154, test_sqrt_loss: 0.037713
Epoch 4/100, train_sqrt_loss: 0.036027, test_sqrt_loss: 0.040046
Epoch 5/100, train_sqrt_loss: 0.028876, test_sqrt_loss: 0.034731
Epoch 6/100, train_sqrt_loss: 0.029531, test_sqrt_loss: 0.052708
Epoch 7/100, train_sqrt_loss: 0.028095, test_sqrt_loss: 0.034874
Epoch 8/100, train_sqrt_loss: 0.028373, test_sqrt_loss: 0.052874
Epoch 9/100, train_sqrt_loss: 0.028712, test_sqrt_loss: 0.032497
Epoch 10/100, train_sqrt_loss: 0.027640, test_sqrt_loss: 0.050439
Epoch 11/100, train_sqrt_loss: 0.028386, test_sqrt_loss: 0.109287
Epoch 12/100, train_sqrt_loss: 0.029236, test_sqrt_loss: 0.043338
Epoch 13/100, train_sqrt_loss: 0.028455, test_sqrt_loss: 0.066147
Epoch 14/100, train_sqrt_loss: 0.029979, test_sqrt_loss: 0.071594
Epoch 15/100, train_sqrt_loss: 0.028847, test_sqrt_loss: 0.065497
Epoch 16/100, train_sqrt_loss: 0.031704, test_sqrt_loss: 0.078650
Epoch 17/100, train_sqrt_loss: 0.028069, test_sqrt_loss: 0.054677
Epoch 18/100, train_sqrt_loss: 0.028583, test_sqrt_loss: 0.048750
Epoch 19/100, train_sqrt_loss: 0.030158, test_sqrt_loss: 0.164658
Epoch 20/100, train_sqrt_loss: 0.028939, test_sqrt_loss: 0.085650
Epoch 21/100, train_sqrt_loss: 0.028018, test_sqrt_loss: 0.032870
Epoch 22/100, train_sqrt_loss: 0.028298, test_sqrt_loss: 0.035849
Epoch 23/100, train_sqrt_loss: 0.027753, test_sqrt_loss: 0.037845
Epoch 24/100, train_sqrt_loss: 0.027653, test_sqrt_loss: 0.032943
Epoch 25/100, train_sqrt_loss: 0.027848, test_sqrt_loss: 0.035102
Epoch 26/100, train_sqrt_loss: 0.027993, test_sqrt_loss: 0.061185
Epoch 27/100, train_sqrt_loss: 0.028395, test_sqrt_loss: 0.152741
Epoch 28/100, train_sqrt_loss: 0.034167, test_sqrt_loss: 0.106821
Epoch 29/100, train_sqrt_loss: 0.030102, test_sqrt_loss: 0.054439
Epoch 30/100, train_sqrt_loss: 0.029096, test_sqrt_loss: 0.037906
Epoch 31/100, train_sqrt_loss: 0.039885, test_sqrt_loss: 0.149607
Epoch 32/100, train_sqrt_loss: 0.035499, test_sqrt_loss: 0.100248
Epoch 33/100, train_sqrt_loss: 0.028440, test_sqrt_loss: 0.037420
Epoch 34/100, train_sqrt_loss: 0.027291, test_sqrt_loss: 0.043327
Epoch 35/100, train_sqrt_loss: 0.027455, test_sqrt_loss: 0.032011
Epoch 36/100, train_sqrt_loss: 0.027288, test_sqrt_loss: 0.037328
Epoch 37/100, train_sqrt_loss: 0.027901, test_sqrt_loss: 0.051904
Epoch 38/100, train_sqrt_loss: 0.027390, test_sqrt_loss: 0.043925
Epoch 39/100, train_sqrt_loss: 0.027564, test_sqrt_loss: 0.105978
Epoch 40/100, train_sqrt_loss: 0.027623, test_sqrt_loss: 0.046154
Epoch 41/100, train_sqrt_loss: 0.027772, test_sqrt_loss: 0.043555
Epoch 42/100, train_sqrt_loss: 0.027713, test_sqrt_loss: 0.033534
Epoch 43/100, train_sqrt_loss: 0.027561, test_sqrt_loss: 0.050222
Epoch 44/100, train_sqrt_loss: 0.027712, test_sqrt_loss: 0.032388
Epoch 45/100, train_sqrt_loss: 0.029862, test_sqrt_loss: 0.166836
Epoch 46/100, train_sqrt_loss: 0.032574, test_sqrt_loss: 0.169777
Epoch 47/100, train_sqrt_loss: 0.030928, test_sqrt_loss: 0.035122
Epoch 48/100, train_sqrt_loss: 0.029276, test_sqrt_loss: 0.089354
Epoch 49/100, train_sqrt_loss: 0.027512, test_sqrt_loss: 0.048094
Epoch 50/100, train_sqrt_loss: 0.029484, test_sqrt_loss: 0.287456
Epoch 51/100, train_sqrt_loss: 0.031337, test_sqrt_loss: 0.070161
Epoch 52/100, train_sqrt_loss: 0.028601, test_sqrt_loss: 0.072166
Epoch 53/100, train_sqrt_loss: 0.027521, test_sqrt_loss: 0.032958
Epoch 54/100, train_sqrt_loss: 0.027613, test_sqrt_loss: 0.031014
Epoch 55/100, train_sqrt_loss: 0.027630, test_sqrt_loss: 0.052778
Epoch 56/100, train_sqrt_loss: 0.027539, test_sqrt_loss: 0.033760
Epoch 57/100, train_sqrt_loss: 0.027470, test_sqrt_loss: 0.053962
Epoch 58/100, train_sqrt_loss: 0.027489, test_sqrt_loss: 0.073800
Epoch 59/100, train_sqrt_loss: 0.028057, test_sqrt_loss: 0.043286
Epoch 60/100, train_sqrt_loss: 0.027676, test_sqrt_loss: 0.035950
Epoch 61/100, train_sqrt_loss: 0.027776, test_sqrt_loss: 0.032838
Epoch 62/100, train_sqrt_loss: 0.027636, test_sqrt_loss: 0.112565
Epoch 63/100, train_sqrt_loss: 0.028140, test_sqrt_loss: 0.100412
Epoch 64/100, train_sqrt_loss: 0.027854, test_sqrt_loss: 0.034662
Epoch 65/100, train_sqrt_loss: 0.027359, test_sqrt_loss: 0.032573
Epoch 66/100, train_sqrt_loss: 0.027568, test_sqrt_loss: 0.094413
Epoch 67/100, train_sqrt_loss: 0.029285, test_sqrt_loss: 0.125567
Epoch 68/100, train_sqrt_loss: 0.030611, test_sqrt_loss: 0.174543
Epoch 69/100, train_sqrt_loss: 0.031890, test_sqrt_loss: 0.104049
Epoch 70/100, train_sqrt_loss: 0.027892, test_sqrt_loss: 0.064630
Epoch 71/100, train_sqrt_loss: 0.027823, test_sqrt_loss: 0.036612
Epoch 72/100, train_sqrt_loss: 0.027889, test_sqrt_loss: 0.068651
Epoch 73/100, train_sqrt_loss: 0.027833, test_sqrt_loss: 0.053359
Epoch 74/100, train_sqrt_loss: 0.027352, test_sqrt_loss: 0.063691
Epoch 75/100, train_sqrt_loss: 0.027489, test_sqrt_loss: 0.034023
Epoch 76/100, train_sqrt_loss: 0.027520, test_sqrt_loss: 0.046083
