train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.281374, test_sqrt_loss: 0.032454
Epoch 2/100, train_sqrt_loss: 0.078165, test_sqrt_loss: 0.037593
Epoch 3/100, train_sqrt_loss: 0.052723, test_sqrt_loss: 0.037669
Epoch 4/100, train_sqrt_loss: 0.036335, test_sqrt_loss: 0.041392
Epoch 5/100, train_sqrt_loss: 0.029207, test_sqrt_loss: 0.034230
Epoch 6/100, train_sqrt_loss: 0.029418, test_sqrt_loss: 0.050799
Epoch 7/100, train_sqrt_loss: 0.028001, test_sqrt_loss: 0.035912
Epoch 8/100, train_sqrt_loss: 0.028366, test_sqrt_loss: 0.045263
Epoch 9/100, train_sqrt_loss: 0.028422, test_sqrt_loss: 0.033189
Epoch 10/100, train_sqrt_loss: 0.027491, test_sqrt_loss: 0.042128
Epoch 11/100, train_sqrt_loss: 0.027999, test_sqrt_loss: 0.079446
Epoch 12/100, train_sqrt_loss: 0.028588, test_sqrt_loss: 0.030828
Epoch 13/100, train_sqrt_loss: 0.027971, test_sqrt_loss: 0.058376
Epoch 14/100, train_sqrt_loss: 0.029325, test_sqrt_loss: 0.047089
Epoch 15/100, train_sqrt_loss: 0.029481, test_sqrt_loss: 0.055425
Epoch 16/100, train_sqrt_loss: 0.032908, test_sqrt_loss: 0.098701
Epoch 17/100, train_sqrt_loss: 0.028599, test_sqrt_loss: 0.046536
Epoch 18/100, train_sqrt_loss: 0.028966, test_sqrt_loss: 0.041820
Epoch 19/100, train_sqrt_loss: 0.030500, test_sqrt_loss: 0.088969
Epoch 20/100, train_sqrt_loss: 0.028642, test_sqrt_loss: 0.050124
Epoch 21/100, train_sqrt_loss: 0.027718, test_sqrt_loss: 0.036395
Epoch 22/100, train_sqrt_loss: 0.028292, test_sqrt_loss: 0.033859
Epoch 23/100, train_sqrt_loss: 0.027789, test_sqrt_loss: 0.035587
Epoch 24/100, train_sqrt_loss: 0.027663, test_sqrt_loss: 0.033069
Epoch 25/100, train_sqrt_loss: 0.027987, test_sqrt_loss: 0.035283
Epoch 26/100, train_sqrt_loss: 0.028586, test_sqrt_loss: 0.046101
Epoch 27/100, train_sqrt_loss: 0.028378, test_sqrt_loss: 0.076688
Epoch 28/100, train_sqrt_loss: 0.032208, test_sqrt_loss: 0.066363
Epoch 29/100, train_sqrt_loss: 0.031815, test_sqrt_loss: 0.049632
Epoch 30/100, train_sqrt_loss: 0.028064, test_sqrt_loss: 0.040818
Epoch 31/100, train_sqrt_loss: 0.030712, test_sqrt_loss: 0.055004
Epoch 32/100, train_sqrt_loss: 0.031149, test_sqrt_loss: 0.043613
Epoch 33/100, train_sqrt_loss: 0.027633, test_sqrt_loss: 0.035489
Epoch 34/100, train_sqrt_loss: 0.027777, test_sqrt_loss: 0.037352
Epoch 35/100, train_sqrt_loss: 0.027607, test_sqrt_loss: 0.033535
Epoch 36/100, train_sqrt_loss: 0.027326, test_sqrt_loss: 0.037046
Epoch 37/100, train_sqrt_loss: 0.028045, test_sqrt_loss: 0.046870
Epoch 38/100, train_sqrt_loss: 0.027434, test_sqrt_loss: 0.036234
Epoch 39/100, train_sqrt_loss: 0.027554, test_sqrt_loss: 0.050316
Epoch 40/100, train_sqrt_loss: 0.027481, test_sqrt_loss: 0.035840
Epoch 41/100, train_sqrt_loss: 0.028146, test_sqrt_loss: 0.037628
Epoch 42/100, train_sqrt_loss: 0.027876, test_sqrt_loss: 0.034571
Epoch 43/100, train_sqrt_loss: 0.027647, test_sqrt_loss: 0.042640
Epoch 44/100, train_sqrt_loss: 0.028200, test_sqrt_loss: 0.037047
Epoch 45/100, train_sqrt_loss: 0.037260, test_sqrt_loss: 0.166632
Epoch 46/100, train_sqrt_loss: 0.045399, test_sqrt_loss: 0.181259
Epoch 47/100, train_sqrt_loss: 0.033872, test_sqrt_loss: 0.120265
Epoch 48/100, train_sqrt_loss: 0.027815, test_sqrt_loss: 0.063971
Epoch 49/100, train_sqrt_loss: 0.027612, test_sqrt_loss: 0.032153
Epoch 50/100, train_sqrt_loss: 0.027656, test_sqrt_loss: 0.033459
Epoch 51/100, train_sqrt_loss: 0.027508, test_sqrt_loss: 0.038631
Epoch 52/100, train_sqrt_loss: 0.027553, test_sqrt_loss: 0.035515
Epoch 53/100, train_sqrt_loss: 0.027990, test_sqrt_loss: 0.036131
Epoch 54/100, train_sqrt_loss: 0.027392, test_sqrt_loss: 0.035316
Epoch 55/100, train_sqrt_loss: 0.027603, test_sqrt_loss: 0.038488
Epoch 56/100, train_sqrt_loss: 0.027554, test_sqrt_loss: 0.035311
Epoch 57/100, train_sqrt_loss: 0.027475, test_sqrt_loss: 0.038763
Epoch 58/100, train_sqrt_loss: 0.027409, test_sqrt_loss: 0.038146
Epoch 59/100, train_sqrt_loss: 0.028271, test_sqrt_loss: 0.040604
Epoch 60/100, train_sqrt_loss: 0.027784, test_sqrt_loss: 0.036856
Epoch 61/100, train_sqrt_loss: 0.027785, test_sqrt_loss: 0.032317
Epoch 62/100, train_sqrt_loss: 0.027377, test_sqrt_loss: 0.033881
Epoch 63/100, train_sqrt_loss: 0.027482, test_sqrt_loss: 0.032938
Epoch 64/100, train_sqrt_loss: 0.027444, test_sqrt_loss: 0.033526
Epoch 65/100, train_sqrt_loss: 0.027284, test_sqrt_loss: 0.032315
Epoch 66/100, train_sqrt_loss: 0.027600, test_sqrt_loss: 0.037310
Epoch 67/100, train_sqrt_loss: 0.028500, test_sqrt_loss: 0.034459
Epoch 68/100, train_sqrt_loss: 0.031880, test_sqrt_loss: 0.038215
Epoch 69/100, train_sqrt_loss: 0.033986, test_sqrt_loss: 0.124146
Epoch 70/100, train_sqrt_loss: 0.029762, test_sqrt_loss: 0.061458
Epoch 71/100, train_sqrt_loss: 0.028043, test_sqrt_loss: 0.033880
Epoch 72/100, train_sqrt_loss: 0.027954, test_sqrt_loss: 0.039798
Epoch 73/100, train_sqrt_loss: 0.027886, test_sqrt_loss: 0.035516
Epoch 74/100, train_sqrt_loss: 0.027365, test_sqrt_loss: 0.041034
Epoch 75/100, train_sqrt_loss: 0.027402, test_sqrt_loss: 0.031571
Epoch 76/100, train_sqrt_loss: 0.027433, test_sqrt_loss: 0.032623
Epoch 77/100, train_sqrt_loss: 0.027527, test_sqrt_loss: 0.035001
Epoch 78/100, train_sqrt_loss: 0.027540, test_sqrt_loss: 0.032577
Epoch 79/100, train_sqrt_loss: 0.027363, test_sqrt_loss: 0.054898
Epoch 80/100, train_sqrt_loss: 0.027595, test_sqrt_loss: 0.055117
Epoch 81/100, train_sqrt_loss: 0.027749, test_sqrt_loss: 0.036842
Epoch 82/100, train_sqrt_loss: 0.027334, test_sqrt_loss: 0.036225
Epoch 83/100, train_sqrt_loss: 0.027620, test_sqrt_loss: 0.035711
Epoch 84/100, train_sqrt_loss: 0.027293, test_sqrt_loss: 0.042058
Epoch 85/100, train_sqrt_loss: 0.027487, test_sqrt_loss: 0.037673
Epoch 86/100, train_sqrt_loss: 0.027601, test_sqrt_loss: 0.034523
Epoch 87/100, train_sqrt_loss: 0.027537, test_sqrt_loss: 0.032760
Epoch 88/100, train_sqrt_loss: 0.027545, test_sqrt_loss: 0.037987
Epoch 89/100, train_sqrt_loss: 0.027524, test_sqrt_loss: 0.038700
Epoch 90/100, train_sqrt_loss: 0.027593, test_sqrt_loss: 0.056054
Epoch 91/100, train_sqrt_loss: 0.027942, test_sqrt_loss: 0.032594
Epoch 92/100, train_sqrt_loss: 0.027667, test_sqrt_loss: 0.031465
Epoch 93/100, train_sqrt_loss: 0.027563, test_sqrt_loss: 0.034373
Epoch 94/100, train_sqrt_loss: 0.027744, test_sqrt_loss: 0.041082
Epoch 95/100, train_sqrt_loss: 0.027545, test_sqrt_loss: 0.041264
Epoch 96/100, train_sqrt_loss: 0.028300, test_sqrt_loss: 0.048616
Epoch 97/100, train_sqrt_loss: 0.027624, test_sqrt_loss: 0.038101
Epoch 98/100, train_sqrt_loss: 0.027263, test_sqrt_loss: 0.052042
Epoch 99/100, train_sqrt_loss: 0.027756, test_sqrt_loss: 0.033130
Epoch 100/100, train_sqrt_loss: 0.028103, test_sqrt_loss: 0.069315
