train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.301208, test_sqrt_loss: 0.032466
Epoch 2/100, train_sqrt_loss: 0.086831, test_sqrt_loss: 0.036810
Epoch 3/100, train_sqrt_loss: 0.057429, test_sqrt_loss: 0.039894
Epoch 4/100, train_sqrt_loss: 0.038640, test_sqrt_loss: 0.043499
Epoch 5/100, train_sqrt_loss: 0.030091, test_sqrt_loss: 0.033836
Epoch 6/100, train_sqrt_loss: 0.028872, test_sqrt_loss: 0.038467
Epoch 7/100, train_sqrt_loss: 0.027601, test_sqrt_loss: 0.035174
Epoch 8/100, train_sqrt_loss: 0.028059, test_sqrt_loss: 0.039330
Epoch 9/100, train_sqrt_loss: 0.027993, test_sqrt_loss: 0.033906
Epoch 10/100, train_sqrt_loss: 0.027497, test_sqrt_loss: 0.037046
Epoch 11/100, train_sqrt_loss: 0.027505, test_sqrt_loss: 0.053753
Epoch 12/100, train_sqrt_loss: 0.027872, test_sqrt_loss: 0.030039
Epoch 13/100, train_sqrt_loss: 0.027808, test_sqrt_loss: 0.057308
Epoch 14/100, train_sqrt_loss: 0.029258, test_sqrt_loss: 0.040717
Epoch 15/100, train_sqrt_loss: 0.030558, test_sqrt_loss: 0.058318
Epoch 16/100, train_sqrt_loss: 0.033253, test_sqrt_loss: 0.129220
Epoch 17/100, train_sqrt_loss: 0.029743, test_sqrt_loss: 0.033578
Epoch 18/100, train_sqrt_loss: 0.028572, test_sqrt_loss: 0.039967
Epoch 19/100, train_sqrt_loss: 0.028735, test_sqrt_loss: 0.055487
Epoch 20/100, train_sqrt_loss: 0.027936, test_sqrt_loss: 0.035428
Epoch 21/100, train_sqrt_loss: 0.027975, test_sqrt_loss: 0.050986
Epoch 22/100, train_sqrt_loss: 0.028405, test_sqrt_loss: 0.033948
Epoch 23/100, train_sqrt_loss: 0.027905, test_sqrt_loss: 0.036488
Epoch 24/100, train_sqrt_loss: 0.027669, test_sqrt_loss: 0.033172
Epoch 25/100, train_sqrt_loss: 0.027969, test_sqrt_loss: 0.034546
Epoch 26/100, train_sqrt_loss: 0.028635, test_sqrt_loss: 0.040924
Epoch 27/100, train_sqrt_loss: 0.028200, test_sqrt_loss: 0.057645
Epoch 28/100, train_sqrt_loss: 0.029705, test_sqrt_loss: 0.055424
Epoch 29/100, train_sqrt_loss: 0.031112, test_sqrt_loss: 0.041041
Epoch 30/100, train_sqrt_loss: 0.027699, test_sqrt_loss: 0.039499
Epoch 31/100, train_sqrt_loss: 0.027452, test_sqrt_loss: 0.035477
Epoch 32/100, train_sqrt_loss: 0.029769, test_sqrt_loss: 0.039327
Epoch 33/100, train_sqrt_loss: 0.027873, test_sqrt_loss: 0.038737
Epoch 34/100, train_sqrt_loss: 0.028766, test_sqrt_loss: 0.039847
Epoch 35/100, train_sqrt_loss: 0.027892, test_sqrt_loss: 0.037794
Epoch 36/100, train_sqrt_loss: 0.027311, test_sqrt_loss: 0.037074
Epoch 37/100, train_sqrt_loss: 0.028111, test_sqrt_loss: 0.045984
Epoch 38/100, train_sqrt_loss: 0.027506, test_sqrt_loss: 0.036856
Epoch 39/100, train_sqrt_loss: 0.027543, test_sqrt_loss: 0.052010
Epoch 40/100, train_sqrt_loss: 0.027427, test_sqrt_loss: 0.038276
Epoch 41/100, train_sqrt_loss: 0.028185, test_sqrt_loss: 0.037141
Epoch 42/100, train_sqrt_loss: 0.027922, test_sqrt_loss: 0.036203
Epoch 43/100, train_sqrt_loss: 0.027717, test_sqrt_loss: 0.042002
Epoch 44/100, train_sqrt_loss: 0.028216, test_sqrt_loss: 0.037438
Epoch 45/100, train_sqrt_loss: 0.037197, test_sqrt_loss: 0.144536
Epoch 46/100, train_sqrt_loss: 0.042628, test_sqrt_loss: 0.139936
Epoch 47/100, train_sqrt_loss: 0.031368, test_sqrt_loss: 0.066694
Epoch 48/100, train_sqrt_loss: 0.027985, test_sqrt_loss: 0.043467
Epoch 49/100, train_sqrt_loss: 0.027876, test_sqrt_loss: 0.032904
Epoch 50/100, train_sqrt_loss: 0.027576, test_sqrt_loss: 0.034155
Epoch 51/100, train_sqrt_loss: 0.027520, test_sqrt_loss: 0.039939
Epoch 52/100, train_sqrt_loss: 0.027547, test_sqrt_loss: 0.035929
Epoch 53/100, train_sqrt_loss: 0.027944, test_sqrt_loss: 0.034356
Epoch 54/100, train_sqrt_loss: 0.027376, test_sqrt_loss: 0.033252
Epoch 55/100, train_sqrt_loss: 0.027605, test_sqrt_loss: 0.038450
Epoch 56/100, train_sqrt_loss: 0.027621, test_sqrt_loss: 0.035469
Epoch 57/100, train_sqrt_loss: 0.027470, test_sqrt_loss: 0.038960
Epoch 58/100, train_sqrt_loss: 0.027410, test_sqrt_loss: 0.039628
Epoch 59/100, train_sqrt_loss: 0.028283, test_sqrt_loss: 0.043355
Epoch 60/100, train_sqrt_loss: 0.027877, test_sqrt_loss: 0.037239
Epoch 61/100, train_sqrt_loss: 0.027796, test_sqrt_loss: 0.032195
Epoch 62/100, train_sqrt_loss: 0.027390, test_sqrt_loss: 0.034440
Epoch 63/100, train_sqrt_loss: 0.027502, test_sqrt_loss: 0.032240
Epoch 64/100, train_sqrt_loss: 0.027456, test_sqrt_loss: 0.034498
Epoch 65/100, train_sqrt_loss: 0.027340, test_sqrt_loss: 0.032437
Epoch 66/100, train_sqrt_loss: 0.027639, test_sqrt_loss: 0.038319
Epoch 67/100, train_sqrt_loss: 0.028702, test_sqrt_loss: 0.034198
Epoch 68/100, train_sqrt_loss: 0.032742, test_sqrt_loss: 0.038450
Epoch 69/100, train_sqrt_loss: 0.033945, test_sqrt_loss: 0.153273
Epoch 70/100, train_sqrt_loss: 0.029485, test_sqrt_loss: 0.035034
Epoch 71/100, train_sqrt_loss: 0.028678, test_sqrt_loss: 0.039517
Epoch 72/100, train_sqrt_loss: 0.028229, test_sqrt_loss: 0.038464
Epoch 73/100, train_sqrt_loss: 0.027982, test_sqrt_loss: 0.037261
Epoch 74/100, train_sqrt_loss: 0.027443, test_sqrt_loss: 0.053643
Epoch 75/100, train_sqrt_loss: 0.027431, test_sqrt_loss: 0.031247
Epoch 76/100, train_sqrt_loss: 0.027436, test_sqrt_loss: 0.033843
Epoch 77/100, train_sqrt_loss: 0.027544, test_sqrt_loss: 0.038189
Epoch 78/100, train_sqrt_loss: 0.027538, test_sqrt_loss: 0.032554
Epoch 79/100, train_sqrt_loss: 0.027323, test_sqrt_loss: 0.076048
Epoch 80/100, train_sqrt_loss: 0.027611, test_sqrt_loss: 0.076339
Epoch 81/100, train_sqrt_loss: 0.027750, test_sqrt_loss: 0.038828
Epoch 82/100, train_sqrt_loss: 0.027369, test_sqrt_loss: 0.038033
Epoch 83/100, train_sqrt_loss: 0.027627, test_sqrt_loss: 0.037247
Epoch 84/100, train_sqrt_loss: 0.027294, test_sqrt_loss: 0.047961
Epoch 85/100, train_sqrt_loss: 0.027497, test_sqrt_loss: 0.042578
Epoch 86/100, train_sqrt_loss: 0.027660, test_sqrt_loss: 0.037919
Epoch 87/100, train_sqrt_loss: 0.027568, test_sqrt_loss: 0.033774
Epoch 88/100, train_sqrt_loss: 0.027508, test_sqrt_loss: 0.043277
Epoch 89/100, train_sqrt_loss: 0.027516, test_sqrt_loss: 0.041970
Epoch 90/100, train_sqrt_loss: 0.027543, test_sqrt_loss: 0.068841
Epoch 91/100, train_sqrt_loss: 0.027958, test_sqrt_loss: 0.034269
Epoch 92/100, train_sqrt_loss: 0.027690, test_sqrt_loss: 0.032262
Epoch 93/100, train_sqrt_loss: 0.027581, test_sqrt_loss: 0.036846
Epoch 94/100, train_sqrt_loss: 0.027725, test_sqrt_loss: 0.048212
Epoch 95/100, train_sqrt_loss: 0.027544, test_sqrt_loss: 0.044777
Epoch 96/100, train_sqrt_loss: 0.028282, test_sqrt_loss: 0.060765
Epoch 97/100, train_sqrt_loss: 0.027628, test_sqrt_loss: 0.046420
Epoch 98/100, train_sqrt_loss: 0.027263, test_sqrt_loss: 0.069990
Epoch 99/100, train_sqrt_loss: 0.027809, test_sqrt_loss: 0.034869
