train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.219398, test_sqrt_loss: 0.034970
Epoch 2/100, train_sqrt_loss: 0.069172, test_sqrt_loss: 0.033231
Epoch 3/100, train_sqrt_loss: 0.062173, test_sqrt_loss: 0.039779
Epoch 4/100, train_sqrt_loss: 0.036097, test_sqrt_loss: 0.067037
Epoch 5/100, train_sqrt_loss: 0.031315, test_sqrt_loss: 0.059883
Epoch 6/100, train_sqrt_loss: 0.028781, test_sqrt_loss: 0.030931
Epoch 7/100, train_sqrt_loss: 0.027684, test_sqrt_loss: 0.032880
Epoch 8/100, train_sqrt_loss: 0.027934, test_sqrt_loss: 0.040288
Epoch 9/100, train_sqrt_loss: 0.027639, test_sqrt_loss: 0.060352
Epoch 10/100, train_sqrt_loss: 0.028680, test_sqrt_loss: 0.060773
Epoch 11/100, train_sqrt_loss: 0.028171, test_sqrt_loss: 0.046707
Epoch 12/100, train_sqrt_loss: 0.028093, test_sqrt_loss: 0.047568
Epoch 13/100, train_sqrt_loss: 0.030241, test_sqrt_loss: 0.124735
Epoch 14/100, train_sqrt_loss: 0.034204, test_sqrt_loss: 0.154979
Epoch 15/100, train_sqrt_loss: 0.029416, test_sqrt_loss: 0.075761
Epoch 16/100, train_sqrt_loss: 0.032732, test_sqrt_loss: 0.046765
Epoch 17/100, train_sqrt_loss: 0.029306, test_sqrt_loss: 0.050354
Epoch 18/100, train_sqrt_loss: 0.028797, test_sqrt_loss: 0.041026
Epoch 19/100, train_sqrt_loss: 0.030591, test_sqrt_loss: 0.071637
Epoch 20/100, train_sqrt_loss: 0.028620, test_sqrt_loss: 0.047124
Epoch 21/100, train_sqrt_loss: 0.028381, test_sqrt_loss: 0.060932
Epoch 22/100, train_sqrt_loss: 0.028280, test_sqrt_loss: 0.034891
Epoch 23/100, train_sqrt_loss: 0.027978, test_sqrt_loss: 0.082767
Epoch 24/100, train_sqrt_loss: 0.029909, test_sqrt_loss: 0.050744
Epoch 25/100, train_sqrt_loss: 0.045801, test_sqrt_loss: 0.132015
Epoch 26/100, train_sqrt_loss: 0.079575, test_sqrt_loss: 0.087433
Epoch 27/100, train_sqrt_loss: 0.030901, test_sqrt_loss: 0.213361
Epoch 28/100, train_sqrt_loss: 0.027889, test_sqrt_loss: 0.053513
Epoch 29/100, train_sqrt_loss: 0.030777, test_sqrt_loss: 0.077607
Epoch 30/100, train_sqrt_loss: 0.027976, test_sqrt_loss: 0.050545
Epoch 31/100, train_sqrt_loss: 0.027831, test_sqrt_loss: 0.034165
Epoch 32/100, train_sqrt_loss: 0.029471, test_sqrt_loss: 0.043573
Epoch 33/100, train_sqrt_loss: 0.027634, test_sqrt_loss: 0.038999
Epoch 34/100, train_sqrt_loss: 0.027345, test_sqrt_loss: 0.040840
Epoch 35/100, train_sqrt_loss: 0.027504, test_sqrt_loss: 0.033571
Epoch 36/100, train_sqrt_loss: 0.027247, test_sqrt_loss: 0.041486
Epoch 37/100, train_sqrt_loss: 0.027510, test_sqrt_loss: 0.043959
Epoch 38/100, train_sqrt_loss: 0.027226, test_sqrt_loss: 0.043121
Epoch 39/100, train_sqrt_loss: 0.027712, test_sqrt_loss: 0.084467
Epoch 40/100, train_sqrt_loss: 0.027897, test_sqrt_loss: 0.037565
Epoch 41/100, train_sqrt_loss: 0.029002, test_sqrt_loss: 0.086802
Epoch 42/100, train_sqrt_loss: 0.028198, test_sqrt_loss: 0.035874
Epoch 43/100, train_sqrt_loss: 0.027578, test_sqrt_loss: 0.041742
Epoch 44/100, train_sqrt_loss: 0.027451, test_sqrt_loss: 0.032146
Epoch 45/100, train_sqrt_loss: 0.027368, test_sqrt_loss: 0.033041
Epoch 46/100, train_sqrt_loss: 0.027359, test_sqrt_loss: 0.039309
Epoch 47/100, train_sqrt_loss: 0.027579, test_sqrt_loss: 0.035497
Epoch 48/100, train_sqrt_loss: 0.027474, test_sqrt_loss: 0.042042
Epoch 49/100, train_sqrt_loss: 0.027392, test_sqrt_loss: 0.042265
Epoch 50/100, train_sqrt_loss: 0.028518, test_sqrt_loss: 0.101555
Epoch 51/100, train_sqrt_loss: 0.028544, test_sqrt_loss: 0.061753
Epoch 52/100, train_sqrt_loss: 0.027490, test_sqrt_loss: 0.037968
Epoch 53/100, train_sqrt_loss: 0.027711, test_sqrt_loss: 0.040160
Epoch 54/100, train_sqrt_loss: 0.027326, test_sqrt_loss: 0.033479
Epoch 55/100, train_sqrt_loss: 0.027707, test_sqrt_loss: 0.041442
Epoch 56/100, train_sqrt_loss: 0.027381, test_sqrt_loss: 0.034130
Epoch 57/100, train_sqrt_loss: 0.027484, test_sqrt_loss: 0.052013
Epoch 58/100, train_sqrt_loss: 0.027641, test_sqrt_loss: 0.054058
Epoch 59/100, train_sqrt_loss: 0.028860, test_sqrt_loss: 0.051735
Epoch 60/100, train_sqrt_loss: 0.029177, test_sqrt_loss: 0.035269
Epoch 61/100, train_sqrt_loss: 0.027772, test_sqrt_loss: 0.043289
Epoch 62/100, train_sqrt_loss: 0.027624, test_sqrt_loss: 0.047019
Epoch 63/100, train_sqrt_loss: 0.027704, test_sqrt_loss: 0.034769
Epoch 64/100, train_sqrt_loss: 0.027480, test_sqrt_loss: 0.038848
Epoch 65/100, train_sqrt_loss: 0.027501, test_sqrt_loss: 0.032912
Epoch 66/100, train_sqrt_loss: 0.027702, test_sqrt_loss: 0.058468
Epoch 67/100, train_sqrt_loss: 0.031389, test_sqrt_loss: 0.046505
Epoch 68/100, train_sqrt_loss: 0.038516, test_sqrt_loss: 0.105442
Epoch 69/100, train_sqrt_loss: 0.042423, test_sqrt_loss: 0.204770
Epoch 70/100, train_sqrt_loss: 0.029978, test_sqrt_loss: 0.049633
Epoch 71/100, train_sqrt_loss: 0.028529, test_sqrt_loss: 0.061566
Epoch 72/100, train_sqrt_loss: 0.028029, test_sqrt_loss: 0.038959
Epoch 73/100, train_sqrt_loss: 0.027889, test_sqrt_loss: 0.037615
Epoch 74/100, train_sqrt_loss: 0.027296, test_sqrt_loss: 0.050196
Epoch 75/100, train_sqrt_loss: 0.027355, test_sqrt_loss: 0.032384
Epoch 76/100, train_sqrt_loss: 0.027426, test_sqrt_loss: 0.032596
Epoch 77/100, train_sqrt_loss: 0.027544, test_sqrt_loss: 0.032800
Epoch 78/100, train_sqrt_loss: 0.027506, test_sqrt_loss: 0.033336
Epoch 79/100, train_sqrt_loss: 0.027510, test_sqrt_loss: 0.054367
