train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.332255, test_sqrt_loss: 0.033376
Epoch 2/100, train_sqrt_loss: 0.104159, test_sqrt_loss: 0.033978
Epoch 3/100, train_sqrt_loss: 0.069822, test_sqrt_loss: 0.041371
Epoch 4/100, train_sqrt_loss: 0.045963, test_sqrt_loss: 0.044250
Epoch 5/100, train_sqrt_loss: 0.031942, test_sqrt_loss: 0.042173
Epoch 6/100, train_sqrt_loss: 0.028529, test_sqrt_loss: 0.036147
Epoch 7/100, train_sqrt_loss: 0.027792, test_sqrt_loss: 0.041913
Epoch 8/100, train_sqrt_loss: 0.028291, test_sqrt_loss: 0.037710
Epoch 9/100, train_sqrt_loss: 0.027629, test_sqrt_loss: 0.034904
Epoch 10/100, train_sqrt_loss: 0.027646, test_sqrt_loss: 0.049044
Epoch 11/100, train_sqrt_loss: 0.027577, test_sqrt_loss: 0.040013
Epoch 12/100, train_sqrt_loss: 0.027577, test_sqrt_loss: 0.030024
Epoch 13/100, train_sqrt_loss: 0.027643, test_sqrt_loss: 0.048244
Epoch 14/100, train_sqrt_loss: 0.028560, test_sqrt_loss: 0.041158
Epoch 15/100, train_sqrt_loss: 0.028642, test_sqrt_loss: 0.041731
Epoch 16/100, train_sqrt_loss: 0.028742, test_sqrt_loss: 0.085806
Epoch 17/100, train_sqrt_loss: 0.028779, test_sqrt_loss: 0.043902
Epoch 18/100, train_sqrt_loss: 0.027673, test_sqrt_loss: 0.049094
Epoch 19/100, train_sqrt_loss: 0.027640, test_sqrt_loss: 0.040798
Epoch 20/100, train_sqrt_loss: 0.027703, test_sqrt_loss: 0.033492
Epoch 21/100, train_sqrt_loss: 0.028182, test_sqrt_loss: 0.051233
Epoch 22/100, train_sqrt_loss: 0.028486, test_sqrt_loss: 0.034636
Epoch 23/100, train_sqrt_loss: 0.028245, test_sqrt_loss: 0.041911
Epoch 24/100, train_sqrt_loss: 0.027682, test_sqrt_loss: 0.033901
Epoch 25/100, train_sqrt_loss: 0.027663, test_sqrt_loss: 0.032558
Epoch 26/100, train_sqrt_loss: 0.027691, test_sqrt_loss: 0.036259
Epoch 27/100, train_sqrt_loss: 0.028167, test_sqrt_loss: 0.079186
Epoch 28/100, train_sqrt_loss: 0.029931, test_sqrt_loss: 0.093356
Epoch 29/100, train_sqrt_loss: 0.038695, test_sqrt_loss: 0.079304
Epoch 30/100, train_sqrt_loss: 0.028823, test_sqrt_loss: 0.041628
Epoch 31/100, train_sqrt_loss: 0.028687, test_sqrt_loss: 0.045054
Epoch 32/100, train_sqrt_loss: 0.029977, test_sqrt_loss: 0.038755
Epoch 33/100, train_sqrt_loss: 0.027640, test_sqrt_loss: 0.038522
Epoch 34/100, train_sqrt_loss: 0.027641, test_sqrt_loss: 0.045912
Epoch 35/100, train_sqrt_loss: 0.027896, test_sqrt_loss: 0.038501
Epoch 36/100, train_sqrt_loss: 0.027315, test_sqrt_loss: 0.037019
Epoch 37/100, train_sqrt_loss: 0.028185, test_sqrt_loss: 0.041681
Epoch 38/100, train_sqrt_loss: 0.027552, test_sqrt_loss: 0.034839
Epoch 39/100, train_sqrt_loss: 0.027419, test_sqrt_loss: 0.044161
Epoch 40/100, train_sqrt_loss: 0.027325, test_sqrt_loss: 0.054102
Epoch 41/100, train_sqrt_loss: 0.028890, test_sqrt_loss: 0.036040
Epoch 42/100, train_sqrt_loss: 0.027656, test_sqrt_loss: 0.033734
Epoch 43/100, train_sqrt_loss: 0.027537, test_sqrt_loss: 0.034371
Epoch 44/100, train_sqrt_loss: 0.027475, test_sqrt_loss: 0.033176
Epoch 45/100, train_sqrt_loss: 0.028040, test_sqrt_loss: 0.033230
Epoch 46/100, train_sqrt_loss: 0.027620, test_sqrt_loss: 0.042196
Epoch 47/100, train_sqrt_loss: 0.027989, test_sqrt_loss: 0.034484
Epoch 48/100, train_sqrt_loss: 0.027960, test_sqrt_loss: 0.042116
Epoch 49/100, train_sqrt_loss: 0.028209, test_sqrt_loss: 0.034448
Epoch 50/100, train_sqrt_loss: 0.027743, test_sqrt_loss: 0.036826
Epoch 51/100, train_sqrt_loss: 0.027516, test_sqrt_loss: 0.037587
Epoch 52/100, train_sqrt_loss: 0.027485, test_sqrt_loss: 0.034751
Epoch 53/100, train_sqrt_loss: 0.027802, test_sqrt_loss: 0.034295
Epoch 54/100, train_sqrt_loss: 0.027788, test_sqrt_loss: 0.034468
Epoch 55/100, train_sqrt_loss: 0.027845, test_sqrt_loss: 0.043481
Epoch 56/100, train_sqrt_loss: 0.027961, test_sqrt_loss: 0.034081
Epoch 57/100, train_sqrt_loss: 0.027527, test_sqrt_loss: 0.039951
Epoch 58/100, train_sqrt_loss: 0.027287, test_sqrt_loss: 0.034943
Epoch 59/100, train_sqrt_loss: 0.027973, test_sqrt_loss: 0.036465
Epoch 60/100, train_sqrt_loss: 0.027716, test_sqrt_loss: 0.035739
Epoch 61/100, train_sqrt_loss: 0.027912, test_sqrt_loss: 0.032185
Epoch 62/100, train_sqrt_loss: 0.027496, test_sqrt_loss: 0.033856
Epoch 63/100, train_sqrt_loss: 0.027694, test_sqrt_loss: 0.032329
Epoch 64/100, train_sqrt_loss: 0.027564, test_sqrt_loss: 0.034874
Epoch 65/100, train_sqrt_loss: 0.027454, test_sqrt_loss: 0.032550
Epoch 66/100, train_sqrt_loss: 0.027642, test_sqrt_loss: 0.040128
Epoch 67/100, train_sqrt_loss: 0.029268, test_sqrt_loss: 0.034246
Epoch 68/100, train_sqrt_loss: 0.036345, test_sqrt_loss: 0.089928
Epoch 69/100, train_sqrt_loss: 0.050807, test_sqrt_loss: 0.719216
Epoch 70/100, train_sqrt_loss: 0.034841, test_sqrt_loss: 0.104219
Epoch 71/100, train_sqrt_loss: 0.028933, test_sqrt_loss: 0.065562
Epoch 72/100, train_sqrt_loss: 0.029016, test_sqrt_loss: 0.052583
Epoch 73/100, train_sqrt_loss: 0.028242, test_sqrt_loss: 0.038256
Epoch 74/100, train_sqrt_loss: 0.027712, test_sqrt_loss: 0.045388
Epoch 75/100, train_sqrt_loss: 0.027622, test_sqrt_loss: 0.031605
Epoch 76/100, train_sqrt_loss: 0.027568, test_sqrt_loss: 0.032720
Epoch 77/100, train_sqrt_loss: 0.027565, test_sqrt_loss: 0.032905
Epoch 78/100, train_sqrt_loss: 0.027489, test_sqrt_loss: 0.032452
Epoch 79/100, train_sqrt_loss: 0.027359, test_sqrt_loss: 0.044415
Epoch 80/100, train_sqrt_loss: 0.027666, test_sqrt_loss: 0.037684
Epoch 81/100, train_sqrt_loss: 0.027722, test_sqrt_loss: 0.038687
Epoch 82/100, train_sqrt_loss: 0.027381, test_sqrt_loss: 0.035777
Epoch 83/100, train_sqrt_loss: 0.027695, test_sqrt_loss: 0.038385
Epoch 84/100, train_sqrt_loss: 0.027368, test_sqrt_loss: 0.038947
Epoch 85/100, train_sqrt_loss: 0.027499, test_sqrt_loss: 0.035249
Epoch 86/100, train_sqrt_loss: 0.027621, test_sqrt_loss: 0.031635
Epoch 87/100, train_sqrt_loss: 0.027512, test_sqrt_loss: 0.031585
Epoch 88/100, train_sqrt_loss: 0.027525, test_sqrt_loss: 0.032463
Epoch 89/100, train_sqrt_loss: 0.027510, test_sqrt_loss: 0.036594
Epoch 90/100, train_sqrt_loss: 0.027763, test_sqrt_loss: 0.049829
Epoch 91/100, train_sqrt_loss: 0.027867, test_sqrt_loss: 0.032547
Epoch 92/100, train_sqrt_loss: 0.027682, test_sqrt_loss: 0.031661
Epoch 93/100, train_sqrt_loss: 0.027579, test_sqrt_loss: 0.033388
Epoch 94/100, train_sqrt_loss: 0.027718, test_sqrt_loss: 0.034732
Epoch 95/100, train_sqrt_loss: 0.027516, test_sqrt_loss: 0.037339
Epoch 96/100, train_sqrt_loss: 0.028324, test_sqrt_loss: 0.036893
Epoch 97/100, train_sqrt_loss: 0.027577, test_sqrt_loss: 0.031293
Epoch 98/100, train_sqrt_loss: 0.027293, test_sqrt_loss: 0.038286
Epoch 99/100, train_sqrt_loss: 0.027562, test_sqrt_loss: 0.033140
Epoch 100/100, train_sqrt_loss: 0.027869, test_sqrt_loss: 0.033628
