train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.094636, test_sqrt_loss: 0.034024
Epoch 2/100, train_sqrt_loss: 0.042875, test_sqrt_loss: 0.042108
Epoch 3/100, train_sqrt_loss: 0.032465, test_sqrt_loss: 0.034073
Epoch 4/100, train_sqrt_loss: 0.028273, test_sqrt_loss: 0.077214
Epoch 5/100, train_sqrt_loss: 0.029257, test_sqrt_loss: 0.077735
Epoch 6/100, train_sqrt_loss: 0.031706, test_sqrt_loss: 0.173538
Epoch 7/100, train_sqrt_loss: 0.048804, test_sqrt_loss: 1.883824
Epoch 8/100, train_sqrt_loss: 0.092094, test_sqrt_loss: 0.601270
Epoch 9/100, train_sqrt_loss: 0.041943, test_sqrt_loss: 0.388511
Epoch 10/100, train_sqrt_loss: 0.031718, test_sqrt_loss: 0.056497
Epoch 11/100, train_sqrt_loss: 0.032626, test_sqrt_loss: 0.274529
Epoch 12/100, train_sqrt_loss: 0.036760, test_sqrt_loss: 0.279230
Epoch 13/100, train_sqrt_loss: 0.044835, test_sqrt_loss: 0.381633
Epoch 14/100, train_sqrt_loss: 0.053197, test_sqrt_loss: 0.063364
Epoch 15/100, train_sqrt_loss: 0.034015, test_sqrt_loss: 0.285800
Epoch 16/100, train_sqrt_loss: 0.041064, test_sqrt_loss: 0.284454
Epoch 17/100, train_sqrt_loss: 0.031906, test_sqrt_loss: 0.097462
Epoch 18/100, train_sqrt_loss: 0.031918, test_sqrt_loss: 0.055544
Epoch 19/100, train_sqrt_loss: 0.034693, test_sqrt_loss: 0.209084
Epoch 20/100, train_sqrt_loss: 0.029354, test_sqrt_loss: 0.064126
Epoch 21/100, train_sqrt_loss: 0.027798, test_sqrt_loss: 0.056344
Epoch 22/100, train_sqrt_loss: 0.027666, test_sqrt_loss: 0.034016
Epoch 23/100, train_sqrt_loss: 0.027504, test_sqrt_loss: 0.035420
Epoch 24/100, train_sqrt_loss: 0.027540, test_sqrt_loss: 0.033439
Epoch 25/100, train_sqrt_loss: 0.027843, test_sqrt_loss: 0.032984
Epoch 26/100, train_sqrt_loss: 0.029224, test_sqrt_loss: 0.068056
Epoch 27/100, train_sqrt_loss: 0.028332, test_sqrt_loss: 0.099016
Epoch 28/100, train_sqrt_loss: 0.030450, test_sqrt_loss: 0.070181
Epoch 29/100, train_sqrt_loss: 0.027962, test_sqrt_loss: 0.040852
Epoch 30/100, train_sqrt_loss: 0.027675, test_sqrt_loss: 0.037568
Epoch 31/100, train_sqrt_loss: 0.028939, test_sqrt_loss: 0.110635
Epoch 32/100, train_sqrt_loss: 0.030525, test_sqrt_loss: 0.053958
Epoch 33/100, train_sqrt_loss: 0.027516, test_sqrt_loss: 0.041299
Epoch 34/100, train_sqrt_loss: 0.027830, test_sqrt_loss: 0.048389
