train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.240902, test_sqrt_loss: 0.076865
Epoch 2/100, train_sqrt_loss: 0.156618, test_sqrt_loss: 0.060249
Epoch 3/100, train_sqrt_loss: 0.097882, test_sqrt_loss: 0.071313
Epoch 4/100, train_sqrt_loss: 0.067702, test_sqrt_loss: 0.144923
Epoch 5/100, train_sqrt_loss: 0.046686, test_sqrt_loss: 0.132940
Epoch 6/100, train_sqrt_loss: 0.035867, test_sqrt_loss: 0.326211
Epoch 7/100, train_sqrt_loss: 0.031235, test_sqrt_loss: 0.212850
Epoch 8/100, train_sqrt_loss: 0.030024, test_sqrt_loss: 0.340291
Epoch 9/100, train_sqrt_loss: 0.028070, test_sqrt_loss: 0.172485
Epoch 10/100, train_sqrt_loss: 0.028058, test_sqrt_loss: 0.246153
Epoch 11/100, train_sqrt_loss: 0.027265, test_sqrt_loss: 0.042618
Epoch 12/100, train_sqrt_loss: 0.027357, test_sqrt_loss: 0.134700
Epoch 13/100, train_sqrt_loss: 0.027283, test_sqrt_loss: 0.090276
Epoch 14/100, train_sqrt_loss: 0.027358, test_sqrt_loss: 0.114529
Epoch 15/100, train_sqrt_loss: 0.027385, test_sqrt_loss: 0.135647
Epoch 16/100, train_sqrt_loss: 0.027514, test_sqrt_loss: 0.152668
Epoch 17/100, train_sqrt_loss: 0.027554, test_sqrt_loss: 0.169563
Epoch 18/100, train_sqrt_loss: 0.027705, test_sqrt_loss: 0.202930
Epoch 19/100, train_sqrt_loss: 0.027898, test_sqrt_loss: 0.239135
Epoch 20/100, train_sqrt_loss: 0.028151, test_sqrt_loss: 0.277758
Epoch 21/100, train_sqrt_loss: 0.028490, test_sqrt_loss: 0.328571
Epoch 22/100, train_sqrt_loss: 0.028955, test_sqrt_loss: 0.381088
Epoch 23/100, train_sqrt_loss: 0.029490, test_sqrt_loss: 0.428546
Epoch 24/100, train_sqrt_loss: 0.029969, test_sqrt_loss: 0.456032
