train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.158612, test_sqrt_loss: 0.039088
Epoch 2/100, train_sqrt_loss: 0.205813, test_sqrt_loss: 0.071367
Epoch 3/100, train_sqrt_loss: 0.096172, test_sqrt_loss: 0.118601
Epoch 4/100, train_sqrt_loss: 0.058545, test_sqrt_loss: 0.169837
Epoch 5/100, train_sqrt_loss: 0.046157, test_sqrt_loss: 0.175107
Epoch 6/100, train_sqrt_loss: 0.039584, test_sqrt_loss: 0.112035
Epoch 7/100, train_sqrt_loss: 0.037086, test_sqrt_loss: 0.173883
Epoch 8/100, train_sqrt_loss: 0.032581, test_sqrt_loss: 0.078708
Epoch 9/100, train_sqrt_loss: 0.032413, test_sqrt_loss: 0.139589
Epoch 10/100, train_sqrt_loss: 0.029461, test_sqrt_loss: 0.067186
Epoch 11/100, train_sqrt_loss: 0.030053, test_sqrt_loss: 0.121842
Epoch 12/100, train_sqrt_loss: 0.028049, test_sqrt_loss: 0.051868
Epoch 13/100, train_sqrt_loss: 0.028640, test_sqrt_loss: 0.102991
Epoch 14/100, train_sqrt_loss: 0.027456, test_sqrt_loss: 0.033829
Epoch 15/100, train_sqrt_loss: 0.027811, test_sqrt_loss: 0.078895
Epoch 16/100, train_sqrt_loss: 0.027333, test_sqrt_loss: 0.036322
Epoch 17/100, train_sqrt_loss: 0.027466, test_sqrt_loss: 0.061394
Epoch 18/100, train_sqrt_loss: 0.027400, test_sqrt_loss: 0.054476
Epoch 19/100, train_sqrt_loss: 0.027407, test_sqrt_loss: 0.056151
Epoch 20/100, train_sqrt_loss: 0.027460, test_sqrt_loss: 0.067698
Epoch 21/100, train_sqrt_loss: 0.027481, test_sqrt_loss: 0.063475
Epoch 22/100, train_sqrt_loss: 0.027541, test_sqrt_loss: 0.076270
Epoch 23/100, train_sqrt_loss: 0.027594, test_sqrt_loss: 0.075861
Epoch 24/100, train_sqrt_loss: 0.027657, test_sqrt_loss: 0.083943
Epoch 25/100, train_sqrt_loss: 0.027734, test_sqrt_loss: 0.088743
Epoch 26/100, train_sqrt_loss: 0.027837, test_sqrt_loss: 0.097042
Epoch 27/100, train_sqrt_loss: 0.027962, test_sqrt_loss: 0.105347
Epoch 28/100, train_sqrt_loss: 0.028099, test_sqrt_loss: 0.114270
Epoch 29/100, train_sqrt_loss: 0.028266, test_sqrt_loss: 0.122900
Epoch 30/100, train_sqrt_loss: 0.028478, test_sqrt_loss: 0.133025
Epoch 31/100, train_sqrt_loss: 0.028725, test_sqrt_loss: 0.145947
Epoch 32/100, train_sqrt_loss: 0.029015, test_sqrt_loss: 0.157684
Epoch 33/100, train_sqrt_loss: 0.029333, test_sqrt_loss: 0.171077
Epoch 34/100, train_sqrt_loss: 0.029655, test_sqrt_loss: 0.183285
Epoch 35/100, train_sqrt_loss: 0.029945, test_sqrt_loss: 0.192991
Epoch 36/100, train_sqrt_loss: 0.030194, test_sqrt_loss: 0.202141
Epoch 37/100, train_sqrt_loss: 0.030373, test_sqrt_loss: 0.208210
Epoch 38/100, train_sqrt_loss: 0.030477, test_sqrt_loss: 0.212345
Epoch 39/100, train_sqrt_loss: 0.030516, test_sqrt_loss: 0.214169
Epoch 40/100, train_sqrt_loss: 0.030510, test_sqrt_loss: 0.216174
Epoch 41/100, train_sqrt_loss: 0.030491, test_sqrt_loss: 0.215045
Epoch 42/100, train_sqrt_loss: 0.030476, test_sqrt_loss: 0.217506
Epoch 43/100, train_sqrt_loss: 0.030482, test_sqrt_loss: 0.217278
Epoch 44/100, train_sqrt_loss: 0.030476, test_sqrt_loss: 0.217118
Epoch 45/100, train_sqrt_loss: 0.030447, test_sqrt_loss: 0.217713
Epoch 46/100, train_sqrt_loss: 0.030410, test_sqrt_loss: 0.215691
Epoch 47/100, train_sqrt_loss: 0.030353, test_sqrt_loss: 0.214159
Epoch 48/100, train_sqrt_loss: 0.030289, test_sqrt_loss: 0.212176
Epoch 49/100, train_sqrt_loss: 0.030249, test_sqrt_loss: 0.211952
Epoch 50/100, train_sqrt_loss: 0.030218, test_sqrt_loss: 0.211298
Epoch 51/100, train_sqrt_loss: 0.030206, test_sqrt_loss: 0.211364
Epoch 52/100, train_sqrt_loss: 0.030181, test_sqrt_loss: 0.210377
Epoch 53/100, train_sqrt_loss: 0.030153, test_sqrt_loss: 0.210266
Epoch 54/100, train_sqrt_loss: 0.030110, test_sqrt_loss: 0.208516
Epoch 55/100, train_sqrt_loss: 0.030039, test_sqrt_loss: 0.205194
Epoch 56/100, train_sqrt_loss: 0.029973, test_sqrt_loss: 0.202364
Epoch 57/100, train_sqrt_loss: 0.029924, test_sqrt_loss: 0.203098
Epoch 58/100, train_sqrt_loss: 0.029880, test_sqrt_loss: 0.200674
Epoch 59/100, train_sqrt_loss: 0.029852, test_sqrt_loss: 0.201107
Epoch 60/100, train_sqrt_loss: 0.029850, test_sqrt_loss: 0.201753
Epoch 61/100, train_sqrt_loss: 0.029838, test_sqrt_loss: 0.200674
Epoch 62/100, train_sqrt_loss: 0.029796, test_sqrt_loss: 0.198820
Epoch 63/100, train_sqrt_loss: 0.029731, test_sqrt_loss: 0.194889
Epoch 64/100, train_sqrt_loss: 0.029640, test_sqrt_loss: 0.191453
Epoch 65/100, train_sqrt_loss: 0.029561, test_sqrt_loss: 0.189430
Epoch 66/100, train_sqrt_loss: 0.029515, test_sqrt_loss: 0.189575
Epoch 67/100, train_sqrt_loss: 0.029483, test_sqrt_loss: 0.186522
Epoch 68/100, train_sqrt_loss: 0.029451, test_sqrt_loss: 0.185185
Epoch 69/100, train_sqrt_loss: 0.029409, test_sqrt_loss: 0.184465
Epoch 70/100, train_sqrt_loss: 0.029360, test_sqrt_loss: 0.182664
Epoch 71/100, train_sqrt_loss: 0.029324, test_sqrt_loss: 0.180274
Epoch 72/100, train_sqrt_loss: 0.029273, test_sqrt_loss: 0.177707
Epoch 73/100, train_sqrt_loss: 0.029199, test_sqrt_loss: 0.174109
Epoch 74/100, train_sqrt_loss: 0.029134, test_sqrt_loss: 0.171451
Epoch 75/100, train_sqrt_loss: 0.029096, test_sqrt_loss: 0.170737
Epoch 76/100, train_sqrt_loss: 0.029063, test_sqrt_loss: 0.167806
Epoch 77/100, train_sqrt_loss: 0.029020, test_sqrt_loss: 0.166064
Epoch 78/100, train_sqrt_loss: 0.028987, test_sqrt_loss: 0.165195
Epoch 79/100, train_sqrt_loss: 0.028956, test_sqrt_loss: 0.163763
Epoch 80/100, train_sqrt_loss: 0.028919, test_sqrt_loss: 0.160641
Epoch 81/100, train_sqrt_loss: 0.028869, test_sqrt_loss: 0.158459
Epoch 82/100, train_sqrt_loss: 0.028814, test_sqrt_loss: 0.156545
Epoch 83/100, train_sqrt_loss: 0.028767, test_sqrt_loss: 0.153751
Epoch 84/100, train_sqrt_loss: 0.028730, test_sqrt_loss: 0.152062
Epoch 85/100, train_sqrt_loss: 0.028709, test_sqrt_loss: 0.151849
Epoch 86/100, train_sqrt_loss: 0.028695, test_sqrt_loss: 0.149779
Epoch 87/100, train_sqrt_loss: 0.028648, test_sqrt_loss: 0.147197
Epoch 88/100, train_sqrt_loss: 0.028604, test_sqrt_loss: 0.144460
Epoch 89/100, train_sqrt_loss: 0.028564, test_sqrt_loss: 0.141944
Epoch 90/100, train_sqrt_loss: 0.028525, test_sqrt_loss: 0.140369
