train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.181912, test_sqrt_loss: 0.043319
Epoch 2/100, train_sqrt_loss: 0.135770, test_sqrt_loss: 0.043204
Epoch 3/100, train_sqrt_loss: 0.074594, test_sqrt_loss: 0.037322
Epoch 4/100, train_sqrt_loss: 0.029462, test_sqrt_loss: 0.035170
Epoch 5/100, train_sqrt_loss: 0.027719, test_sqrt_loss: 0.047091
Epoch 6/100, train_sqrt_loss: 0.027467, test_sqrt_loss: 0.049935
Epoch 7/100, train_sqrt_loss: 0.027409, test_sqrt_loss: 0.038711
Epoch 8/100, train_sqrt_loss: 0.027885, test_sqrt_loss: 0.051742
Epoch 9/100, train_sqrt_loss: 0.028997, test_sqrt_loss: 0.060230
Epoch 10/100, train_sqrt_loss: 0.031721, test_sqrt_loss: 0.102997
Epoch 11/100, train_sqrt_loss: 0.035813, test_sqrt_loss: 0.118415
Epoch 12/100, train_sqrt_loss: 0.035441, test_sqrt_loss: 0.091949
Epoch 13/100, train_sqrt_loss: 0.029453, test_sqrt_loss: 0.052950
Epoch 14/100, train_sqrt_loss: 0.027393, test_sqrt_loss: 0.054979
Epoch 15/100, train_sqrt_loss: 0.027388, test_sqrt_loss: 0.052574
Epoch 16/100, train_sqrt_loss: 0.028002, test_sqrt_loss: 0.070067
Epoch 17/100, train_sqrt_loss: 0.029288, test_sqrt_loss: 0.089021
Epoch 18/100, train_sqrt_loss: 0.031172, test_sqrt_loss: 0.116597
Epoch 19/100, train_sqrt_loss: 0.032617, test_sqrt_loss: 0.124525
Epoch 20/100, train_sqrt_loss: 0.031792, test_sqrt_loss: 0.107001
Epoch 21/100, train_sqrt_loss: 0.029433, test_sqrt_loss: 0.076845
Epoch 22/100, train_sqrt_loss: 0.028129, test_sqrt_loss: 0.067936
Epoch 23/100, train_sqrt_loss: 0.027976, test_sqrt_loss: 0.071058
Epoch 24/100, train_sqrt_loss: 0.028451, test_sqrt_loss: 0.086209
Epoch 25/100, train_sqrt_loss: 0.029381, test_sqrt_loss: 0.105711
Epoch 26/100, train_sqrt_loss: 0.030467, test_sqrt_loss: 0.123032
Epoch 27/100, train_sqrt_loss: 0.030982, test_sqrt_loss: 0.127127
Epoch 28/100, train_sqrt_loss: 0.030386, test_sqrt_loss: 0.112505
Epoch 29/100, train_sqrt_loss: 0.029253, test_sqrt_loss: 0.092012
Epoch 30/100, train_sqrt_loss: 0.028526, test_sqrt_loss: 0.082885
Epoch 31/100, train_sqrt_loss: 0.028353, test_sqrt_loss: 0.082913
Epoch 32/100, train_sqrt_loss: 0.028525, test_sqrt_loss: 0.090671
Epoch 33/100, train_sqrt_loss: 0.028883, test_sqrt_loss: 0.099501
Epoch 34/100, train_sqrt_loss: 0.029220, test_sqrt_loss: 0.105459
