train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.201364, test_sqrt_loss: 0.052102
Epoch 2/100, train_sqrt_loss: 0.165994, test_sqrt_loss: 0.031628
Epoch 3/100, train_sqrt_loss: 0.071010, test_sqrt_loss: 0.060688
Epoch 4/100, train_sqrt_loss: 0.047868, test_sqrt_loss: 0.060210
Epoch 5/100, train_sqrt_loss: 0.037734, test_sqrt_loss: 0.084209
Epoch 6/100, train_sqrt_loss: 0.035523, test_sqrt_loss: 0.129575
Epoch 7/100, train_sqrt_loss: 0.031962, test_sqrt_loss: 0.061530
Epoch 8/100, train_sqrt_loss: 0.031902, test_sqrt_loss: 0.103812
Epoch 9/100, train_sqrt_loss: 0.029439, test_sqrt_loss: 0.054405
Epoch 10/100, train_sqrt_loss: 0.029820, test_sqrt_loss: 0.085978
Epoch 11/100, train_sqrt_loss: 0.028114, test_sqrt_loss: 0.047043
Epoch 12/100, train_sqrt_loss: 0.028485, test_sqrt_loss: 0.069411
Epoch 13/100, train_sqrt_loss: 0.027461, test_sqrt_loss: 0.037182
Epoch 14/100, train_sqrt_loss: 0.027696, test_sqrt_loss: 0.054482
Epoch 15/100, train_sqrt_loss: 0.027293, test_sqrt_loss: 0.032864
Epoch 16/100, train_sqrt_loss: 0.027373, test_sqrt_loss: 0.044340
Epoch 17/100, train_sqrt_loss: 0.027367, test_sqrt_loss: 0.038892
Epoch 18/100, train_sqrt_loss: 0.027374, test_sqrt_loss: 0.041375
Epoch 19/100, train_sqrt_loss: 0.027464, test_sqrt_loss: 0.046218
Epoch 20/100, train_sqrt_loss: 0.027504, test_sqrt_loss: 0.045127
Epoch 21/100, train_sqrt_loss: 0.027585, test_sqrt_loss: 0.051720
Epoch 22/100, train_sqrt_loss: 0.027657, test_sqrt_loss: 0.051753
Epoch 23/100, train_sqrt_loss: 0.027765, test_sqrt_loss: 0.059886
Epoch 24/100, train_sqrt_loss: 0.027874, test_sqrt_loss: 0.061464
Epoch 25/100, train_sqrt_loss: 0.027997, test_sqrt_loss: 0.069255
Epoch 26/100, train_sqrt_loss: 0.028115, test_sqrt_loss: 0.071932
Epoch 27/100, train_sqrt_loss: 0.028246, test_sqrt_loss: 0.078643
Epoch 28/100, train_sqrt_loss: 0.028376, test_sqrt_loss: 0.082276
Epoch 29/100, train_sqrt_loss: 0.028508, test_sqrt_loss: 0.089133
Epoch 30/100, train_sqrt_loss: 0.028607, test_sqrt_loss: 0.091695
Epoch 31/100, train_sqrt_loss: 0.028685, test_sqrt_loss: 0.096548
Epoch 32/100, train_sqrt_loss: 0.028717, test_sqrt_loss: 0.097679
Epoch 33/100, train_sqrt_loss: 0.028709, test_sqrt_loss: 0.098357
Epoch 34/100, train_sqrt_loss: 0.028681, test_sqrt_loss: 0.098270
Epoch 35/100, train_sqrt_loss: 0.028661, test_sqrt_loss: 0.100116
Epoch 36/100, train_sqrt_loss: 0.028644, test_sqrt_loss: 0.100233
Epoch 37/100, train_sqrt_loss: 0.028644, test_sqrt_loss: 0.102829
Epoch 38/100, train_sqrt_loss: 0.028625, test_sqrt_loss: 0.102163
Epoch 39/100, train_sqrt_loss: 0.028584, test_sqrt_loss: 0.100823
Epoch 40/100, train_sqrt_loss: 0.028536, test_sqrt_loss: 0.100378
Epoch 41/100, train_sqrt_loss: 0.028475, test_sqrt_loss: 0.099824
Epoch 42/100, train_sqrt_loss: 0.028441, test_sqrt_loss: 0.100243
Epoch 43/100, train_sqrt_loss: 0.028430, test_sqrt_loss: 0.099532
Epoch 44/100, train_sqrt_loss: 0.028411, test_sqrt_loss: 0.099862
Epoch 45/100, train_sqrt_loss: 0.028370, test_sqrt_loss: 0.097853
Epoch 46/100, train_sqrt_loss: 0.028338, test_sqrt_loss: 0.098356
Epoch 47/100, train_sqrt_loss: 0.028308, test_sqrt_loss: 0.097520
Epoch 48/100, train_sqrt_loss: 0.028271, test_sqrt_loss: 0.095699
Epoch 49/100, train_sqrt_loss: 0.028230, test_sqrt_loss: 0.094272
Epoch 50/100, train_sqrt_loss: 0.028203, test_sqrt_loss: 0.095451
Epoch 51/100, train_sqrt_loss: 0.028188, test_sqrt_loss: 0.093804
Epoch 52/100, train_sqrt_loss: 0.028163, test_sqrt_loss: 0.092548
Epoch 53/100, train_sqrt_loss: 0.028125, test_sqrt_loss: 0.091818
Epoch 54/100, train_sqrt_loss: 0.028100, test_sqrt_loss: 0.091035
