train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, train_sqrt_loss: 0.215967, test_sqrt_loss: 0.056961
Epoch 2/100, train_sqrt_loss: 0.171378, test_sqrt_loss: 0.039940
Epoch 3/100, train_sqrt_loss: 0.083016, test_sqrt_loss: 0.050056
Epoch 4/100, train_sqrt_loss: 0.054381, test_sqrt_loss: 0.098618
Epoch 5/100, train_sqrt_loss: 0.042234, test_sqrt_loss: 0.076092
Epoch 6/100, train_sqrt_loss: 0.037449, test_sqrt_loss: 0.114251
Epoch 7/100, train_sqrt_loss: 0.032373, test_sqrt_loss: 0.035228
Epoch 8/100, train_sqrt_loss: 0.030898, test_sqrt_loss: 0.080803
Epoch 9/100, train_sqrt_loss: 0.028580, test_sqrt_loss: 0.032554
Epoch 10/100, train_sqrt_loss: 0.028717, test_sqrt_loss: 0.060827
Epoch 11/100, train_sqrt_loss: 0.027591, test_sqrt_loss: 0.033172
Epoch 12/100, train_sqrt_loss: 0.028005, test_sqrt_loss: 0.050501
Epoch 13/100, train_sqrt_loss: 0.027277, test_sqrt_loss: 0.032809
Epoch 14/100, train_sqrt_loss: 0.027678, test_sqrt_loss: 0.044535
Epoch 15/100, train_sqrt_loss: 0.027172, test_sqrt_loss: 0.032156
Epoch 16/100, train_sqrt_loss: 0.027483, test_sqrt_loss: 0.041062
Epoch 17/100, train_sqrt_loss: 0.027158, test_sqrt_loss: 0.031992
Epoch 18/100, train_sqrt_loss: 0.027366, test_sqrt_loss: 0.039384
Epoch 19/100, train_sqrt_loss: 0.027201, test_sqrt_loss: 0.033501
Epoch 20/100, train_sqrt_loss: 0.027308, test_sqrt_loss: 0.038303
Epoch 21/100, train_sqrt_loss: 0.027263, test_sqrt_loss: 0.035851
Epoch 22/100, train_sqrt_loss: 0.027306, test_sqrt_loss: 0.038289
Epoch 23/100, train_sqrt_loss: 0.027327, test_sqrt_loss: 0.038494
Epoch 24/100, train_sqrt_loss: 0.027350, test_sqrt_loss: 0.039536
Epoch 25/100, train_sqrt_loss: 0.027392, test_sqrt_loss: 0.041725
Epoch 26/100, train_sqrt_loss: 0.027416, test_sqrt_loss: 0.042189
Epoch 27/100, train_sqrt_loss: 0.027461, test_sqrt_loss: 0.045743
Epoch 28/100, train_sqrt_loss: 0.027505, test_sqrt_loss: 0.046363
Epoch 29/100, train_sqrt_loss: 0.027544, test_sqrt_loss: 0.048558
Epoch 30/100, train_sqrt_loss: 0.027593, test_sqrt_loss: 0.050293
Epoch 31/100, train_sqrt_loss: 0.027647, test_sqrt_loss: 0.053487
Epoch 32/100, train_sqrt_loss: 0.027707, test_sqrt_loss: 0.055905
Epoch 33/100, train_sqrt_loss: 0.027767, test_sqrt_loss: 0.057443
Epoch 34/100, train_sqrt_loss: 0.027832, test_sqrt_loss: 0.061031
Epoch 35/100, train_sqrt_loss: 0.027896, test_sqrt_loss: 0.064150
Epoch 36/100, train_sqrt_loss: 0.027961, test_sqrt_loss: 0.066620
Epoch 37/100, train_sqrt_loss: 0.028024, test_sqrt_loss: 0.070090
Epoch 38/100, train_sqrt_loss: 0.028073, test_sqrt_loss: 0.072277
Epoch 39/100, train_sqrt_loss: 0.028127, test_sqrt_loss: 0.074876
Epoch 40/100, train_sqrt_loss: 0.028174, test_sqrt_loss: 0.076524
Epoch 41/100, train_sqrt_loss: 0.028219, test_sqrt_loss: 0.079005
Epoch 42/100, train_sqrt_loss: 0.028247, test_sqrt_loss: 0.080640
Epoch 43/100, train_sqrt_loss: 0.028253, test_sqrt_loss: 0.081971
Epoch 44/100, train_sqrt_loss: 0.028252, test_sqrt_loss: 0.082041
Epoch 45/100, train_sqrt_loss: 0.028255, test_sqrt_loss: 0.083157
Epoch 46/100, train_sqrt_loss: 0.028258, test_sqrt_loss: 0.083238
Epoch 47/100, train_sqrt_loss: 0.028247, test_sqrt_loss: 0.083350
Epoch 48/100, train_sqrt_loss: 0.028224, test_sqrt_loss: 0.082877
Epoch 49/100, train_sqrt_loss: 0.028197, test_sqrt_loss: 0.081053
Epoch 50/100, train_sqrt_loss: 0.028173, test_sqrt_loss: 0.081279
Epoch 51/100, train_sqrt_loss: 0.028159, test_sqrt_loss: 0.082176
Epoch 52/100, train_sqrt_loss: 0.028151, test_sqrt_loss: 0.081655
Epoch 53/100, train_sqrt_loss: 0.028134, test_sqrt_loss: 0.080546
Epoch 54/100, train_sqrt_loss: 0.028103, test_sqrt_loss: 0.079517
Epoch 55/100, train_sqrt_loss: 0.028079, test_sqrt_loss: 0.078091
Epoch 56/100, train_sqrt_loss: 0.028059, test_sqrt_loss: 0.078965
Epoch 57/100, train_sqrt_loss: 0.028039, test_sqrt_loss: 0.077463
Epoch 58/100, train_sqrt_loss: 0.028021, test_sqrt_loss: 0.077579
Epoch 59/100, train_sqrt_loss: 0.028001, test_sqrt_loss: 0.075583
Epoch 60/100, train_sqrt_loss: 0.027986, test_sqrt_loss: 0.075952
Epoch 61/100, train_sqrt_loss: 0.027971, test_sqrt_loss: 0.074236
Epoch 62/100, train_sqrt_loss: 0.027952, test_sqrt_loss: 0.073744
Epoch 63/100, train_sqrt_loss: 0.027930, test_sqrt_loss: 0.072079
Epoch 64/100, train_sqrt_loss: 0.027911, test_sqrt_loss: 0.071686
Epoch 65/100, train_sqrt_loss: 0.027892, test_sqrt_loss: 0.070511
Epoch 66/100, train_sqrt_loss: 0.027881, test_sqrt_loss: 0.070950
Epoch 67/100, train_sqrt_loss: 0.027870, test_sqrt_loss: 0.068803
Epoch 68/100, train_sqrt_loss: 0.027850, test_sqrt_loss: 0.068057
Epoch 69/100, train_sqrt_loss: 0.027826, test_sqrt_loss: 0.067256
Epoch 70/100, train_sqrt_loss: 0.027812, test_sqrt_loss: 0.065816
Epoch 71/100, train_sqrt_loss: 0.027797, test_sqrt_loss: 0.065124
Epoch 72/100, train_sqrt_loss: 0.027785, test_sqrt_loss: 0.064200
Epoch 73/100, train_sqrt_loss: 0.027777, test_sqrt_loss: 0.063890
Epoch 74/100, train_sqrt_loss: 0.027761, test_sqrt_loss: 0.062839
Epoch 75/100, train_sqrt_loss: 0.027750, test_sqrt_loss: 0.062083
Epoch 76/100, train_sqrt_loss: 0.027743, test_sqrt_loss: 0.061497
Epoch 77/100, train_sqrt_loss: 0.027727, test_sqrt_loss: 0.060885
Epoch 78/100, train_sqrt_loss: 0.027714, test_sqrt_loss: 0.059034
Epoch 79/100, train_sqrt_loss: 0.027702, test_sqrt_loss: 0.058462
Epoch 80/100, train_sqrt_loss: 0.027689, test_sqrt_loss: 0.057799
Epoch 81/100, train_sqrt_loss: 0.027681, test_sqrt_loss: 0.057300
Epoch 82/100, train_sqrt_loss: 0.027668, test_sqrt_loss: 0.056116
Epoch 83/100, train_sqrt_loss: 0.027662, test_sqrt_loss: 0.054956
Epoch 84/100, train_sqrt_loss: 0.027650, test_sqrt_loss: 0.054498
Epoch 85/100, train_sqrt_loss: 0.027638, test_sqrt_loss: 0.053958
Epoch 86/100, train_sqrt_loss: 0.027629, test_sqrt_loss: 0.052706
Epoch 87/100, train_sqrt_loss: 0.027622, test_sqrt_loss: 0.052573
Epoch 88/100, train_sqrt_loss: 0.027608, test_sqrt_loss: 0.051891
Epoch 89/100, train_sqrt_loss: 0.027598, test_sqrt_loss: 0.050677
Epoch 90/100, train_sqrt_loss: 0.027591, test_sqrt_loss: 0.050536
Epoch 91/100, train_sqrt_loss: 0.027589, test_sqrt_loss: 0.049342
