train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 0.042801, test_loss: 0.004276, MSE: 0.004204, IC: 0.009243, RIC: 0.006253, Precision@10: 0.110417
Best model saved at epoch 1 with test_loss: 0.004276
Epoch 2/100, running_loss: 0.001955, test_loss: 0.001480, MSE: 0.001460, IC: 0.042160, RIC: 0.028385, Precision@10: 0.132292
Best model saved at epoch 2 with test_loss: 0.001480
Epoch 3/100, running_loss: 0.001002, test_loss: 0.001030, MSE: 0.001020, IC: 0.006544, RIC: 0.001673, Precision@10: 0.127083
Best model saved at epoch 3 with test_loss: 0.001030
Epoch 4/100, running_loss: 0.000895, test_loss: 0.001193, MSE: 0.001183, IC: 0.003949, RIC: -0.004218, Precision@10: 0.128125
Epoch 5/100, running_loss: 0.000867, test_loss: 0.001080, MSE: 0.001071, IC: 0.007838, RIC: 0.010043, Precision@10: 0.125000
Epoch 6/100, running_loss: 0.000817, test_loss: 0.000967, MSE: 0.000959, IC: -0.017248, RIC: -0.000422, Precision@10: 0.117708
Best model saved at epoch 6 with test_loss: 0.000967
Epoch 7/100, running_loss: 0.000820, test_loss: 0.001206, MSE: 0.001199, IC: 0.002791, RIC: -0.000075, Precision@10: 0.131250
Epoch 8/100, running_loss: 0.000812, test_loss: 0.001083, MSE: 0.001078, IC: -0.002585, RIC: -0.003452, Precision@10: 0.142708
Epoch 9/100, running_loss: 0.000767, test_loss: 0.001108, MSE: 0.001104, IC: 0.003390, RIC: 0.029913, Precision@10: 0.155208
Epoch 10/100, running_loss: 0.000794, test_loss: 0.001059, MSE: 0.001056, IC: 0.021549, RIC: 0.024334, Precision@10: 0.158333
Epoch 11/100, running_loss: 0.000757, test_loss: 0.001486, MSE: 0.001483, IC: -0.009977, RIC: 0.015690, Precision@10: 0.154167
Epoch 12/100, running_loss: 0.000770, test_loss: 0.000944, MSE: 0.000942, IC: -0.015358, RIC: -0.001734, Precision@10: 0.143750
Best model saved at epoch 12 with test_loss: 0.000944
Epoch 13/100, running_loss: 0.000795, test_loss: 0.000966, MSE: 0.000965, IC: 0.021548, RIC: 0.036081, Precision@10: 0.164583
Epoch 14/100, running_loss: 0.000781, test_loss: 0.001348, MSE: 0.001347, IC: 0.024471, RIC: 0.012402, Precision@10: 0.164583
Epoch 15/100, running_loss: 0.000767, test_loss: 0.000984, MSE: 0.000983, IC: 0.043513, RIC: 0.044035, Precision@10: 0.167708
Epoch 16/100, running_loss: 0.000751, test_loss: 0.000984, MSE: 0.000983, IC: 0.029415, RIC: 0.040588, Precision@10: 0.176042
Epoch 17/100, running_loss: 0.000757, test_loss: 0.001003, MSE: 0.001002, IC: 0.013209, RIC: 0.020034, Precision@10: 0.165625
Epoch 18/100, running_loss: 0.000768, test_loss: 0.001313, MSE: 0.001313, IC: 0.012959, RIC: 0.003156, Precision@10: 0.147917
Epoch 19/100, running_loss: 0.000775, test_loss: 0.001045, MSE: 0.001045, IC: 0.036389, RIC: 0.029175, Precision@10: 0.140625
Epoch 20/100, running_loss: 0.000770, test_loss: 0.000981, MSE: 0.000980, IC: 0.020528, RIC: 0.016469, Precision@10: 0.145833
Epoch 21/100, running_loss: 0.000746, test_loss: 0.000923, MSE: 0.000922, IC: 0.031557, RIC: 0.006150, Precision@10: 0.157292
Best model saved at epoch 21 with test_loss: 0.000923
Epoch 22/100, running_loss: 0.000756, test_loss: 0.001115, MSE: 0.001114, IC: 0.024463, RIC: 0.018331, Precision@10: 0.128125
Epoch 23/100, running_loss: 0.000817, test_loss: 0.001241, MSE: 0.001240, IC: 0.029281, RIC: 0.030091, Precision@10: 0.162500
Epoch 24/100, running_loss: 0.000772, test_loss: 0.000961, MSE: 0.000960, IC: 0.040940, RIC: 0.020752, Precision@10: 0.160417
Epoch 25/100, running_loss: 0.000799, test_loss: 0.001253, MSE: 0.001251, IC: 0.019395, RIC: 0.008888, Precision@10: 0.156250
Epoch 26/100, running_loss: 0.000787, test_loss: 0.001034, MSE: 0.001033, IC: 0.022724, RIC: 0.021593, Precision@10: 0.135417
Epoch 27/100, running_loss: 0.000825, test_loss: 0.000928, MSE: 0.000928, IC: 0.012438, RIC: 0.032970, Precision@10: 0.153125
Epoch 28/100, running_loss: 0.000770, test_loss: 0.000992, MSE: 0.000991, IC: 0.027726, RIC: 0.008812, Precision@10: 0.158333
Epoch 29/100, running_loss: 0.000761, test_loss: 0.001016, MSE: 0.001015, IC: 0.039681, RIC: 0.035621, Precision@10: 0.147917
Epoch 30/100, running_loss: 0.000776, test_loss: 0.001393, MSE: 0.001392, IC: 0.050486, RIC: 0.034471, Precision@10: 0.162500
