train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 0.026703, test_loss: 0.003827, MSE: 0.003765, IC: -0.009270, RIC: -0.014527, Precision@10: 0.116667
Best model saved at epoch 1 with test_loss: 0.003827
Epoch 2/100, running_loss: 0.001466, test_loss: 0.001462, MSE: 0.001444, IC: 0.028336, RIC: 0.028732, Precision@10: 0.130208
Best model saved at epoch 2 with test_loss: 0.001462
Epoch 3/100, running_loss: 0.000887, test_loss: 0.001021, MSE: 0.001011, IC: 0.008517, RIC: 0.022765, Precision@10: 0.155208
Best model saved at epoch 3 with test_loss: 0.001021
Epoch 4/100, running_loss: 0.000795, test_loss: 0.001231, MSE: 0.001224, IC: 0.047738, RIC: 0.047480, Precision@10: 0.154167
Epoch 5/100, running_loss: 0.000840, test_loss: 0.001459, MSE: 0.001454, IC: 0.020247, RIC: 0.022875, Precision@10: 0.131250
Epoch 6/100, running_loss: 0.000789, test_loss: 0.001003, MSE: 0.000999, IC: 0.001738, RIC: 0.007793, Precision@10: 0.151042
Best model saved at epoch 6 with test_loss: 0.001003
Epoch 7/100, running_loss: 0.000765, test_loss: 0.001310, MSE: 0.001305, IC: 0.003964, RIC: 0.016821, Precision@10: 0.138542
Epoch 8/100, running_loss: 0.000759, test_loss: 0.000946, MSE: 0.000942, IC: 0.004541, RIC: -0.007024, Precision@10: 0.153125
Best model saved at epoch 8 with test_loss: 0.000946
Epoch 9/100, running_loss: 0.000763, test_loss: 0.001059, MSE: 0.001056, IC: 0.003216, RIC: 0.013427, Precision@10: 0.122917
Epoch 10/100, running_loss: 0.000790, test_loss: 0.001093, MSE: 0.001091, IC: -0.014898, RIC: -0.018265, Precision@10: 0.151042
Epoch 11/100, running_loss: 0.000826, test_loss: 0.001039, MSE: 0.001036, IC: 0.003116, RIC: 0.000211, Precision@10: 0.140625
Epoch 12/100, running_loss: 0.000804, test_loss: 0.001051, MSE: 0.001049, IC: -0.019069, RIC: -0.017849, Precision@10: 0.150000
