train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 0.055402, test_loss: 0.005401, MSE: 0.005325, IC: 0.004389, RIC: 0.013948, Precision@10: 0.115625
Best model saved at epoch 1 with test_loss: 0.005401
Epoch 2/100, running_loss: 0.002141, test_loss: 0.001905, MSE: 0.001878, IC: 0.009822, RIC: 0.018654, Precision@10: 0.139583
Best model saved at epoch 2 with test_loss: 0.001905
Epoch 3/100, running_loss: 0.001037, test_loss: 0.001155, MSE: 0.001141, IC: -0.016100, RIC: -0.009220, Precision@10: 0.112500
Best model saved at epoch 3 with test_loss: 0.001155
Epoch 4/100, running_loss: 0.000833, test_loss: 0.001068, MSE: 0.001057, IC: 0.006749, RIC: 0.001310, Precision@10: 0.121875
Best model saved at epoch 4 with test_loss: 0.001068
Epoch 5/100, running_loss: 0.000813, test_loss: 0.001310, MSE: 0.001300, IC: 0.006432, RIC: 0.013229, Precision@10: 0.129167
Epoch 6/100, running_loss: 0.000888, test_loss: 0.001212, MSE: 0.001203, IC: 0.002574, RIC: 0.013631, Precision@10: 0.113542
Epoch 7/100, running_loss: 0.000836, test_loss: 0.001079, MSE: 0.001071, IC: 0.012647, RIC: 0.011017, Precision@10: 0.138542
Epoch 8/100, running_loss: 0.000798, test_loss: 0.001379, MSE: 0.001372, IC: 0.035248, RIC: 0.044091, Precision@10: 0.142708
Epoch 9/100, running_loss: 0.000801, test_loss: 0.001005, MSE: 0.000999, IC: 0.026968, RIC: 0.028188, Precision@10: 0.141667
Best model saved at epoch 9 with test_loss: 0.001005
Epoch 10/100, running_loss: 0.000790, test_loss: 0.001118, MSE: 0.001113, IC: 0.030935, RIC: 0.028250, Precision@10: 0.168750
Epoch 11/100, running_loss: 0.000785, test_loss: 0.001177, MSE: 0.001171, IC: 0.036886, RIC: 0.056835, Precision@10: 0.118750
Epoch 12/100, running_loss: 0.000790, test_loss: 0.001041, MSE: 0.001037, IC: -0.007703, RIC: -0.003154, Precision@10: 0.148958
Epoch 13/100, running_loss: 0.000802, test_loss: 0.001303, MSE: 0.001300, IC: 0.035332, RIC: 0.036787, Precision@10: 0.135417
Epoch 14/100, running_loss: 0.000803, test_loss: 0.001173, MSE: 0.001167, IC: -0.024717, RIC: -0.036745, Precision@10: 0.155208
Epoch 15/100, running_loss: 0.000775, test_loss: 0.001038, MSE: 0.001035, IC: -0.014728, RIC: -0.017423, Precision@10: 0.117708
Epoch 16/100, running_loss: 0.000768, test_loss: 0.001180, MSE: 0.001177, IC: 0.006221, RIC: 0.021622, Precision@10: 0.134375
Epoch 17/100, running_loss: 0.000775, test_loss: 0.000962, MSE: 0.000959, IC: -0.024141, RIC: -0.030701, Precision@10: 0.163542
Best model saved at epoch 17 with test_loss: 0.000962
Epoch 18/100, running_loss: 0.000776, test_loss: 0.001217, MSE: 0.001214, IC: -0.020028, RIC: -0.033956, Precision@10: 0.161458
Epoch 19/100, running_loss: 0.000770, test_loss: 0.001883, MSE: 0.001882, IC: 0.028215, RIC: 0.026003, Precision@10: 0.115625
Epoch 20/100, running_loss: 0.000754, test_loss: 0.001387, MSE: 0.001385, IC: -0.008112, RIC: -0.005839, Precision@10: 0.111458
Epoch 21/100, running_loss: 0.000760, test_loss: 0.001261, MSE: 0.001260, IC: -0.008893, RIC: 0.000437, Precision@10: 0.107292
Epoch 22/100, running_loss: 0.000753, test_loss: 0.001309, MSE: 0.001308, IC: -0.011888, RIC: -0.005702, Precision@10: 0.122917
Epoch 23/100, running_loss: 0.000786, test_loss: 0.001322, MSE: 0.001320, IC: 0.001292, RIC: 0.010808, Precision@10: 0.125000
Epoch 24/100, running_loss: 0.000758, test_loss: 0.001396, MSE: 0.001395, IC: -0.035450, RIC: -0.008973, Precision@10: 0.091667
Epoch 25/100, running_loss: 0.000774, test_loss: 0.001055, MSE: 0.001054, IC: -0.007262, RIC: -0.030284, Precision@10: 0.138542
Epoch 26/100, running_loss: 0.000779, test_loss: 0.001444, MSE: 0.001444, IC: -0.004391, RIC: -0.000550, Precision@10: 0.109375
Epoch 27/100, running_loss: 0.000814, test_loss: 0.001050, MSE: 0.001049, IC: -0.010520, RIC: -0.030030, Precision@10: 0.177083
Epoch 28/100, running_loss: 0.000787, test_loss: 0.000987, MSE: 0.000987, IC: -0.013404, RIC: -0.033105, Precision@10: 0.142708
Epoch 29/100, running_loss: 0.000765, test_loss: 0.001010, MSE: 0.001010, IC: 0.000863, RIC: -0.029356, Precision@10: 0.164583
Epoch 30/100, running_loss: 0.000752, test_loss: 0.001032, MSE: 0.001031, IC: 0.027601, RIC: -0.014337, Precision@10: 0.188542
Epoch 31/100, running_loss: 0.000768, test_loss: 0.001114, MSE: 0.001113, IC: -0.021552, RIC: -0.040158, Precision@10: 0.129167
Epoch 32/100, running_loss: 0.000771, test_loss: 0.001008, MSE: 0.001007, IC: 0.002010, RIC: -0.013410, Precision@10: 0.150000
Epoch 33/100, running_loss: 0.000790, test_loss: 0.001007, MSE: 0.001007, IC: -0.007478, RIC: -0.019481, Precision@10: 0.164583
Epoch 34/100, running_loss: 0.000784, test_loss: 0.001736, MSE: 0.001735, IC: -0.017076, RIC: -0.029498, Precision@10: 0.158333
Epoch 35/100, running_loss: 0.000827, test_loss: 0.001162, MSE: 0.001162, IC: -0.004101, RIC: -0.002973, Precision@10: 0.137500
Epoch 36/100, running_loss: 0.000785, test_loss: 0.001238, MSE: 0.001238, IC: -0.006814, RIC: -0.025819, Precision@10: 0.140625
Epoch 37/100, running_loss: 0.000765, test_loss: 0.001162, MSE: 0.001162, IC: -0.018935, RIC: -0.039443, Precision@10: 0.144792
Epoch 38/100, running_loss: 0.000761, test_loss: 0.001138, MSE: 0.001137, IC: -0.054004, RIC: -0.050531, Precision@10: 0.129167
