train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 7.481681, test_loss: 9.950836, MSE: 9.942136, IC: 0.014229, RIC: 0.017817, Precision@10: 0.121875
Best model saved at epoch 1 with test_loss: 9.950836
Epoch 2/100, running_loss: 7.368709, test_loss: 12.132932, MSE: 12.110177, IC: -0.012534, RIC: -0.003384, Precision@10: 0.144792
Epoch 3/100, running_loss: 7.859794, test_loss: 9.312705, MSE: 9.276337, IC: -0.028652, RIC: -0.029525, Precision@10: 0.145833
Best model saved at epoch 3 with test_loss: 9.312705
Epoch 4/100, running_loss: 7.251741, test_loss: 10.957948, MSE: 10.914912, IC: 0.011099, RIC: 0.018101, Precision@10: 0.175000
Epoch 5/100, running_loss: 6.885548, test_loss: 10.022108, MSE: 9.967546, IC: 0.020354, RIC: 0.034813, Precision@10: 0.154167
Epoch 6/100, running_loss: 6.449548, test_loss: 9.315975, MSE: 9.258904, IC: 0.012395, RIC: 0.028456, Precision@10: 0.152083
Epoch 7/100, running_loss: 5.948912, test_loss: 11.622114, MSE: 11.563329, IC: 0.064881, RIC: 0.085822, Precision@10: 0.152083
Epoch 8/100, running_loss: 5.531633, test_loss: 11.323785, MSE: 11.260756, IC: 0.027403, RIC: 0.043133, Precision@10: 0.152083
Epoch 9/100, running_loss: 5.202288, test_loss: 11.726720, MSE: 11.657140, IC: 0.058806, RIC: 0.076068, Precision@10: 0.142708
Epoch 10/100, running_loss: 5.172011, test_loss: 11.469207, MSE: 11.398559, IC: 0.017905, RIC: 0.031725, Precision@10: 0.142708
Epoch 11/100, running_loss: 4.868362, test_loss: 15.442998, MSE: 15.368004, IC: 0.027062, RIC: 0.042621, Precision@10: 0.144792
Epoch 12/100, running_loss: 4.705923, test_loss: 10.923468, MSE: 10.852973, IC: 0.048977, RIC: 0.059212, Precision@10: 0.160417
Epoch 13/100, running_loss: 4.597092, test_loss: 10.518282, MSE: 10.447186, IC: 0.040655, RIC: 0.050295, Precision@10: 0.164583
Epoch 14/100, running_loss: 4.620170, test_loss: 14.088167, MSE: 14.009356, IC: 0.009325, RIC: 0.020106, Precision@10: 0.135417
Epoch 15/100, running_loss: 4.603805, test_loss: 11.735644, MSE: 11.661522, IC: 0.010836, RIC: 0.009079, Precision@10: 0.138542
Epoch 16/100, running_loss: 4.551946, test_loss: 11.509640, MSE: 11.434476, IC: 0.000770, RIC: 0.008764, Precision@10: 0.140625
Epoch 17/100, running_loss: 4.460595, test_loss: 11.259091, MSE: 11.187729, IC: 0.020356, RIC: 0.025847, Precision@10: 0.144792
Epoch 18/100, running_loss: 4.351154, test_loss: 15.435974, MSE: 15.349472, IC: 0.010454, RIC: 0.016335, Precision@10: 0.134375
Epoch 19/100, running_loss: 4.291059, test_loss: 12.347942, MSE: 12.275345, IC: 0.013124, RIC: 0.015497, Precision@10: 0.128125
Epoch 20/100, running_loss: 4.245609, test_loss: 10.696213, MSE: 10.626456, IC: 0.081563, RIC: 0.091482, Precision@10: 0.176042
Epoch 21/100, running_loss: 4.298688, test_loss: 10.568498, MSE: 10.497380, IC: 0.014908, RIC: 0.035769, Precision@10: 0.144792
Epoch 22/100, running_loss: 4.322409, test_loss: 12.556921, MSE: 12.479259, IC: -0.007220, RIC: 0.005699, Precision@10: 0.146875
Epoch 23/100, running_loss: 4.272620, test_loss: 12.127506, MSE: 12.047614, IC: -0.005636, RIC: 0.024155, Precision@10: 0.137500
Epoch 24/100, running_loss: 4.287035, test_loss: 11.493779, MSE: 11.416789, IC: -0.024846, RIC: -0.009468, Precision@10: 0.125000
Epoch 25/100, running_loss: 4.353353, test_loss: 13.429736, MSE: 13.341340, IC: 0.021326, RIC: 0.037386, Precision@10: 0.131250
Epoch 26/100, running_loss: 4.280940, test_loss: 12.033388, MSE: 11.961749, IC: 0.014684, RIC: 0.028217, Precision@10: 0.138542
Epoch 27/100, running_loss: 4.359194, test_loss: 11.123220, MSE: 11.053231, IC: 0.032257, RIC: 0.049458, Precision@10: 0.140625
Epoch 28/100, running_loss: 4.610941, test_loss: 10.625095, MSE: 10.554179, IC: 0.043505, RIC: 0.067351, Precision@10: 0.142708
Epoch 29/100, running_loss: 4.456800, test_loss: 11.810450, MSE: 11.739059, IC: 0.031019, RIC: 0.042933, Precision@10: 0.126042
Epoch 30/100, running_loss: 4.389483, test_loss: 15.398173, MSE: 15.317256, IC: 0.043239, RIC: 0.059657, Precision@10: 0.154167
Epoch 31/100, running_loss: 4.370615, test_loss: 11.675233, MSE: 11.595134, IC: -0.020297, RIC: -0.010348, Precision@10: 0.128125
Epoch 32/100, running_loss: 4.270291, test_loss: 12.211427, MSE: 12.130534, IC: -0.003206, RIC: 0.001934, Precision@10: 0.144792
Epoch 33/100, running_loss: 4.248442, test_loss: 13.539820, MSE: 13.456328, IC: 0.008498, RIC: 0.014031, Precision@10: 0.136458
Epoch 34/100, running_loss: 4.220259, test_loss: 11.516658, MSE: 11.448335, IC: 0.018456, RIC: 0.031209, Precision@10: 0.123958
Epoch 35/100, running_loss: 4.183627, test_loss: 11.536694, MSE: 11.457767, IC: 0.023247, RIC: 0.033126, Precision@10: 0.132292
Epoch 36/100, running_loss: 4.243642, test_loss: 15.403586, MSE: 15.319627, IC: -0.008792, RIC: 0.004758, Precision@10: 0.151042
Epoch 37/100, running_loss: 4.207060, test_loss: 14.771741, MSE: 14.702969, IC: 0.034362, RIC: 0.038880, Precision@10: 0.133333
Epoch 38/100, running_loss: 4.239091, test_loss: 11.022799, MSE: 10.950599, IC: 0.014180, RIC: 0.018482, Precision@10: 0.143750
Epoch 39/100, running_loss: 4.164400, test_loss: 12.381543, MSE: 12.312553, IC: 0.055821, RIC: 0.076374, Precision@10: 0.146875
Epoch 40/100, running_loss: 4.128711, test_loss: 12.869133, MSE: 12.791138, IC: 0.037731, RIC: 0.057936, Precision@10: 0.145833
Epoch 41/100, running_loss: 4.100363, test_loss: 13.268710, MSE: 13.188272, IC: 0.003613, RIC: 0.024994, Precision@10: 0.144792
