train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 7.501055, test_loss: 9.919375, MSE: 9.900352, IC: -0.005717, RIC: -0.022155, Precision@10: 0.167708
Best model saved at epoch 1 with test_loss: 9.919375
Epoch 2/100, running_loss: 7.353158, test_loss: 12.488850, MSE: 12.451806, IC: -0.015412, RIC: -0.020634, Precision@10: 0.114583
Epoch 3/100, running_loss: 7.948682, test_loss: 9.567027, MSE: 9.538627, IC: 0.013127, RIC: 0.007714, Precision@10: 0.157292
Best model saved at epoch 3 with test_loss: 9.567027
Epoch 4/100, running_loss: 7.392091, test_loss: 11.612572, MSE: 11.586154, IC: -0.044145, RIC: -0.043887, Precision@10: 0.114583
Epoch 5/100, running_loss: 7.368692, test_loss: 10.067807, MSE: 10.039446, IC: 0.017345, RIC: 0.000964, Precision@10: 0.155208
Epoch 6/100, running_loss: 7.249473, test_loss: 9.002782, MSE: 8.974122, IC: 0.000652, RIC: -0.006012, Precision@10: 0.146875
Best model saved at epoch 6 with test_loss: 9.002782
Epoch 7/100, running_loss: 7.290841, test_loss: 11.776375, MSE: 11.731995, IC: 0.026290, RIC: 0.016631, Precision@10: 0.154167
Epoch 8/100, running_loss: 7.184420, test_loss: 10.911704, MSE: 10.858018, IC: 0.017260, RIC: 0.020406, Precision@10: 0.139583
Epoch 9/100, running_loss: 6.751397, test_loss: 12.281691, MSE: 12.231636, IC: -0.044568, RIC: -0.057018, Precision@10: 0.127083
Epoch 10/100, running_loss: 6.969867, test_loss: 10.688279, MSE: 10.658887, IC: 0.032830, RIC: -0.001926, Precision@10: 0.153125
Epoch 11/100, running_loss: 6.767166, test_loss: 15.485750, MSE: 15.415112, IC: -0.028365, RIC: -0.031719, Precision@10: 0.137500
Epoch 12/100, running_loss: 6.477121, test_loss: 9.275749, MSE: 9.229811, IC: 0.044141, RIC: 0.045307, Precision@10: 0.127083
Epoch 13/100, running_loss: 6.276747, test_loss: 9.672690, MSE: 9.633026, IC: -0.009254, RIC: -0.005282, Precision@10: 0.139583
Epoch 14/100, running_loss: 6.260995, test_loss: 12.777336, MSE: 12.733573, IC: 0.041502, RIC: 0.055328, Precision@10: 0.142708
Epoch 15/100, running_loss: 6.269257, test_loss: 10.405591, MSE: 10.361279, IC: 0.036264, RIC: 0.027161, Precision@10: 0.141667
Epoch 16/100, running_loss: 6.087404, test_loss: 10.059596, MSE: 10.007776, IC: 0.010625, RIC: 0.012882, Precision@10: 0.144792
Epoch 17/100, running_loss: 5.899923, test_loss: 10.242068, MSE: 10.197575, IC: 0.009765, RIC: -0.003582, Precision@10: 0.152083
Epoch 18/100, running_loss: 5.694393, test_loss: 13.529148, MSE: 13.485705, IC: -0.062973, RIC: -0.064815, Precision@10: 0.098958
Epoch 19/100, running_loss: 5.560090, test_loss: 11.873946, MSE: 11.810760, IC: -0.042265, RIC: -0.056075, Precision@10: 0.115625
