train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 7.607050, test_loss: 11.127343, MSE: 11.111066, IC: -0.027251, RIC: -0.032355, Precision@10: 0.131250
Best model saved at epoch 1 with test_loss: 11.127343
Epoch 2/100, running_loss: 7.385836, test_loss: 12.665663, MSE: 12.647050, IC: 0.020071, RIC: 0.014811, Precision@10: 0.160417
Epoch 3/100, running_loss: 7.436622, test_loss: 10.069578, MSE: 10.027753, IC: -0.052706, RIC: -0.053170, Precision@10: 0.127083
Best model saved at epoch 3 with test_loss: 10.069578
Epoch 4/100, running_loss: 7.166323, test_loss: 12.165649, MSE: 12.121427, IC: 0.016971, RIC: 0.022252, Precision@10: 0.172917
Epoch 5/100, running_loss: 6.729527, test_loss: 15.809066, MSE: 15.735297, IC: 0.004332, RIC: -0.000305, Precision@10: 0.131250
Epoch 6/100, running_loss: 6.520007, test_loss: 11.013035, MSE: 10.951027, IC: 0.000537, RIC: 0.007593, Precision@10: 0.144792
Epoch 7/100, running_loss: 6.062431, test_loss: 13.124404, MSE: 13.058009, IC: 0.012773, RIC: 0.024156, Precision@10: 0.133333
Epoch 8/100, running_loss: 5.589059, test_loss: 10.912991, MSE: 10.827806, IC: 0.033214, RIC: 0.037920, Precision@10: 0.151042
Epoch 9/100, running_loss: 5.225853, test_loss: 11.550017, MSE: 11.470134, IC: 0.082710, RIC: 0.096566, Precision@10: 0.151042
Epoch 10/100, running_loss: 5.018405, test_loss: 11.980122, MSE: 11.896317, IC: 0.011704, RIC: 0.011505, Precision@10: 0.127083
Epoch 11/100, running_loss: 4.902072, test_loss: 11.286450, MSE: 11.209933, IC: 0.071578, RIC: 0.086525, Precision@10: 0.160417
Epoch 12/100, running_loss: 4.735667, test_loss: 12.376269, MSE: 12.294240, IC: 0.072152, RIC: 0.084063, Precision@10: 0.156250
Epoch 13/100, running_loss: 4.600869, test_loss: 12.539831, MSE: 12.443131, IC: 0.005022, RIC: 0.023496, Precision@10: 0.129167
Epoch 14/100, running_loss: 4.602070, test_loss: 12.166043, MSE: 12.072879, IC: 0.014718, RIC: 0.028669, Precision@10: 0.133333
Epoch 15/100, running_loss: 4.405042, test_loss: 15.115414, MSE: 15.032417, IC: -0.002020, RIC: 0.006954, Precision@10: 0.131250
Epoch 16/100, running_loss: 4.345996, test_loss: 17.643284, MSE: 17.554667, IC: 0.052390, RIC: 0.075307, Precision@10: 0.152083
Epoch 17/100, running_loss: 4.289499, test_loss: 14.161209, MSE: 14.059094, IC: -0.022161, RIC: -0.004277, Precision@10: 0.130208
Epoch 18/100, running_loss: 4.245650, test_loss: 15.274975, MSE: 15.170013, IC: 0.001599, RIC: 0.016224, Precision@10: 0.120833
Epoch 19/100, running_loss: 4.219194, test_loss: 13.802632, MSE: 13.709866, IC: 0.005988, RIC: 0.018357, Precision@10: 0.144792
Epoch 20/100, running_loss: 4.284172, test_loss: 14.040424, MSE: 13.946019, IC: 0.055831, RIC: 0.080269, Precision@10: 0.162500
Epoch 21/100, running_loss: 4.284646, test_loss: 14.999286, MSE: 14.895411, IC: 0.013832, RIC: 0.034265, Precision@10: 0.135417
Epoch 22/100, running_loss: 4.304981, test_loss: 12.896474, MSE: 12.799905, IC: 0.032937, RIC: 0.047417, Precision@10: 0.156250
Epoch 23/100, running_loss: 4.145211, test_loss: 15.015790, MSE: 14.918897, IC: 0.033796, RIC: 0.048047, Precision@10: 0.148958
Epoch 24/100, running_loss: 4.167828, test_loss: 13.022134, MSE: 12.926402, IC: 0.050099, RIC: 0.045344, Precision@10: 0.153125
Epoch 25/100, running_loss: 4.103567, test_loss: 18.441078, MSE: 18.312860, IC: -0.031236, RIC: -0.016094, Precision@10: 0.134375
Epoch 26/100, running_loss: 4.069167, test_loss: 14.983716, MSE: 14.871788, IC: 0.011306, RIC: 0.002674, Precision@10: 0.128125
Epoch 27/100, running_loss: 4.094773, test_loss: 12.637680, MSE: 12.533653, IC: 0.029122, RIC: 0.042156, Precision@10: 0.144792
Epoch 28/100, running_loss: 4.011121, test_loss: 13.043461, MSE: 12.935916, IC: -0.016816, RIC: -0.003902, Precision@10: 0.128125
Epoch 29/100, running_loss: 4.095760, test_loss: 14.197829, MSE: 14.103465, IC: 0.011674, RIC: 0.019356, Precision@10: 0.139583
Epoch 30/100, running_loss: 4.094849, test_loss: 15.311977, MSE: 15.207264, IC: 0.038493, RIC: 0.038837, Precision@10: 0.147917
Epoch 31/100, running_loss: 4.123584, test_loss: 12.125832, MSE: 12.021240, IC: 0.057628, RIC: 0.068687, Precision@10: 0.151042
Epoch 32/100, running_loss: 4.110894, test_loss: 14.828690, MSE: 14.719798, IC: 0.051230, RIC: 0.047702, Precision@10: 0.163542
Epoch 33/100, running_loss: 4.100903, test_loss: 14.044296, MSE: 13.941974, IC: 0.035880, RIC: 0.039491, Precision@10: 0.148958
Epoch 34/100, running_loss: 4.177397, test_loss: 12.607253, MSE: 12.497879, IC: 0.014377, RIC: 0.029319, Precision@10: 0.154167
