train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 7.511180, test_loss: 9.942320, MSE: 9.924856, IC: -0.021367, RIC: -0.023594, Precision@10: 0.129167
Best model saved at epoch 1 with test_loss: 9.942320
Epoch 2/100, running_loss: 7.387442, test_loss: 12.241107, MSE: 12.206341, IC: -0.015847, RIC: -0.018061, Precision@10: 0.134375
Epoch 3/100, running_loss: 7.748613, test_loss: 9.515743, MSE: 9.477181, IC: -0.035713, RIC: -0.048896, Precision@10: 0.112500
Best model saved at epoch 3 with test_loss: 9.515743
Epoch 4/100, running_loss: 7.078068, test_loss: 11.579367, MSE: 11.542122, IC: 0.000464, RIC: -0.004294, Precision@10: 0.141667
Epoch 5/100, running_loss: 7.030072, test_loss: 9.410863, MSE: 9.372185, IC: 0.053585, RIC: 0.048150, Precision@10: 0.157292
Best model saved at epoch 5 with test_loss: 9.410863
Epoch 6/100, running_loss: 6.825092, test_loss: 9.440122, MSE: 9.396001, IC: -0.000741, RIC: -0.002458, Precision@10: 0.153125
Epoch 7/100, running_loss: 6.781519, test_loss: 11.904579, MSE: 11.850995, IC: 0.023643, RIC: 0.031616, Precision@10: 0.128125
Epoch 8/100, running_loss: 6.713970, test_loss: 11.123252, MSE: 11.065141, IC: -0.024925, RIC: -0.026557, Precision@10: 0.117708
Epoch 9/100, running_loss: 6.220148, test_loss: 11.870466, MSE: 11.815394, IC: -0.002017, RIC: -0.017679, Precision@10: 0.139583
Epoch 10/100, running_loss: 6.136207, test_loss: 11.577485, MSE: 11.513734, IC: -0.033287, RIC: -0.043050, Precision@10: 0.101042
Epoch 11/100, running_loss: 6.116986, test_loss: 14.442403, MSE: 14.384881, IC: 0.047762, RIC: 0.034412, Precision@10: 0.151042
Epoch 12/100, running_loss: 5.903118, test_loss: 9.875833, MSE: 9.825702, IC: -0.010679, RIC: -0.014392, Precision@10: 0.121875
Epoch 13/100, running_loss: 5.794724, test_loss: 9.842942, MSE: 9.787601, IC: 0.045880, RIC: 0.061300, Precision@10: 0.148958
Epoch 14/100, running_loss: 5.793208, test_loss: 14.458200, MSE: 14.372208, IC: -0.045600, RIC: -0.057804, Precision@10: 0.117708
Epoch 15/100, running_loss: 5.732538, test_loss: 11.807002, MSE: 11.728780, IC: -0.046158, RIC: -0.049823, Precision@10: 0.109375
Epoch 16/100, running_loss: 5.766032, test_loss: 11.928196, MSE: 11.848248, IC: -0.001160, RIC: -0.013843, Precision@10: 0.157292
Epoch 17/100, running_loss: 5.570927, test_loss: 12.002575, MSE: 11.919415, IC: -0.027515, RIC: -0.039161, Precision@10: 0.113542
Epoch 18/100, running_loss: 5.562304, test_loss: 14.067612, MSE: 14.002357, IC: -0.025385, RIC: -0.026923, Precision@10: 0.103125
Epoch 19/100, running_loss: 5.472818, test_loss: 12.277819, MSE: 12.200684, IC: -0.028323, RIC: -0.042687, Precision@10: 0.105208
Epoch 20/100, running_loss: 5.348048, test_loss: 11.724858, MSE: 11.640277, IC: 0.022771, RIC: 0.024638, Precision@10: 0.139583
Epoch 21/100, running_loss: 5.189674, test_loss: 11.587531, MSE: 11.514714, IC: -0.029522, RIC: -0.042206, Precision@10: 0.125000
Epoch 22/100, running_loss: 4.994800, test_loss: 13.205442, MSE: 13.121331, IC: -0.010495, RIC: -0.016953, Precision@10: 0.127083
Epoch 23/100, running_loss: 5.031194, test_loss: 12.734991, MSE: 12.659447, IC: -0.058527, RIC: -0.063991, Precision@10: 0.101042
Epoch 24/100, running_loss: 5.244628, test_loss: 11.796483, MSE: 11.695590, IC: 0.009665, RIC: 0.003503, Precision@10: 0.127083
Epoch 25/100, running_loss: 5.819800, test_loss: 15.658209, MSE: 15.557065, IC: -0.026330, RIC: -0.041239, Precision@10: 0.106250
Epoch 26/100, running_loss: 5.640239, test_loss: 11.655351, MSE: 11.590159, IC: 0.020652, RIC: 0.010446, Precision@10: 0.147917
Epoch 27/100, running_loss: 5.964873, test_loss: 11.696058, MSE: 11.605591, IC: -0.021474, RIC: -0.022028, Precision@10: 0.125000
Epoch 28/100, running_loss: 5.586636, test_loss: 10.846533, MSE: 10.774400, IC: 0.015683, RIC: 0.030099, Precision@10: 0.138542
Epoch 29/100, running_loss: 5.279414, test_loss: 12.802639, MSE: 12.722766, IC: -0.025795, RIC: -0.033743, Precision@10: 0.114583
Epoch 30/100, running_loss: 5.133771, test_loss: 16.119043, MSE: 16.021820, IC: -0.024086, RIC: -0.020897, Precision@10: 0.131250
Epoch 31/100, running_loss: 5.261789, test_loss: 12.900044, MSE: 12.816747, IC: -0.040805, RIC: -0.051243, Precision@10: 0.104167
Epoch 32/100, running_loss: 4.867969, test_loss: 12.572557, MSE: 12.482989, IC: 0.015892, RIC: 0.015261, Precision@10: 0.145833
