train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 7.616727, test_loss: 11.252048, MSE: 11.238814, IC: 0.000437, RIC: 0.007303, Precision@10: 0.135417
Best model saved at epoch 1 with test_loss: 11.252048
Epoch 2/100, running_loss: 7.976326, test_loss: 12.423311, MSE: 12.381455, IC: -0.004964, RIC: -0.015929, Precision@10: 0.118750
Epoch 3/100, running_loss: 7.477532, test_loss: 9.669935, MSE: 9.653125, IC: 0.013037, RIC: 0.025600, Precision@10: 0.162500
Best model saved at epoch 3 with test_loss: 9.669935
Epoch 4/100, running_loss: 7.365208, test_loss: 9.908004, MSE: 9.882527, IC: 0.019202, RIC: 0.029786, Precision@10: 0.144792
Epoch 5/100, running_loss: 7.395185, test_loss: 10.546412, MSE: 10.530467, IC: 0.025653, RIC: 0.036294, Precision@10: 0.125000
Epoch 6/100, running_loss: 7.440008, test_loss: 11.181066, MSE: 11.142705, IC: 0.043429, RIC: 0.045964, Precision@10: 0.172917
Epoch 7/100, running_loss: 7.446475, test_loss: 10.005313, MSE: 9.970159, IC: -0.013549, RIC: -0.009781, Precision@10: 0.105208
Epoch 8/100, running_loss: 7.479255, test_loss: 13.598704, MSE: 13.564598, IC: -0.010357, RIC: -0.002830, Precision@10: 0.127083
Epoch 9/100, running_loss: 7.452011, test_loss: 10.931653, MSE: 10.866645, IC: 0.043730, RIC: 0.045857, Precision@10: 0.128125
Epoch 10/100, running_loss: 7.709423, test_loss: 11.230477, MSE: 11.209500, IC: 0.000785, RIC: 0.003280, Precision@10: 0.140625
Epoch 11/100, running_loss: 7.364964, test_loss: 10.314644, MSE: 10.309056, IC: -0.003857, RIC: 0.025570, Precision@10: 0.144792
Epoch 12/100, running_loss: 7.431565, test_loss: 10.364417, MSE: 10.359223, IC: 0.020829, RIC: 0.038643, Precision@10: 0.144792
Epoch 13/100, running_loss: 7.478949, test_loss: 12.925690, MSE: 12.922028, IC: 0.045614, RIC: 0.010049, Precision@10: 0.160417
Epoch 14/100, running_loss: 7.394775, test_loss: 10.870932, MSE: 10.863727, IC: 0.017332, RIC: 0.016978, Precision@10: 0.175000
Epoch 15/100, running_loss: 7.465127, test_loss: 10.271622, MSE: 10.262361, IC: 0.008158, RIC: 0.041373, Precision@10: 0.190625
Epoch 16/100, running_loss: 7.529281, test_loss: 11.352948, MSE: 11.343826, IC: 0.029034, RIC: 0.036612, Precision@10: 0.154167
Epoch 17/100, running_loss: 7.376316, test_loss: 9.498298, MSE: 9.490869, IC: 0.020279, RIC: 0.022598, Precision@10: 0.152083
Best model saved at epoch 17 with test_loss: 9.498298
Epoch 18/100, running_loss: 7.562115, test_loss: 12.277545, MSE: 12.269435, IC: 0.022490, RIC: 0.009762, Precision@10: 0.164583
Epoch 19/100, running_loss: 7.536490, test_loss: 17.771329, MSE: 17.754082, IC: 0.022477, RIC: -0.017614, Precision@10: 0.168750
Epoch 20/100, running_loss: 7.471644, test_loss: 13.044420, MSE: 13.021767, IC: 0.038922, RIC: 0.035160, Precision@10: 0.193750
Epoch 21/100, running_loss: 7.396478, test_loss: 12.516212, MSE: 12.508354, IC: 0.008975, RIC: -0.002214, Precision@10: 0.162500
Epoch 22/100, running_loss: 7.450479, test_loss: 12.418112, MSE: 12.406232, IC: 0.035537, RIC: 0.025650, Precision@10: 0.158333
Epoch 23/100, running_loss: 7.477487, test_loss: 12.002261, MSE: 11.992092, IC: 0.023908, RIC: 0.014047, Precision@10: 0.165625
Epoch 24/100, running_loss: 7.407624, test_loss: 12.464577, MSE: 12.453911, IC: 0.038772, RIC: -0.014999, Precision@10: 0.159375
Epoch 25/100, running_loss: 7.483525, test_loss: 10.267178, MSE: 10.248330, IC: 0.019242, RIC: 0.000670, Precision@10: 0.159375
Epoch 26/100, running_loss: 7.419555, test_loss: 9.607986, MSE: 9.599378, IC: 0.036487, RIC: 0.036810, Precision@10: 0.166667
Epoch 27/100, running_loss: 7.342834, test_loss: 9.515343, MSE: 9.498568, IC: 0.011477, RIC: -0.000059, Precision@10: 0.179167
Epoch 28/100, running_loss: 7.596819, test_loss: 9.864321, MSE: 9.853412, IC: 0.024348, RIC: 0.017554, Precision@10: 0.154167
Epoch 29/100, running_loss: 7.464541, test_loss: 10.151190, MSE: 10.139688, IC: 0.053449, RIC: 0.038445, Precision@10: 0.171875
Epoch 30/100, running_loss: 7.368271, test_loss: 10.500574, MSE: 10.488178, IC: 0.032830, RIC: -0.003807, Precision@10: 0.189583
Epoch 31/100, running_loss: 7.443876, test_loss: 10.569187, MSE: 10.552178, IC: 0.038785, RIC: 0.038653, Precision@10: 0.159375
Epoch 32/100, running_loss: 7.354798, test_loss: 10.137148, MSE: 10.126155, IC: 0.033990, RIC: 0.035771, Precision@10: 0.145833
Epoch 33/100, running_loss: 7.486985, test_loss: 9.268993, MSE: 9.250894, IC: 0.018702, RIC: -0.017898, Precision@10: 0.172917
Best model saved at epoch 33 with test_loss: 9.268993
Epoch 34/100, running_loss: 7.456985, test_loss: 14.859494, MSE: 14.844822, IC: 0.058081, RIC: 0.031635, Precision@10: 0.157292
Epoch 35/100, running_loss: 8.045531, test_loss: 11.088201, MSE: 11.075036, IC: 0.059303, RIC: 0.009776, Precision@10: 0.173958
Epoch 36/100, running_loss: 7.390315, test_loss: 12.664617, MSE: 12.651299, IC: 0.029118, RIC: 0.005040, Precision@10: 0.182292
