train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 8.821160, test_loss: 11.460954, MSE: 11.033978, IC: 0.040097, RIC: 0.024404, Precision@10: 0.148958
Best model saved at epoch 1 with test_loss: 11.460954
Epoch 2/100, running_loss: 7.622293, test_loss: 12.823497, MSE: 12.593955, IC: -0.021325, RIC: -0.009986, Precision@10: 0.147917
Epoch 3/100, running_loss: 7.656359, test_loss: 9.786741, MSE: 9.666614, IC: -0.019330, RIC: 0.003556, Precision@10: 0.118750
Best model saved at epoch 3 with test_loss: 9.786741
Epoch 4/100, running_loss: 7.541571, test_loss: 12.630949, MSE: 12.537300, IC: 0.008501, RIC: 0.014483, Precision@10: 0.153125
Epoch 5/100, running_loss: 7.678199, test_loss: 14.553224, MSE: 14.474435, IC: -0.022167, RIC: -0.014553, Precision@10: 0.109375
Epoch 6/100, running_loss: 7.674899, test_loss: 10.037526, MSE: 9.969525, IC: -0.002712, RIC: 0.001920, Precision@10: 0.125000
Epoch 7/100, running_loss: 7.430793, test_loss: 11.905495, MSE: 11.872355, IC: 0.001226, RIC: 0.006561, Precision@10: 0.112500
Epoch 8/100, running_loss: 7.419231, test_loss: 9.452157, MSE: 9.422132, IC: 0.021500, RIC: 0.010363, Precision@10: 0.142708
Best model saved at epoch 8 with test_loss: 9.452157
Epoch 9/100, running_loss: 7.509259, test_loss: 10.382598, MSE: 10.337630, IC: 0.021518, RIC: 0.026325, Precision@10: 0.130208
Epoch 10/100, running_loss: 7.399604, test_loss: 9.902168, MSE: 9.869502, IC: -0.012991, RIC: -0.005615, Precision@10: 0.133333
Epoch 11/100, running_loss: 7.561483, test_loss: 9.779640, MSE: 9.762807, IC: -0.011050, RIC: -0.011674, Precision@10: 0.138542
Epoch 12/100, running_loss: 7.633706, test_loss: 10.569589, MSE: 10.552035, IC: -0.000420, RIC: 0.008132, Precision@10: 0.165625
Epoch 13/100, running_loss: 7.439862, test_loss: 9.674796, MSE: 9.662498, IC: 0.008893, RIC: 0.005749, Precision@10: 0.134375
Epoch 14/100, running_loss: 7.401982, test_loss: 9.619206, MSE: 9.605628, IC: 0.007151, RIC: 0.017758, Precision@10: 0.119792
Epoch 15/100, running_loss: 7.455731, test_loss: 13.080388, MSE: 13.063436, IC: 0.031056, RIC: 0.026016, Precision@10: 0.146875
Epoch 16/100, running_loss: 7.378378, test_loss: 16.591962, MSE: 16.572168, IC: 0.001191, RIC: 0.000803, Precision@10: 0.127083
