train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 8.284906, test_loss: 10.028362, MSE: 9.904166, IC: 0.040361, RIC: 0.023081, Precision@10: 0.196875
Best model saved at epoch 1 with test_loss: 10.028362
Epoch 2/100, running_loss: 7.421120, test_loss: 12.170496, MSE: 12.138478, IC: -0.018466, RIC: -0.016418, Precision@10: 0.134375
Epoch 3/100, running_loss: 7.940925, test_loss: 9.404579, MSE: 9.393260, IC: 0.017578, RIC: 0.017458, Precision@10: 0.078125
Best model saved at epoch 3 with test_loss: 9.404579
Epoch 4/100, running_loss: 7.393360, test_loss: 11.389727, MSE: 11.386475, IC: 0.017068, RIC: 0.034353, Precision@10: 0.129167
Epoch 5/100, running_loss: 7.474536, test_loss: 9.967784, MSE: 9.965669, IC: -0.007817, RIC: -0.001764, Precision@10: 0.082292
Epoch 6/100, running_loss: 7.430388, test_loss: 9.194499, MSE: 9.185870, IC: -0.014465, RIC: -0.006012, Precision@10: 0.138542
Best model saved at epoch 6 with test_loss: 9.194499
Epoch 7/100, running_loss: 7.715529, test_loss: 11.780963, MSE: 11.763692, IC: -0.001426, RIC: -0.006376, Precision@10: 0.147917
Epoch 8/100, running_loss: 7.457373, test_loss: 10.557584, MSE: 10.537185, IC: 0.025159, RIC: 0.024728, Precision@10: 0.160417
Epoch 9/100, running_loss: 7.411707, test_loss: 11.101876, MSE: 11.088466, IC: -0.009907, RIC: 0.000803, Precision@10: 0.114583
Epoch 10/100, running_loss: 7.612515, test_loss: 10.523044, MSE: 10.517548, IC: 0.016337, RIC: 0.025832, Precision@10: 0.105208
Epoch 11/100, running_loss: 7.431360, test_loss: 14.490651, MSE: 14.489285, IC: 0.040787, RIC: 0.010912, Precision@10: 0.187500
Epoch 12/100, running_loss: 7.338319, test_loss: 9.343147, MSE: 9.340090, IC: -0.012606, RIC: -0.016422, Precision@10: 0.092708
Epoch 13/100, running_loss: 7.391782, test_loss: 9.475213, MSE: 9.474471, IC: 0.017507, RIC: 0.013194, Precision@10: 0.192708
Epoch 14/100, running_loss: 7.485055, test_loss: 12.546115, MSE: 12.545672, IC: -0.008722, RIC: -0.018155, Precision@10: 0.127083
Epoch 15/100, running_loss: 7.576437, test_loss: 9.872975, MSE: 9.871922, IC: 0.045635, RIC: 0.023980, Precision@10: 0.142708
Epoch 16/100, running_loss: 7.459243, test_loss: 9.550728, MSE: 9.550115, IC: -0.013974, RIC: -0.029158, Precision@10: 0.113542
Epoch 17/100, running_loss: 7.444312, test_loss: 10.026187, MSE: 10.025524, IC: -0.011547, RIC: -0.000274, Precision@10: 0.123958
Epoch 18/100, running_loss: 7.425323, test_loss: 13.208505, MSE: 13.162300, IC: 0.016529, RIC: 0.018821, Precision@10: 0.105208
Epoch 19/100, running_loss: 7.530935, test_loss: 10.346805, MSE: 10.233848, IC: -0.000381, RIC: -0.006906, Precision@10: 0.168750
Epoch 20/100, running_loss: 7.415354, test_loss: 9.829016, MSE: 9.768496, IC: 0.036534, RIC: 0.030222, Precision@10: 0.182292
Epoch 21/100, running_loss: 7.445673, test_loss: 9.164737, MSE: 9.158382, IC: -0.010566, RIC: -0.007458, Precision@10: 0.107292
Best model saved at epoch 21 with test_loss: 9.164737
Epoch 22/100, running_loss: 7.456131, test_loss: 11.434882, MSE: 11.418797, IC: 0.023730, RIC: 0.007240, Precision@10: 0.107292
Epoch 23/100, running_loss: 7.474816, test_loss: 10.786896, MSE: 10.772125, IC: 0.007512, RIC: 0.015911, Precision@10: 0.122917
Epoch 24/100, running_loss: 7.392678, test_loss: 9.659575, MSE: 9.649047, IC: -0.014249, RIC: -0.020006, Precision@10: 0.118750
Epoch 25/100, running_loss: 7.920933, test_loss: 12.153328, MSE: 12.137967, IC: -0.026188, RIC: -0.022690, Precision@10: 0.091667
Epoch 26/100, running_loss: 7.474533, test_loss: 10.338540, MSE: 10.292496, IC: -0.029219, RIC: -0.007423, Precision@10: 0.101042
Epoch 27/100, running_loss: 7.963313, test_loss: 9.367295, MSE: 9.317346, IC: -0.009025, RIC: -0.029158, Precision@10: 0.146875
Epoch 28/100, running_loss: 7.455164, test_loss: 9.948560, MSE: 9.913813, IC: -0.014577, RIC: 0.005844, Precision@10: 0.137500
Epoch 29/100, running_loss: 7.452675, test_loss: 10.389536, MSE: 10.356912, IC: -0.030659, RIC: -0.023043, Precision@10: 0.104167
Epoch 30/100, running_loss: 7.652681, test_loss: 13.976531, MSE: 13.971046, IC: -0.029745, RIC: -0.024942, Precision@10: 0.144792
Epoch 31/100, running_loss: 7.495112, test_loss: 9.812861, MSE: 9.794570, IC: 0.016317, RIC: 0.006936, Precision@10: 0.141667
Epoch 32/100, running_loss: 7.413779, test_loss: 10.048531, MSE: 10.040987, IC: 0.001292, RIC: -0.001007, Precision@10: 0.116667
Epoch 33/100, running_loss: 7.703688, test_loss: 12.077091, MSE: 12.073155, IC: 0.008456, RIC: 0.003570, Precision@10: 0.151042
Epoch 34/100, running_loss: 7.544805, test_loss: 10.336523, MSE: 10.327046, IC: 0.011271, RIC: 0.018284, Precision@10: 0.098958
Epoch 35/100, running_loss: 7.367920, test_loss: 10.048540, MSE: 10.020752, IC: 0.006355, RIC: -0.001839, Precision@10: 0.185417
Epoch 36/100, running_loss: 7.470601, test_loss: 13.367819, MSE: 13.350509, IC: 0.002454, RIC: 0.007777, Precision@10: 0.163542
Epoch 37/100, running_loss: 7.523166, test_loss: 13.535617, MSE: 13.529513, IC: -0.010857, RIC: -0.035289, Precision@10: 0.167708
Epoch 38/100, running_loss: 7.433450, test_loss: 9.828274, MSE: 9.819300, IC: 0.002319, RIC: -0.003118, Precision@10: 0.131250
Epoch 39/100, running_loss: 7.440493, test_loss: 11.183226, MSE: 11.161418, IC: -0.007619, RIC: -0.006385, Precision@10: 0.138542
Epoch 40/100, running_loss: 7.578049, test_loss: 11.837665, MSE: 11.793843, IC: -0.002591, RIC: 0.003098, Precision@10: 0.165625
Epoch 41/100, running_loss: 7.417487, test_loss: 11.571739, MSE: 11.551327, IC: -0.001147, RIC: -0.010803, Precision@10: 0.121875
Epoch 42/100, running_loss: 7.432131, test_loss: 11.099515, MSE: 11.026448, IC: 0.006038, RIC: 0.016354, Precision@10: 0.109375
Epoch 43/100, running_loss: 7.450328, test_loss: 14.929737, MSE: 14.912999, IC: 0.015903, RIC: 0.006517, Precision@10: 0.180208
Epoch 44/100, running_loss: 7.472210, test_loss: 11.753442, MSE: 11.680165, IC: 0.024720, RIC: 0.017267, Precision@10: 0.146875
Epoch 45/100, running_loss: 7.570525, test_loss: 11.052915, MSE: 11.022807, IC: 0.022932, RIC: 0.021924, Precision@10: 0.166667
Epoch 46/100, running_loss: 7.460803, test_loss: 14.528634, MSE: 14.521594, IC: -0.000399, RIC: -0.001996, Precision@10: 0.137500
Epoch 47/100, running_loss: 7.483998, test_loss: 10.479421, MSE: 10.455928, IC: -0.024661, RIC: -0.015523, Precision@10: 0.108333
Epoch 48/100, running_loss: 8.638462, test_loss: 10.057870, MSE: 10.027852, IC: -0.000302, RIC: -0.001831, Precision@10: 0.138542
Epoch 49/100, running_loss: 7.877425, test_loss: 15.661960, MSE: 15.632680, IC: 0.004728, RIC: 0.002105, Precision@10: 0.156250
Epoch 50/100, running_loss: 8.542242, test_loss: 13.933770, MSE: 13.901917, IC: -0.011087, RIC: -0.005372, Precision@10: 0.126042
Epoch 51/100, running_loss: 7.525289, test_loss: 13.601531, MSE: 13.574687, IC: 0.003640, RIC: 0.004321, Precision@10: 0.118750
Epoch 52/100, running_loss: 7.411052, test_loss: 9.940623, MSE: 9.934216, IC: 0.015558, RIC: 0.021815, Precision@10: 0.144792
Epoch 53/100, running_loss: 7.458094, test_loss: 11.142507, MSE: 11.130051, IC: 0.012239, RIC: -0.014347, Precision@10: 0.123958
Epoch 54/100, running_loss: 7.466369, test_loss: 9.941288, MSE: 9.937098, IC: -0.003133, RIC: -0.012650, Precision@10: 0.173958
Epoch 55/100, running_loss: 7.416620, test_loss: 9.803076, MSE: 9.800889, IC: -0.026683, RIC: -0.034808, Precision@10: 0.104167
Epoch 56/100, running_loss: 7.529072, test_loss: 13.339273, MSE: 13.336381, IC: 0.007734, RIC: 0.006317, Precision@10: 0.129167
Epoch 57/100, running_loss: 7.451885, test_loss: 10.144247, MSE: 10.141406, IC: 0.013145, RIC: 0.020076, Precision@10: 0.138542
Epoch 58/100, running_loss: 7.366649, test_loss: 14.575437, MSE: 14.572515, IC: 0.008138, RIC: 0.017670, Precision@10: 0.148958
Epoch 59/100, running_loss: 7.378212, test_loss: 10.524469, MSE: 10.520497, IC: -0.040608, RIC: -0.056114, Precision@10: 0.138542
Epoch 60/100, running_loss: 7.519004, test_loss: 13.189518, MSE: 13.187200, IC: -0.006206, RIC: -0.007810, Precision@10: 0.147917
Epoch 61/100, running_loss: 7.432792, test_loss: 10.828160, MSE: 10.821383, IC: 0.012341, RIC: 0.026195, Precision@10: 0.144792
Epoch 62/100, running_loss: 7.476250, test_loss: 10.827832, MSE: 10.818824, IC: -0.004882, RIC: -0.004005, Precision@10: 0.144792
Epoch 63/100, running_loss: 7.387790, test_loss: 10.505883, MSE: 10.460168, IC: 0.012415, RIC: -0.007890, Precision@10: 0.169792
Epoch 64/100, running_loss: 7.523492, test_loss: 10.149886, MSE: 10.126722, IC: -0.025215, RIC: 0.007235, Precision@10: 0.110417
Epoch 65/100, running_loss: 7.367803, test_loss: 10.681959, MSE: 10.678097, IC: 0.015695, RIC: 0.022517, Precision@10: 0.132292
Epoch 66/100, running_loss: 7.438437, test_loss: 10.591692, MSE: 10.587924, IC: -0.009437, RIC: -0.012787, Precision@10: 0.118750
Epoch 67/100, running_loss: 7.411415, test_loss: 11.885493, MSE: 11.883519, IC: 0.001679, RIC: 0.001015, Precision@10: 0.120833
Epoch 68/100, running_loss: 7.581217, test_loss: 10.625579, MSE: 10.624603, IC: -0.019766, RIC: -0.005052, Precision@10: 0.098958
Epoch 69/100, running_loss: 7.450223, test_loss: 10.207634, MSE: 10.201241, IC: 0.007825, RIC: 0.006127, Precision@10: 0.148958
Epoch 70/100, running_loss: 7.714444, test_loss: 11.657720, MSE: 11.654213, IC: 0.015656, RIC: 0.019984, Precision@10: 0.167708
Epoch 71/100, running_loss: 7.388311, test_loss: 12.721117, MSE: 12.716331, IC: -0.002009, RIC: -0.011245, Precision@10: 0.207292
Epoch 72/100, running_loss: 7.399231, test_loss: 11.310993, MSE: 11.308858, IC: -0.000649, RIC: 0.003304, Precision@10: 0.136458
Epoch 73/100, running_loss: 7.394897, test_loss: 15.299316, MSE: 15.297768, IC: 0.018306, RIC: -0.004539, Precision@10: 0.152083
Epoch 74/100, running_loss: 7.592072, test_loss: 11.540425, MSE: 11.540019, IC: -0.010649, RIC: -0.010067, Precision@10: 0.140625
Epoch 75/100, running_loss: 7.431268, test_loss: 12.320099, MSE: 12.318675, IC: -0.004479, RIC: -0.004259, Precision@10: 0.134375
Epoch 76/100, running_loss: 8.006236, test_loss: 9.234148, MSE: 9.232677, IC: 0.012757, RIC: 0.007145, Precision@10: 0.192708
Epoch 77/100, running_loss: 7.438490, test_loss: 12.933124, MSE: 12.930111, IC: 0.003029, RIC: 0.006599, Precision@10: 0.150000
Epoch 78/100, running_loss: 7.551408, test_loss: 14.175614, MSE: 14.169094, IC: 0.007059, RIC: 0.012918, Precision@10: 0.162500
