train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 8.361763, test_loss: 11.356331, MSE: 11.204078, IC: 0.006412, RIC: 0.000384, Precision@10: 0.116667
Best model saved at epoch 1 with test_loss: 11.356331
Epoch 2/100, running_loss: 8.012910, test_loss: 12.238036, MSE: 12.174561, IC: 0.030687, RIC: 0.026617, Precision@10: 0.146875
Epoch 3/100, running_loss: 7.436316, test_loss: 9.673599, MSE: 9.644399, IC: 0.022167, RIC: 0.019820, Precision@10: 0.113542
Best model saved at epoch 3 with test_loss: 9.673599
Epoch 4/100, running_loss: 7.370936, test_loss: 9.919004, MSE: 9.898595, IC: 0.031568, RIC: 0.031455, Precision@10: 0.146875
Epoch 5/100, running_loss: 7.384921, test_loss: 10.564805, MSE: 10.547093, IC: 0.000091, RIC: -0.012515, Precision@10: 0.107292
Epoch 6/100, running_loss: 7.435471, test_loss: 11.430639, MSE: 11.423111, IC: 0.027776, RIC: 0.038746, Precision@10: 0.109375
Epoch 7/100, running_loss: 7.390542, test_loss: 10.031134, MSE: 10.025886, IC: -0.005539, RIC: -0.002367, Precision@10: 0.105208
Epoch 8/100, running_loss: 7.467171, test_loss: 13.477910, MSE: 13.473166, IC: -0.009694, RIC: 0.001223, Precision@10: 0.114583
Epoch 9/100, running_loss: 7.434822, test_loss: 10.025351, MSE: 10.024606, IC: -0.004514, RIC: -0.008468, Precision@10: 0.117708
Epoch 10/100, running_loss: 7.511959, test_loss: 11.153423, MSE: 11.151118, IC: -0.019831, RIC: 0.004778, Precision@10: 0.094792
Epoch 11/100, running_loss: 7.350717, test_loss: 10.315590, MSE: 10.314465, IC: 0.023820, RIC: 0.024179, Precision@10: 0.148958
Epoch 12/100, running_loss: 7.430063, test_loss: 10.354377, MSE: 10.354033, IC: 0.043822, RIC: 0.034147, Precision@10: 0.139583
Epoch 13/100, running_loss: 7.478043, test_loss: 12.950485, MSE: 12.950305, IC: -0.007462, RIC: 0.005493, Precision@10: 0.123958
Epoch 14/100, running_loss: 7.389556, test_loss: 10.860387, MSE: 10.860288, IC: 0.014259, RIC: -0.018727, Precision@10: 0.136458
Epoch 15/100, running_loss: 7.464948, test_loss: 10.261965, MSE: 10.261931, IC: -0.009632, RIC: -0.035082, Precision@10: 0.157292
Epoch 16/100, running_loss: 7.522947, test_loss: 11.366725, MSE: 11.366664, IC: 0.013164, RIC: -0.005970, Precision@10: 0.137500
Epoch 17/100, running_loss: 7.377071, test_loss: 9.496894, MSE: 9.496886, IC: -0.018746, RIC: -0.014287, Precision@10: 0.150000
Best model saved at epoch 17 with test_loss: 9.496894
Epoch 18/100, running_loss: 7.559104, test_loss: 12.311929, MSE: 12.311810, IC: -0.000279, RIC: 0.006560, Precision@10: 0.134375
Epoch 19/100, running_loss: 7.534959, test_loss: 17.728587, MSE: 17.728550, IC: -0.009043, RIC: 0.000694, Precision@10: 0.063542
Epoch 20/100, running_loss: 7.443121, test_loss: 13.231571, MSE: 13.231564, IC: -0.004506, RIC: 0.024189, Precision@10: 0.126042
Epoch 21/100, running_loss: 7.375512, test_loss: 12.492653, MSE: 12.492551, IC: 0.013881, RIC: 0.017303, Precision@10: 0.119792
Epoch 22/100, running_loss: 7.444981, test_loss: 12.403217, MSE: 12.403066, IC: 0.018209, RIC: 0.008829, Precision@10: 0.120833
Epoch 23/100, running_loss: 7.478006, test_loss: 12.020037, MSE: 12.018872, IC: -0.028832, RIC: -0.012267, Precision@10: 0.080208
Epoch 24/100, running_loss: 7.418979, test_loss: 12.478568, MSE: 12.478545, IC: 0.012386, RIC: 0.012696, Precision@10: 0.133333
Epoch 25/100, running_loss: 7.487107, test_loss: 10.296026, MSE: 10.295968, IC: -0.028787, RIC: -0.018108, Precision@10: 0.106250
Epoch 26/100, running_loss: 7.419771, test_loss: 9.595718, MSE: 9.593084, IC: 0.000383, RIC: 0.005286, Precision@10: 0.128125
Epoch 27/100, running_loss: 7.329889, test_loss: 9.544955, MSE: 9.540875, IC: 0.014210, RIC: 0.022601, Precision@10: 0.134375
Epoch 28/100, running_loss: 7.593410, test_loss: 9.880010, MSE: 9.877561, IC: 0.012991, RIC: 0.009806, Precision@10: 0.150000
Epoch 29/100, running_loss: 7.473249, test_loss: 10.178569, MSE: 10.178341, IC: 0.030917, RIC: 0.020262, Precision@10: 0.189583
Epoch 30/100, running_loss: 7.377339, test_loss: 10.555851, MSE: 10.555758, IC: 0.022529, RIC: 0.021731, Precision@10: 0.129167
Epoch 31/100, running_loss: 7.458413, test_loss: 10.460573, MSE: 10.457950, IC: 0.012697, RIC: 0.035660, Precision@10: 0.092708
Epoch 32/100, running_loss: 7.335542, test_loss: 10.191502, MSE: 10.190816, IC: 0.009192, RIC: -0.000225, Precision@10: 0.113542
