train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 8.257677, test_loss: 11.324235, MSE: 11.091781, IC: -0.008829, RIC: -0.026345, Precision@10: 0.121875
Best model saved at epoch 1 with test_loss: 11.324235
Epoch 2/100, running_loss: 7.482412, test_loss: 12.691913, MSE: 12.628531, IC: -0.040087, RIC: -0.042123, Precision@10: 0.105208
Epoch 3/100, running_loss: 7.554341, test_loss: 9.704350, MSE: 9.682717, IC: -0.022789, RIC: -0.023398, Precision@10: 0.139583
Best model saved at epoch 3 with test_loss: 9.704350
Epoch 4/100, running_loss: 7.476977, test_loss: 12.554401, MSE: 12.534088, IC: -0.002278, RIC: -0.018870, Precision@10: 0.142708
Epoch 5/100, running_loss: 7.619656, test_loss: 14.476024, MSE: 14.472149, IC: -0.018372, RIC: -0.003780, Precision@10: 0.092708
Epoch 6/100, running_loss: 7.627229, test_loss: 9.963126, MSE: 9.962382, IC: -0.029441, RIC: -0.027410, Precision@10: 0.121875
Epoch 7/100, running_loss: 7.393526, test_loss: 11.880850, MSE: 11.880620, IC: 0.028088, RIC: 0.032779, Precision@10: 0.127083
Epoch 8/100, running_loss: 7.394402, test_loss: 9.439324, MSE: 9.439091, IC: -0.000667, RIC: 0.002811, Precision@10: 0.114583
Best model saved at epoch 8 with test_loss: 9.439324
Epoch 9/100, running_loss: 7.489360, test_loss: 10.337279, MSE: 10.337032, IC: -0.000748, RIC: -0.003264, Precision@10: 0.142708
Epoch 10/100, running_loss: 7.362471, test_loss: 9.868267, MSE: 9.867364, IC: -0.012000, RIC: -0.010559, Precision@10: 0.115625
Epoch 11/100, running_loss: 7.541560, test_loss: 9.764060, MSE: 9.762855, IC: -0.025628, RIC: -0.029179, Precision@10: 0.117708
Epoch 12/100, running_loss: 7.623487, test_loss: 10.567715, MSE: 10.567525, IC: -0.019597, RIC: -0.024520, Precision@10: 0.170833
Epoch 13/100, running_loss: 7.436145, test_loss: 9.665219, MSE: 9.663796, IC: 0.017985, RIC: 0.004365, Precision@10: 0.119792
Epoch 14/100, running_loss: 7.387293, test_loss: 9.605494, MSE: 9.604566, IC: -0.026009, RIC: -0.038965, Precision@10: 0.122917
Epoch 15/100, running_loss: 7.443652, test_loss: 13.056474, MSE: 13.055614, IC: 0.006283, RIC: 0.012771, Precision@10: 0.123958
Epoch 16/100, running_loss: 7.361482, test_loss: 16.585246, MSE: 16.584671, IC: 0.005105, RIC: -0.003702, Precision@10: 0.172917
Epoch 17/100, running_loss: 7.375285, test_loss: 11.162207, MSE: 11.161572, IC: -0.006179, RIC: -0.009420, Precision@10: 0.133333
Epoch 18/100, running_loss: 7.437157, test_loss: 12.037179, MSE: 12.036946, IC: 0.019998, RIC: 0.016896, Precision@10: 0.108333
Epoch 19/100, running_loss: 7.472575, test_loss: 11.512121, MSE: 11.511792, IC: 0.002489, RIC: 0.004951, Precision@10: 0.111458
Epoch 20/100, running_loss: 7.383786, test_loss: 11.853223, MSE: 11.853008, IC: -0.015364, RIC: -0.005923, Precision@10: 0.103125
Epoch 21/100, running_loss: 7.401067, test_loss: 13.030690, MSE: 13.030601, IC: -0.005232, RIC: 0.016179, Precision@10: 0.096875
