train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 8.552948, test_loss: 12.627420, MSE: 12.595075, IC: 0.017343, RIC: 0.002292, Precision@10: 0.109375
Best model saved at epoch 1 with test_loss: 12.627420
Epoch 2/100, running_loss: 8.840862, test_loss: 14.052729, MSE: 14.041413, IC: 0.019852, RIC: 0.012183, Precision@10: 0.131250
Epoch 3/100, running_loss: 8.350788, test_loss: 10.801926, MSE: 10.791894, IC: -0.022598, RIC: -0.019967, Precision@10: 0.115625
Best model saved at epoch 3 with test_loss: 10.801926
Epoch 4/100, running_loss: 8.307390, test_loss: 11.819738, MSE: 11.799987, IC: 0.023136, RIC: 0.022797, Precision@10: 0.144792
Epoch 5/100, running_loss: 8.306624, test_loss: 11.987802, MSE: 11.843452, IC: 0.016263, RIC: -0.005058, Precision@10: 0.173958
Epoch 6/100, running_loss: 8.338967, test_loss: 13.081432, MSE: 12.426814, IC: 0.028271, RIC: 0.008409, Precision@10: 0.150000
Epoch 7/100, running_loss: 8.227434, test_loss: 11.655652, MSE: 10.685657, IC: -0.015123, RIC: -0.027359, Precision@10: 0.148958
Epoch 8/100, running_loss: 8.127009, test_loss: 15.193313, MSE: 13.550010, IC: 0.032087, RIC: -0.003370, Precision@10: 0.177083
Epoch 9/100, running_loss: 8.043158, test_loss: 11.618433, MSE: 10.313260, IC: 0.018389, RIC: -0.004489, Precision@10: 0.187500
Epoch 10/100, running_loss: 8.005196, test_loss: 12.921931, MSE: 11.266941, IC: 0.001703, RIC: -0.035006, Precision@10: 0.179167
Epoch 11/100, running_loss: 7.708185, test_loss: 12.061219, MSE: 10.402569, IC: 0.023753, RIC: -0.014385, Precision@10: 0.190625
Epoch 12/100, running_loss: 7.754537, test_loss: 12.392033, MSE: 10.424882, IC: 0.008907, RIC: -0.014004, Precision@10: 0.155208
Epoch 13/100, running_loss: 7.699261, test_loss: 15.079652, MSE: 12.771350, IC: 0.028688, RIC: 0.003902, Precision@10: 0.188542
Epoch 14/100, running_loss: 7.570083, test_loss: 12.924198, MSE: 10.976265, IC: 0.002581, RIC: -0.008352, Precision@10: 0.176042
Epoch 15/100, running_loss: 7.538638, test_loss: 12.631426, MSE: 10.425553, IC: -0.038500, RIC: -0.057062, Precision@10: 0.137500
Epoch 16/100, running_loss: 7.557218, test_loss: 13.640713, MSE: 11.617757, IC: -0.030549, RIC: -0.053147, Precision@10: 0.141667
Epoch 17/100, running_loss: 7.325532, test_loss: 11.470721, MSE: 9.743531, IC: -0.029288, RIC: -0.042327, Precision@10: 0.146875
Epoch 18/100, running_loss: 7.438851, test_loss: 14.911677, MSE: 13.006149, IC: -0.024386, RIC: -0.041923, Precision@10: 0.159375
Epoch 19/100, running_loss: 7.321440, test_loss: 20.345463, MSE: 18.852861, IC: 0.012082, RIC: 0.007123, Precision@10: 0.147917
Epoch 20/100, running_loss: 7.150706, test_loss: 16.487293, MSE: 14.294950, IC: -0.010635, RIC: -0.028733, Precision@10: 0.129167
Epoch 21/100, running_loss: 6.973793, test_loss: 14.930729, MSE: 13.104625, IC: 0.045936, RIC: 0.035377, Precision@10: 0.165625
Epoch 22/100, running_loss: 6.970230, test_loss: 15.546152, MSE: 13.593301, IC: 0.026604, RIC: 0.002632, Precision@10: 0.137500
Epoch 23/100, running_loss: 7.003967, test_loss: 15.496502, MSE: 13.541690, IC: -0.006660, RIC: -0.032051, Precision@10: 0.143750
Epoch 24/100, running_loss: 6.813597, test_loss: 15.930253, MSE: 14.093444, IC: 0.031198, RIC: 0.032989, Precision@10: 0.148958
Epoch 25/100, running_loss: 6.639106, test_loss: 14.675032, MSE: 12.230034, IC: 0.028313, RIC: 0.013341, Precision@10: 0.160417
Epoch 26/100, running_loss: 6.534018, test_loss: 13.818732, MSE: 11.673394, IC: 0.047794, RIC: 0.050082, Precision@10: 0.164583
