train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 8.551186, test_loss: 12.622655, MSE: 12.596778, IC: 0.013855, RIC: -0.000184, Precision@10: 0.108333
Best model saved at epoch 1 with test_loss: 12.622655
Epoch 2/100, running_loss: 8.840233, test_loss: 14.053211, MSE: 14.041415, IC: 0.023050, RIC: 0.017635, Precision@10: 0.145833
Epoch 3/100, running_loss: 8.350630, test_loss: 10.801618, MSE: 10.792900, IC: -0.016206, RIC: -0.012221, Precision@10: 0.106250
Best model saved at epoch 3 with test_loss: 10.801618
Epoch 4/100, running_loss: 8.308224, test_loss: 11.821403, MSE: 11.810536, IC: 0.029864, RIC: 0.029270, Precision@10: 0.127083
Epoch 5/100, running_loss: 8.309838, test_loss: 11.987730, MSE: 11.969810, IC: 0.014700, RIC: 0.004931, Precision@10: 0.153125
Epoch 6/100, running_loss: 8.387101, test_loss: 13.323749, MSE: 13.275311, IC: 0.023427, RIC: 0.004816, Precision@10: 0.158333
Epoch 7/100, running_loss: 8.326003, test_loss: 11.696679, MSE: 10.993561, IC: -0.021922, RIC: -0.033390, Precision@10: 0.140625
Epoch 8/100, running_loss: 8.379218, test_loss: 15.207588, MSE: 14.358147, IC: 0.031690, RIC: -0.000917, Precision@10: 0.179167
Epoch 9/100, running_loss: 8.259738, test_loss: 11.582665, MSE: 10.927979, IC: 0.025425, RIC: 0.009193, Precision@10: 0.165625
Epoch 10/100, running_loss: 8.297898, test_loss: 12.641263, MSE: 11.823033, IC: -0.046448, RIC: -0.069710, Precision@10: 0.141667
Epoch 11/100, running_loss: 7.948126, test_loss: 11.863678, MSE: 10.574937, IC: 0.011241, RIC: -0.009882, Precision@10: 0.186458
Epoch 12/100, running_loss: 8.001134, test_loss: 12.033403, MSE: 10.569820, IC: 0.010330, RIC: -0.005732, Precision@10: 0.151042
Epoch 13/100, running_loss: 7.925003, test_loss: 15.011827, MSE: 12.996808, IC: 0.026982, RIC: 0.009295, Precision@10: 0.173958
Epoch 14/100, running_loss: 7.867572, test_loss: 12.735154, MSE: 11.044141, IC: 0.020012, RIC: 0.004085, Precision@10: 0.168750
Epoch 15/100, running_loss: 7.854669, test_loss: 12.303415, MSE: 10.335709, IC: -0.025851, RIC: -0.045186, Precision@10: 0.144792
Epoch 16/100, running_loss: 7.913154, test_loss: 13.531849, MSE: 11.482093, IC: -0.008510, RIC: -0.046361, Precision@10: 0.160417
Epoch 17/100, running_loss: 7.725079, test_loss: 11.407557, MSE: 9.603541, IC: -0.022457, RIC: -0.027367, Precision@10: 0.151042
Epoch 18/100, running_loss: 7.888273, test_loss: 14.545644, MSE: 12.345059, IC: -0.010784, RIC: -0.034135, Precision@10: 0.160417
Epoch 19/100, running_loss: 7.783295, test_loss: 19.886074, MSE: 18.365210, IC: 0.018883, RIC: -0.003238, Precision@10: 0.168750
Epoch 20/100, running_loss: 7.760534, test_loss: 14.928519, MSE: 13.009952, IC: 0.037916, RIC: 0.025268, Precision@10: 0.158333
