train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 4443.886358, test_loss: 14.287512, MSE: 11.266889, IC: -0.014582, RIC: -0.032224, Precision@10: 0.126042
Best model saved at epoch 1 with test_loss: 14.287512
Epoch 2/100, running_loss: 1116.202808, test_loss: 14.089524, MSE: 12.057805, IC: 0.047284, RIC: 0.022907, Precision@10: 0.172917
Best model saved at epoch 2 with test_loss: 14.089524
Epoch 3/100, running_loss: 537.742079, test_loss: 12.072225, MSE: 9.691077, IC: -0.031546, RIC: -0.042877, Precision@10: 0.141667
Best model saved at epoch 3 with test_loss: 12.072225
Epoch 4/100, running_loss: 303.569396, test_loss: 12.105123, MSE: 9.823762, IC: 0.035853, RIC: 0.027565, Precision@10: 0.155208
Epoch 5/100, running_loss: 255.805677, test_loss: 12.903588, MSE: 10.523322, IC: 0.023075, RIC: -0.000718, Precision@10: 0.170833
Epoch 6/100, running_loss: 201.614883, test_loss: 13.449374, MSE: 11.275416, IC: 0.030525, RIC: 0.004919, Precision@10: 0.164583
Epoch 7/100, running_loss: 168.332938, test_loss: 12.288102, MSE: 10.041506, IC: -0.011759, RIC: -0.035732, Precision@10: 0.160417
Epoch 8/100, running_loss: 150.854966, test_loss: 15.693163, MSE: 13.412109, IC: 0.043953, RIC: -0.002135, Precision@10: 0.192708
Epoch 9/100, running_loss: 139.446769, test_loss: 12.090456, MSE: 10.026229, IC: 0.009671, RIC: -0.011864, Precision@10: 0.176042
Epoch 10/100, running_loss: 124.484123, test_loss: 13.326668, MSE: 11.237025, IC: 0.005545, RIC: -0.036495, Precision@10: 0.173958
Epoch 11/100, running_loss: 118.299897, test_loss: 12.713958, MSE: 10.398784, IC: 0.010367, RIC: -0.031651, Precision@10: 0.172917
Epoch 12/100, running_loss: 123.526754, test_loss: 12.576787, MSE: 10.425237, IC: 0.012753, RIC: -0.009297, Precision@10: 0.158333
Epoch 13/100, running_loss: 110.460318, test_loss: 15.187912, MSE: 12.915463, IC: 0.037596, RIC: 0.010728, Precision@10: 0.195833
Epoch 14/100, running_loss: 106.128349, test_loss: 13.396646, MSE: 10.907207, IC: 0.017995, RIC: 0.000618, Precision@10: 0.178125
Epoch 15/100, running_loss: 95.447427, test_loss: 12.823381, MSE: 10.389071, IC: -0.025927, RIC: -0.056619, Precision@10: 0.150000
Epoch 16/100, running_loss: 101.421726, test_loss: 13.738972, MSE: 11.407230, IC: -0.006351, RIC: -0.053325, Precision@10: 0.171875
