train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 3969.906192, test_loss: 1910.336304, MSE: 1677.791382, IC: 0.008869, RIC: -0.001666, Precision@10: 0.137500
Best model saved at epoch 1 with test_loss: 1910.336304
Epoch 2/100, running_loss: 965.191836, test_loss: 1385.150920, MSE: 1197.030273, IC: 0.020401, RIC: -0.002941, Precision@10: 0.172917
Best model saved at epoch 2 with test_loss: 1385.150920
Epoch 3/100, running_loss: 532.861991, test_loss: 1607.495687, MSE: 1402.106445, IC: -0.000954, RIC: -0.023906, Precision@10: 0.164583
Epoch 4/100, running_loss: 332.237069, test_loss: 1393.618245, MSE: 1206.171021, IC: 0.021591, RIC: -0.003520, Precision@10: 0.184375
Epoch 5/100, running_loss: 259.188209, test_loss: 1262.307943, MSE: 1079.740601, IC: 0.015368, RIC: -0.009095, Precision@10: 0.173958
Best model saved at epoch 5 with test_loss: 1262.307943
Epoch 6/100, running_loss: 241.556049, test_loss: 1113.948608, MSE: 939.521484, IC: -0.035164, RIC: -0.056528, Precision@10: 0.156250
Best model saved at epoch 6 with test_loss: 1113.948608
Epoch 7/100, running_loss: 205.354935, test_loss: 1005.500163, MSE: 849.832092, IC: 0.000146, RIC: -0.009407, Precision@10: 0.159375
Best model saved at epoch 7 with test_loss: 1005.500163
Epoch 8/100, running_loss: 205.316836, test_loss: 1280.451945, MSE: 1106.887817, IC: 0.008743, RIC: -0.006419, Precision@10: 0.178125
Epoch 9/100, running_loss: 180.371137, test_loss: 1004.176697, MSE: 842.988098, IC: -0.013916, RIC: -0.030343, Precision@10: 0.146875
Best model saved at epoch 9 with test_loss: 1004.176697
Epoch 10/100, running_loss: 152.873845, test_loss: 1089.717041, MSE: 919.362305, IC: -0.013196, RIC: -0.034240, Precision@10: 0.160417
Epoch 11/100, running_loss: 140.617922, test_loss: 1458.252035, MSE: 1247.778442, IC: -0.053287, RIC: -0.058492, Precision@10: 0.135417
Epoch 12/100, running_loss: 129.571732, test_loss: 1327.238647, MSE: 1137.394043, IC: -0.004908, RIC: -0.029132, Precision@10: 0.156250
Epoch 13/100, running_loss: 120.314258, test_loss: 1578.300212, MSE: 1370.973511, IC: -0.012777, RIC: -0.033363, Precision@10: 0.155208
Epoch 14/100, running_loss: 126.981577, test_loss: 1658.713013, MSE: 1446.159790, IC: -0.022196, RIC: -0.062529, Precision@10: 0.150000
