train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 0.519583, test_loss: 0.250123, MSE: 0.223094, IC: 0.014849, RIC: 0.005909, Precision@10: 0.146875
Best model saved at epoch 1 with test_loss: 0.250123
Epoch 2/100, running_loss: 0.147960, test_loss: 0.172203, MSE: 0.149184, IC: 0.016143, RIC: -0.007240, Precision@10: 0.155208
Best model saved at epoch 2 with test_loss: 0.172203
Epoch 3/100, running_loss: 0.076234, test_loss: 0.172792, MSE: 0.150641, IC: 0.003703, RIC: -0.021413, Precision@10: 0.159375
Epoch 4/100, running_loss: 0.045568, test_loss: 0.175526, MSE: 0.152864, IC: 0.009999, RIC: -0.016930, Precision@10: 0.166667
Epoch 5/100, running_loss: 0.030723, test_loss: 0.178949, MSE: 0.155994, IC: 0.014069, RIC: -0.013860, Precision@10: 0.161458
Epoch 6/100, running_loss: 0.024868, test_loss: 0.176023, MSE: 0.153630, IC: -0.038679, RIC: -0.068318, Precision@10: 0.142708
Epoch 7/100, running_loss: 0.021718, test_loss: 0.197895, MSE: 0.175243, IC: 0.013081, RIC: -0.000075, Precision@10: 0.175000
Epoch 8/100, running_loss: 0.020162, test_loss: 0.229141, MSE: 0.205804, IC: 0.005647, RIC: -0.009419, Precision@10: 0.170833
Epoch 9/100, running_loss: 0.019124, test_loss: 0.182367, MSE: 0.159945, IC: -0.021557, RIC: -0.040138, Precision@10: 0.151042
Epoch 10/100, running_loss: 0.017984, test_loss: 0.190571, MSE: 0.168462, IC: -0.017240, RIC: -0.040665, Precision@10: 0.165625
Epoch 11/100, running_loss: 0.016544, test_loss: 0.200735, MSE: 0.175518, IC: -0.064197, RIC: -0.077277, Precision@10: 0.132292
Epoch 12/100, running_loss: 0.015625, test_loss: 0.227645, MSE: 0.203448, IC: -0.008301, RIC: -0.037215, Precision@10: 0.180208
Epoch 13/100, running_loss: 0.016664, test_loss: 0.195481, MSE: 0.173157, IC: -0.004984, RIC: -0.026452, Precision@10: 0.177083
Epoch 14/100, running_loss: 0.015456, test_loss: 0.228588, MSE: 0.204045, IC: -0.025366, RIC: -0.064025, Precision@10: 0.172917
Epoch 15/100, running_loss: 0.015369, test_loss: 0.214504, MSE: 0.189794, IC: -0.018164, RIC: -0.043155, Precision@10: 0.173958
