train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 0.713462, test_loss: 0.411658, MSE: 0.382416, IC: -0.002743, RIC: 0.000223, Precision@10: 0.118750
Best model saved at epoch 1 with test_loss: 0.411658
Epoch 2/100, running_loss: 0.249240, test_loss: 0.227620, MSE: 0.200541, IC: -0.004967, RIC: -0.003568, Precision@10: 0.128125
Best model saved at epoch 2 with test_loss: 0.227620
Epoch 3/100, running_loss: 0.127085, test_loss: 0.155371, MSE: 0.134688, IC: -0.011633, RIC: -0.025007, Precision@10: 0.140625
Best model saved at epoch 3 with test_loss: 0.155371
Epoch 4/100, running_loss: 0.084990, test_loss: 0.170373, MSE: 0.147604, IC: 0.005737, RIC: -0.009162, Precision@10: 0.158333
Epoch 5/100, running_loss: 0.061573, test_loss: 0.180355, MSE: 0.157817, IC: 0.002797, RIC: -0.017926, Precision@10: 0.157292
Epoch 6/100, running_loss: 0.044217, test_loss: 0.168782, MSE: 0.147063, IC: -0.004206, RIC: -0.023993, Precision@10: 0.163542
Epoch 7/100, running_loss: 0.035831, test_loss: 0.196922, MSE: 0.173505, IC: 0.012414, RIC: -0.012828, Precision@10: 0.158333
Epoch 8/100, running_loss: 0.030877, test_loss: 0.242376, MSE: 0.216598, IC: -0.005323, RIC: -0.029863, Precision@10: 0.165625
Epoch 9/100, running_loss: 0.028524, test_loss: 0.190039, MSE: 0.168644, IC: 0.012260, RIC: -0.013989, Precision@10: 0.175000
Epoch 10/100, running_loss: 0.025275, test_loss: 0.189701, MSE: 0.166198, IC: -0.014143, RIC: -0.040829, Precision@10: 0.173958
Epoch 11/100, running_loss: 0.024197, test_loss: 0.198767, MSE: 0.176519, IC: 0.034106, RIC: 0.009746, Precision@10: 0.168750
Epoch 12/100, running_loss: 0.023072, test_loss: 0.202428, MSE: 0.180607, IC: 0.002585, RIC: -0.017052, Precision@10: 0.159375
Epoch 13/100, running_loss: 0.021836, test_loss: 0.227577, MSE: 0.203770, IC: 0.003385, RIC: -0.028146, Precision@10: 0.175000
Epoch 14/100, running_loss: 0.022008, test_loss: 0.205827, MSE: 0.182862, IC: 0.016851, RIC: 0.001095, Precision@10: 0.175000
Epoch 15/100, running_loss: 0.021912, test_loss: 0.250759, MSE: 0.224373, IC: -0.037629, RIC: -0.071890, Precision@10: 0.159375
Epoch 16/100, running_loss: 0.021620, test_loss: 0.194083, MSE: 0.171791, IC: -0.030921, RIC: -0.060143, Precision@10: 0.146875
Epoch 17/100, running_loss: 0.019435, test_loss: 0.233334, MSE: 0.207335, IC: -0.027671, RIC: -0.051573, Precision@10: 0.154167
Epoch 18/100, running_loss: 0.018921, test_loss: 0.202548, MSE: 0.179214, IC: -0.015017, RIC: -0.043487, Precision@10: 0.156250
Epoch 19/100, running_loss: 0.017904, test_loss: 0.206549, MSE: 0.183852, IC: 0.000521, RIC: -0.027947, Precision@10: 0.163542
Epoch 20/100, running_loss: 0.017418, test_loss: 0.169882, MSE: 0.150032, IC: -0.009394, RIC: -0.037781, Precision@10: 0.166667
Epoch 21/100, running_loss: 0.018979, test_loss: 0.223678, MSE: 0.200644, IC: 0.000865, RIC: -0.024854, Precision@10: 0.175000
Epoch 22/100, running_loss: 0.018171, test_loss: 0.186233, MSE: 0.165372, IC: 0.028505, RIC: 0.000804, Precision@10: 0.190625
Epoch 23/100, running_loss: 0.017903, test_loss: 0.202845, MSE: 0.179606, IC: -0.027017, RIC: -0.047900, Precision@10: 0.150000
Epoch 24/100, running_loss: 0.017219, test_loss: 0.216901, MSE: 0.192888, IC: -0.015918, RIC: -0.047814, Precision@10: 0.171875
Epoch 25/100, running_loss: 0.017679, test_loss: 0.184643, MSE: 0.163280, IC: 0.011940, RIC: -0.016318, Precision@10: 0.178125
Epoch 26/100, running_loss: 0.016463, test_loss: 0.234330, MSE: 0.209955, IC: 0.005876, RIC: -0.028307, Precision@10: 0.170833
Epoch 27/100, running_loss: 0.016422, test_loss: 0.179995, MSE: 0.158818, IC: -0.043105, RIC: -0.072432, Precision@10: 0.158333
Epoch 28/100, running_loss: 0.016546, test_loss: 0.171353, MSE: 0.150816, IC: -0.023615, RIC: -0.043093, Precision@10: 0.172917
Epoch 29/100, running_loss: 0.016541, test_loss: 0.231318, MSE: 0.208022, IC: -0.004629, RIC: -0.039919, Precision@10: 0.166667
Epoch 30/100, running_loss: 0.015750, test_loss: 0.217385, MSE: 0.193587, IC: 0.001719, RIC: -0.009055, Precision@10: 0.163542
Epoch 31/100, running_loss: 0.015334, test_loss: 0.234530, MSE: 0.210125, IC: -0.010952, RIC: -0.032569, Precision@10: 0.157292
Epoch 32/100, running_loss: 0.016492, test_loss: 0.261289, MSE: 0.236210, IC: -0.005640, RIC: -0.030501, Precision@10: 0.157292
Epoch 33/100, running_loss: 0.015816, test_loss: 0.226129, MSE: 0.202954, IC: 0.023774, RIC: -0.007288, Precision@10: 0.170833
Epoch 34/100, running_loss: 0.015920, test_loss: 0.230006, MSE: 0.205802, IC: -0.009792, RIC: -0.042210, Precision@10: 0.161458
Epoch 35/100, running_loss: 0.016020, test_loss: 0.250832, MSE: 0.226170, IC: 0.006146, RIC: -0.016328, Precision@10: 0.173958
Epoch 36/100, running_loss: 0.015659, test_loss: 0.246178, MSE: 0.219841, IC: -0.025911, RIC: -0.059645, Precision@10: 0.150000
Epoch 37/100, running_loss: 0.015573, test_loss: 0.231532, MSE: 0.205630, IC: -0.042800, RIC: -0.062684, Precision@10: 0.139583
Epoch 38/100, running_loss: 0.015775, test_loss: 0.203343, MSE: 0.180538, IC: -0.008273, RIC: -0.045206, Precision@10: 0.167708
